pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00408500,"",D000029365,Telapex Inc,74380,15600,58780,2022-04-18 00:00:00 +0000,1,x, ,0,D000029365
C00215285,"",D000000317,General Atomics,67325,40000,27325,2022-04-18 00:00:00 +0000,2,x, ,0,D000000317
C00325092,"",D000064813,Huntington Ingalls Industries,54481,33000,21481,2022-04-18 00:00:00 +0000,3,x, ,0,D000064813
         ,"",D000056580,Seemann Composites,49800,0,49800,2022-04-18 00:00:00 +0000,4, , ,0,          
C00027466,"",D000036122,National Republican Senatorial Cmte,47400,47400,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000033503,Ergon Inc,45600,0,45600,2022-04-18 00:00:00 +0000,6,x, ,0,D000033503
         ,"",D000037360,Sanderson Farms,43800,0,43800,2022-04-18 00:00:00 +0000,7,x, ,0,D000037360
C70002563,"",D000000062,National Assn of Realtors,40000,40000,0,2022-04-18 00:00:00 +0000,8,x, ,0,D000000062
         ,"",D000075314,Waypoint Consulting,40000,0,40000,2022-04-18 00:00:00 +0000,8, ,x,1,D000075314
C00359588,"",D000021679,BGR Group,37858,7308,30550,2022-04-18 00:00:00 +0000,10, , ,0,          
C00320101,"",D000021995,Freeport-McMoRan,35800,15000,20800,2022-04-18 00:00:00 +0000,11, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,32500,32500,0,2022-04-18 00:00:00 +0000,12,x, ,0,D000000309
C00144774,"",D000000168,Southern Co                             ,31415,27000,4415,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000036857,Pruet Oil,30300,0,30300,2022-04-18 00:00:00 +0000,14, , ,0,          
C00004275,"",D000000087,American Bankers Assn                   ,30025,30000,25,2022-04-18 00:00:00 +0000,15,x, ,1,D000000087
C00546234,"",D000000369,Leidos Inc,29054,20000,9054,2022-04-18 00:00:00 +0000,16,x, ,0,D000000369
         ,"",D000036079,NACCO Industries,28800,15000,13800,2022-04-18 00:00:00 +0000,17, , ,0,          
C00248716,"",D000000461,Comcast Corp,27562,27500,62,2022-04-18 00:00:00 +0000,18,x, ,3,D000000461
