pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000058566,Western States Investment,21600,0,21600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000071830,Standard Industries,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000062265,Magnadyne Corp,10800,0,10800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000035584,Manchester Financial Group,10800,0,10800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000056062,Resmed Inc,10800,0,10800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000069473,Ruffin Companies,10800,0,10800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Treasure Island,10800,0,10800,2022-04-18 00:00:00 +0000,6, , ,0,          
C00295097,"",D000023975,American Iron & Steel Institute,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00215285,"",D000000317,General Atomics,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00448373,"",D000026537,Huck PAC,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000033256,Douglas E Barnhart Inc,8800,0,8800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,16, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000044525,Harper Construction,6500,0,6500,2022-04-18 00:00:00 +0000,18, , ,0,          
C00236489,"",D000000186,Koch Industries,6500,6500,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000031247,A Wilsey Properties,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Andrew Lauren Interiors,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000021889,Cantor Fitzgerald,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000021912,Citadel LLC,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000060990,Dimensional Fund Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000087827,DWO Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000061337,Founders Fund,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000080499,Franklin Mountain Management,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000021991,Franklin Resources,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000034038,Gh Palmer Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000068961,Harold Simmons Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000000342,Jw Childs Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000035735,McKee Foods,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000036031,Mountaire Corp,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Ryan Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000023654,Sycuan Band Of The Kumeyaay Nation,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Valmore Gp,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000044899,Hillwood Development,5799,0,5799,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Hitron Usa,5740,0,5740,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Aladdins Restaurants/Seasoned Brands,5000,0,5000,2022-04-18 00:00:00 +0000,41, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,5000,5000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000079904,Gibson Group,5000,0,5000,2022-04-18 00:00:00 +0000,41, , ,0,          
C00126763,"",D000000240,National Assn of Convenience Stores,5000,5000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00387274,"",D000027966,New Majority PAC,5000,5000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00140590,"",D000024567,Republican Party of California,5000,5000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00200865,"",D000065775,Road to Freedom PAC,5000,5000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00744532,"",          ,Support Taxfighters & Elect Effective Leaders PAC,5000,5000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00635367,"",          ,Tenacious PAC,5000,5000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,James D Jameson LLC,4000,0,4000,2022-04-18 00:00:00 +0000,51, , ,0,          
C00332395,"",D000027765,Viatris Inc,4000,4000,0,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Harbco Development,3500,0,3500,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000021831,Acg Advocacy,3040,0,3040,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000033255,Douglas Allred Co,3000,0,3000,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Law Office of Joan Cochran,3000,0,3000,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000086830,American Property Enterprises,2900,0,2900,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000031816,Barona Band of Mission Indians,2900,0,2900,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Cal West Apartments,2900,0,2900,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Cleveland Assets,2900,0,2900,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000044505,First Republic Bank,2900,0,2900,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000000811,Kirkland & Ellis,2900,0,2900,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000086855,Kra Management,2900,0,2900,2022-04-18 00:00:00 +0000,57, , ,0,          
