pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Steward Health Care,30000,0,30000,2022-04-18 00:00:00 +0000,1, , ,0,          
C00351270,"",D000022249,Sidley Austin LLP,17500,10000,7500,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Qadeer Law Firm,17000,0,17000,2022-04-18 00:00:00 +0000,3, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00299701,"",D000000541,"McDermott, Will & Emery",12500,0,12500,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Checron,10800,0,10800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Tas Foods LLC,10800,0,10800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000079215,Gjerset & Lorenz,10700,0,10700,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000092435,Texas Signal,10000,0,10000,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000059961,Adelanto Healthcare Ventures,9700,0,9700,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Ahcv,9200,0,9200,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000036911,"Quinn, Emanuel et al",8700,0,8700,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Texas Health Services Authority,8700,0,8700,2022-04-18 00:00:00 +0000,12, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00002089,"",D000000075,Communications Workers of America,7500,7500,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00117861,"",D000027255,Locke Lord LLP,7500,5000,2500,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Fallbrook,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Rowe Network,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Royal Portal,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Steward Healthcare,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
C00329474,"",D000029955,YUM! Brands                             ,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Focus Merchant Services,5400,0,5400,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Focus Merchants Services,5400,0,5400,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Zulie Venture,5400,0,5400,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000023745,Across The Track Pac,5000,0,5000,2022-04-18 00:00:00 +0000,25, , ,0,          
C00024521,"",D000000065,American Assn for Justice,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00342907,"",          ,Laborers Union/Midwest Region,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00219568,"",          ,Operating Engineers Local 12,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C70003124,"",D000000077,Service Employees International Union,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
