pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00532887,"",D000033111,Delaware North Companies,23700,5800,17900,2022-04-18 00:00:00 +0000,1, , ,0,          
C00468314,"",D000025328,Democracy Engine,11550,0,11550,2022-04-18 00:00:00 +0000,2, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Eastman,8700,0,8700,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000033412,Ellicott Development,8700,0,8700,2022-04-18 00:00:00 +0000,5, , ,0,          
C00433060,"",D000029531,Republican Governance Group,8500,8500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Ascot Group,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Barrantys,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000070253,Boston Bruins,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000021994,Freeman Spogli & Co,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Paddock Chevrolet,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Silver Rabbit,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000030377,Third Point LLC,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000044511,"Lippes, Mathias et al",5699,0,5699,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000028665,Republican Party of New York,5250,5000,250,2022-04-18 00:00:00 +0000,16, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,5000,5000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Airport Plaza Jewelers,5000,0,5000,2022-04-18 00:00:00 +0000,17, , ,0,          
C00039461,"",D000024239,Ball Corp,5000,5000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Carubba & Co,5000,0,5000,2022-04-18 00:00:00 +0000,17, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00284885,"",D000000419,Home Depot,5000,5000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00668921,"",D000074400,National Wooden Pallet & Container Assn,5000,5000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Stark Tech Group,5000,0,5000,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000063788,Try-It Distributing,5000,0,5000,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000077303,Noco Energy,4900,0,4900,2022-04-18 00:00:00 +0000,26, , ,0,          
C00165159,"",D000028615,Republican Main Street Partnership,4000,4000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Niagara Fall Redevelopment Llc,3900,0,3900,2022-04-18 00:00:00 +0000,28, , ,0,          
C00083758,"",D000027849,National Fuel Gas Co,3750,3750,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,3500,3500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Advanced Cardiac Surgical Assoc PLLC,3200,0,3200,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Priam Enterprises,3000,0,3000,2022-04-18 00:00:00 +0000,32, , ,0,          
C00166348,"",D000000462,Southern Minn Beet Sugar Co-Op,3000,3000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Acquest,2900,0,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Adnet Technologies,2900,0,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
C00617944,"",D000000123,American International Group,2900,0,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000085706,Ankom Technology,2900,0,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Atwal Eye Care,2900,0,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Derby Copeland Capital,2900,0,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,EMPIRE EQUIPMENT DEVELOPMENT LLC,2900,0,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Greenleaf Development,2900,0,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Healthnow New York,2900,0,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Life Storage,2900,0,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000077883,Maid of the Mist Corp,2900,0,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000077168,"Masiello, Martucci & Assoc",2900,0,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Natale Building,2900,0,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Niagara Custom Planting,2900,0,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000055101,Otis Eastern,2900,0,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000036672,PHILLIPS LYTLE LLP,2900,0,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Reid Cos,2900,0,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Sandhill Investment Management,2900,0,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Savarino Companies,2900,0,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Sinatra & Co Real Estate,2900,0,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
