pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Jacobs Investment Co,21600,0,21600,2022-04-18 00:00:00 +0000,1, , ,0,          
C00441949,"",          ,JStreetPAC,19070,1500,17570,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,NOT EMPLOYED,18588,0,18588,2022-04-18 00:00:00 +0000,3, , ,0,          
C00216895,"",D000068537,Arnold & Porter Kaye Scholer,12600,0,12600,2022-04-18 00:00:00 +0000,4, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",12500,12500,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Nvision Laser Eye Centers,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000058239,ViaSat Inc,11500,0,11500,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Gafcon Inc,10800,0,10800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Xcom Labs,10800,0,10800,2022-04-18 00:00:00 +0000,9, , ,0,          
C00468314,"",D000025328,Democracy Engine,9700,0,9700,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000070483,Blue Haven Initiative,8600,0,8600,2022-04-18 00:00:00 +0000,12, , ,0,          
C00151340,"",D000021569,DLA Piper                               ,8500,1500,7000,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Clarke & Rice Apc,8300,0,8300,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Clarke Johnston Thorp & Rice,7800,0,7800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000000406,University of California                ,7630,0,7630,2022-04-18 00:00:00 +0000,16, , ,0,          
C00339085,"",D000000794,Qualcomm Inc,7200,0,7200,2022-04-18 00:00:00 +0000,17, , ,0,          
C00685297,"",D000074088,Elect Democratic Women,6000,6000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,"Jennifer Moores, Real Estate",6000,0,6000,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000031369,Akonadi Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000021910,Children's Research & Education Institute,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000042522,Chipotle Mexican Grill,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000000517,DE Shaw & Co,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Essay Management Services LLC,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Hunter Madison Group,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000035325,Lehbros Ltd,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000086387,Mg Properties Group,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Procopio,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Stardust,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Fortis,5600,0,5600,2022-04-18 00:00:00 +0000,30, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,5100,5000,100,2022-04-18 00:00:00 +0000,31, , ,0,          
C70001979,"",D000000066,Teamsters Union,5030,5000,30,2022-04-18 00:00:00 +0000,32, , ,0,          
C00024521,"",D000000065,American Assn for Justice,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00365536,"",D000065624,Committee for Hispanic Causes-BOLD PAC,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Onward Together Pac,5000,0,5000,2022-04-18 00:00:00 +0000,33, , ,0,          
