pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000072028,Valve Corp,51250,0,51250,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000306,Soros Fund Management,31600,0,31600,2022-04-18 00:00:00 +0000,2, , ,0,          
C00227546,"",D000000115,Microsoft Corp,25945,0,25945,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000094149,Aditi Consulting,16600,0,16600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000031921,Bergman Draper Oslund,16600,0,16600,2022-04-18 00:00:00 +0000,4, , ,0,          
C70001979,"",D000000066,Teamsters Union                         ,15867,10000,5867,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000088344,Washington Women'S Foundation,15800,0,15800,2022-04-18 00:00:00 +0000,7, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,15000,15000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,15000,15000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000030667,University of Maryland                  ,13757,0,13757,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000070916,Campion Advocacy Fund,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Commerce Co,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000037374,SAP Inc,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Sucker Punch Productions,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
C00699439,"",D000031213,Zillow Group,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000022297,University of Washington,11558,0,11558,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000031277,Accel Partners,10800,0,10800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000031369,Akonadi Foundation,10800,0,10800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000037329,Sagner Companies,10800,0,10800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Shell Mercer,10800,0,10800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Tenants Together,10800,0,10800,2022-04-18 00:00:00 +0000,17, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,10615,10000,615,2022-04-18 00:00:00 +0000,22, , ,0,          
C00286401,"",D000000145,Seafarers International Union           ,10500,4500,6000,2022-04-18 00:00:00 +0000,23, , ,0,          
