pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00699470,"",D000073971,Pro-Israel America PAC,213450,0,213450,2022-04-18 00:00:00 +0000,1, , ,0,          
C00247403,"",D000022158,NorPAC,99150,1000,98150,2022-04-18 00:00:00 +0000,2, , ,0,          
C00719393,"",D000033184,Discovery Inc,33400,1000,32400,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000073428,Rxr Realty,31800,0,31800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000021849,Ariel Investments,24600,0,24600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000072114,Peloton Interactive,24500,0,24500,2022-04-18 00:00:00 +0000,6, , ,0,          
C00248716,"",D000000461,Comcast Corp,21950,10000,11950,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000031938,Bessemer Venture Partners,21600,0,21600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000034035,Getco LLC,21600,0,21600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Highgate,21600,0,21600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000073418,Roberti Global,21600,0,21600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,21405,10500,10905,2022-04-18 00:00:00 +0000,12, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,20000,20000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C70003124,"",D000000077,Service Employees International Union,20000,10000,10000,2022-04-18 00:00:00 +0000,13, , ,0,          
C00008268,"",D000000178,Transport Workers Union,20000,20000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00106146,"",D000000116,American Hospital Assn,19250,15000,4250,2022-04-18 00:00:00 +0000,16, , ,0,          
C00227546,"",D000000115,Microsoft Corp                          ,18700,5000,13700,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Thegroup,18400,0,18400,2022-04-18 00:00:00 +0000,18, , ,0,          
C00068692,"",D000000089,FedEx Corp,17500,17500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,16000,15000,1000,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000055308,Pegasus Capital Advisors,15800,0,15800,2022-04-18 00:00:00 +0000,21, , ,0,          
C00211318,"",D000000131,Deloitte LLP,15010,15000,10,2022-04-18 00:00:00 +0000,22, , ,0,          
C00280222,"",D000019986,KPMG LLP,15005,15000,5,2022-04-18 00:00:00 +0000,23, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,15000,15000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,15000,15000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00227744,"",D000000098,Ernst & Young,15000,15000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,15000,15000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,15000,15000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,15000,15000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,15000,15000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00064766,"",D000000081,United Parcel Service,15000,10000,5000,2022-04-18 00:00:00 +0000,24, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",14550,6000,8550,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000000769,"Paul, Weiss et al",14100,0,14100,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000035978,Monument Advocacy,14000,0,14000,2022-04-18 00:00:00 +0000,34, , ,0,          
C00388827,"",D000066716,Rock Holdings,13800,7500,6300,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000071415,GFP Real Estate,13700,0,13700,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000074684,Ostroff Assoc,12600,0,12600,2022-04-18 00:00:00 +0000,37, , ,0,          
C00104802,"",D000000350,Delta Air Lines,12510,12500,10,2022-04-18 00:00:00 +0000,38, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,12500,12500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00497917,"",D000050099,Depository Trust & Clearing Corp,12500,12500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00158881,"",D000000249,New York Life Insurance,12500,12500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000067802,Subject Matter,11900,0,11900,2022-04-18 00:00:00 +0000,42, , ,0,          
C00416495,"",D000000207,Loews Corp                              ,11800,0,11800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000031469,American Capital,11600,0,11600,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000021859,Bain Capital,11600,0,11600,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000031926,Berkshire Group,11600,0,11600,2022-04-18 00:00:00 +0000,44, , ,0,          
C00155853,"",D000025125,Continental Grain,11600,0,11600,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000000381,US Dept of State,11600,0,11600,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000046066,Tiber Creek Group,11500,0,11500,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000036927,RA Cohen & Assoc,11300,0,11300,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000022331,Yale University,11253,0,11253,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000021845,Apollo Global Management,10805,0,10805,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000021850,Aristeia Capital,10800,0,10800,2022-04-18 00:00:00 +0000,53, , ,0,          
C90020272,"",D000071227,Black Economic Alliance,10800,0,10800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000084382,Blue Wolf Capital Partners,10800,0,10800,2022-04-18 00:00:00 +0000,53, , ,0,          
C00195388,"",D000021746,"Buchanan, Ingersoll & Rooney",10800,0,10800,2022-04-18 00:00:00 +0000,53, , ,0,          
C00689091,"",D000000810,Carlyle Group,10800,0,10800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000032451,Centerview Partners,10800,0,10800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Chicago Cred,10800,0,10800,2022-04-18 00:00:00 +0000,53, , ,0,          
