pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00029447,"",D000000135,International Assn of Fire Fighters,5000,5000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,5000,5000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00008268,"",D000000178,Transport Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,3000,3000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,2500,2500,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00214981,"",D000022909,Texas Farm Bureau,2500,2500,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00131185,"",D000000233,Aircraft Owners & Pilots Assn,2000,2000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00280743,"",D000000735,Association of American Railroads,1000,1000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00197160,"",D000030345,Texans for Lamar Smith,1000,1000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Texas A&M University/Commerce,10,0,10,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000067954,Xpo Logistics,2,0,2,2022-04-18 00:00:00 +0000,11, , ,0,          
