pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000021950,"Davis, Polk & Wardwell",77260,0,77260,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000769,"Paul, Weiss et al                       ",45200,0,45200,2022-04-18 00:00:00 +0000,2, , ,0,          
C00441949,"",          ,JStreetPAC,37577,0,37577,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000022055,Kasowitz Benson Torres LLP,25000,0,25000,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000025486,Dewey & Leboeuf,21500,0,21500,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000000544,Harvard University                      ,20700,0,20700,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000032620,City University of New York,19815,0,19815,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000021927,Columbia University,17460,0,17460,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Lcp Group,17400,0,17400,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,L&L Partners Wealth Management,16200,0,16200,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000090826,Tusk Holdings,15925,0,15925,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000021915,"City of New York, NY",15878,0,15878,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000082973,Economic Security Project,15800,0,15800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000036484,Palladium Equity Partners,15800,0,15800,2022-04-18 00:00:00 +0000,13, , ,0,          
C00337626,"",D000000106,Morgan Stanley,15603,0,15603,2022-04-18 00:00:00 +0000,15, , ,0,          
C00550970,"",D000070371,Equality PAC,15000,15000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Correctional Health Services,14800,0,14800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000067823,Alphabet Inc,13950,0,13950,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,"Faber, Daeufer & Itrato",13700,0,13700,2022-04-18 00:00:00 +0000,19, , ,0,          
C00248716,"",D000000461,Comcast Corp,13669,0,13669,2022-04-18 00:00:00 +0000,20, , ,0,          
C00553966,"",D000064114,Yelp Inc,13000,0,13000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000049487,College Board,12550,0,12550,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000037602,"Simpson, Thacher & Bartlett",12200,0,12200,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,AKD Law,11600,0,11600,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Cook & Baker,11600,0,11600,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000086428,Jon Landau Management,11600,0,11600,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Strawberryfrog,11600,0,11600,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000030667,University of Maryland,11600,0,11600,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Wolzien LLC,11600,0,11600,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000031469,American Capital,10800,0,10800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000043318,AT Kearney Inc,10800,0,10800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Baffler,10800,0,10800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,"Bergman, Marion Md",10800,0,10800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Better Mortgage,10800,0,10800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Book Budies Read,10800,0,10800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000074183,Hudson River Ventures,10800,0,10800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000034935,Jordan Real Estate Investments,10800,0,10800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,K&M Newspaper Services,10800,0,10800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000086943,Pierpoint Capital,10800,0,10800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Save Babies Thru Screening Foundation,10800,0,10800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000089099,Skybound Entertainment,10800,0,10800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Trust for Public Land Action Fund,10800,0,10800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000030801,Venn Strategies,10800,0,10800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Warner Brothers Discovery,10200,0,10200,2022-04-18 00:00:00 +0000,44, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00147512,"",D000021932,Congressional Black Caucus PAC,10000,10000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00348607,"",          ,Impact (Schumer),10000,10000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00678839,"",D000072282,Indivisible Action,10000,10000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00525600,"",D000070198,Off the Sidelines,10000,10000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000074259,Stand Up America,10000,0,10000,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000032662,"Cleary, Gottlieb et al                  ",9950,0,9950,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,St Ann'S School,9450,0,9450,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,BHGRE Rand Realty,8700,0,8700,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Catalyst Capital Holdings,8700,0,8700,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,City of Irvington,8700,0,8700,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Organize,8700,0,8700,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000036514,Park Foundation,8700,0,8700,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000070408,The New Republic,8700,0,8700,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Rockland Rowing Assn,8596,0,8596,2022-04-18 00:00:00 +0000,59, , ,0,          
C00350744,"",D000000085,Goldman Sachs,8300,0,8300,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",D000035741,McKool Smith Pc,8300,0,8300,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",          ,Justice Catalyst Law,8000,0,8000,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000092435,Texas Signal,7900,0,7900,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000034046,Gibbs & Bruns,7800,0,7800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000000406,University of California                ,7366,0,7366,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000065784,Seavest Inc,7100,0,7100,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000000811,Kirkland & Ellis,7055,0,7055,2022-04-18 00:00:00 +0000,67, , ,0,          
C00502906,"",D000033563,Meta,7000,0,7000,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Waca Design LLC,7000,0,7000,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000087006,Selendy & Gay,6800,0,6800,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",          ,Chapel Hill Academy,6300,0,6300,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000035471,Lowenstein Sandler Llp,6300,0,6300,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000021754,Apple Inc,6235,0,6235,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000090554,Basswood Capital Management,6000,0,6000,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",          ,Cultural Productions,5925,0,5925,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",D000022241,"Schulte, Roth & Zabel",5900,0,5900,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",D000030649,University of Chicago,5900,0,5900,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",D000036911,"Quinn, Emanuel et al                    ",5850,0,5850,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",D000031369,Akonadi Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000031435,Alsop Louie Partners,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000086967,Beachwold Residential,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000031938,Bessemer Venture Partners,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000074794,Bfc Partners,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000076725,Bronx Defenders,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000032285,Capital Group,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Carmona Motley Inc,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Catalyst,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000032604,"City & County of San Francisco, CA      ",5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Dr Lucy Waletsky MD,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000076660,"Emery, Celli et al",5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Entertainment Studios,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Eye Physicians of Orange County,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000033611,Federal Trade Commission,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000070646,"Gunderson, Dettmer et al",5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Habematolel Pomo of Upper Lake Tribe Of California,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000087080,Hamilton-Selway Fine Art,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Ibs,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000064293,Infor Global Solutions,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Ip Management,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Irpino Law Firm,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Keeptruckin,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000035184,Kreindler & Kreindler,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000086676,LEK Consulting,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000071838,Marquis Group,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Metropolis Risk Management,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000053810,"Milwaukee County, WI",5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Mt Anthony Union Hs,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000052696,Munoz & Co,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Ota LLC,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000071554,Otoe-Missouria Tribe,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000086899,Paradigm Global Group,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Pgim,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Physician Acute Care Services,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Portables Unlimitedinc,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Prestige Realty Group,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Royal Realty,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Silverman Group,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000000306,Soros Fund Management,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Spartan Petroleum,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000030573,Tufts University,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,US Senate Office of Senator Gillibra,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Woods Oviatt Gilman,5800,0,5800,2022-04-18 00:00:00 +0000,79, , ,0,          
