pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00484535,"",D000065181,Votesane PAC,91500,0,91500,2022-04-18 00:00:00 +0000,1, , ,0,          
C00699470,"",D000073971,Pro-Israel America Pac,60400,0,60400,2022-04-18 00:00:00 +0000,2, , ,0,          
C00109017,"",D000000076,AT&T Inc,20000,20000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,20000,20000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,MBE Ventures,14400,0,14400,2022-04-18 00:00:00 +0000,6, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,13000,13000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,12500,12500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00004275,"",D000000087,American Bankers Assn,12500,12500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,12000,12000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000034209,Gross Builders,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Lubrizoil,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Terrace Construction,11400,0,11400,2022-04-18 00:00:00 +0000,13, , ,0,          
C00693127,"",D000084281,Building Bridges PAC,11000,11000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00433060,"",D000029531,Republican Governance Group,11000,11000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00173153,"",D000000349,American Assn of Nurse Anesthesiology,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00017525,"",D000000173,American Nurses Assn,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00078451,"",D000000165,General Dynamics,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00072025,"",D000000221,National Rural Letter Carriers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00158881,"",D000000249,New York Life Insurance,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00065870,"",          ,Operating Engineers Local 18,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00360669,"",D000029139,Southwest Airlines Pilots Assn,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,International Management Systems,8700,0,8700,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000036516,Park Ohio Holdings,8600,0,8600,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000021757,Berkshire Hathaway,8500,8500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,It Consulting LLC,8000,0,8000,2022-04-18 00:00:00 +0000,28, , ,0,          
C00488262,"",D000070195,Netjets Assn of Shared Aircraft Pilots,8000,8000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00388827,"",D000066716,Rock Holdings,8000,8000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000036737,Poarch Band of Creek Indians,7900,0,7900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000058783,Yocha Dehe Wintun Nation,7900,0,7900,2022-04-18 00:00:00 +0000,31, , ,0,          
C00426775,"",D000000672,Charter Communications,7500,7500,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00369751,"",D000000585,Dell Technologies,7500,7500,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00064766,"",D000000081,United Parcel Service,7500,7500,0,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Ronyak Paving,7000,0,7000,2022-04-18 00:00:00 +0000,36, , ,0,          
C00141218,"",D000000368,Exelon Corp,6400,3500,2900,2022-04-18 00:00:00 +0000,37, , ,0,          
C00346353,"",          ,CRH Americas,6100,5100,1000,2022-04-18 00:00:00 +0000,38, , ,0,          
C00174227,"",D000000620,Baker & Hostetler,6000,0,6000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00248716,"",D000000461,Comcast Corp,6000,6000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00096156,"",D000000334,Honeywell International,6000,6000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00091561,"",D000021771,National Active & Retired Federal Employees Assn,6000,6000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000060635,Cherokee Nation,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000073434,CM Wealth Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000000465,Forest City Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000083814,Hyster-Yale Materials Handling,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000061765,Idaho Forest Group,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000034929,Jones Day,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,K&D,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000088715,Msp Recovery,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Real Estate Development/Entrepreneur,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Updata Partners,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Visconsi Management Group,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
C00365502,"",D000022588,BWX Technologies,5500,5500,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00108209,"",D000000335,Dominion Energy,5500,5500,0,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000023649,Chickasaw Nation,5400,0,5400,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000023655,Agua Caliente Band of Cahuilla Indians,5000,0,5000,2022-04-18 00:00:00 +0000,57, , ,0,          
C00040253,"",D000000632,Allstate Insurance,5000,5000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
C00024968,"",D000000194,American Optometric Assn,5000,5000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
C00340075,"",          ,BASF Corp,5000,5000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
