pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00035451,"",D000000117,Air Line Pilots Assn,15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00131185,"",D000000233,Aircraft Owners & Pilots Assn,15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000147,Marine Engineers Beneficial Assn,11250,9500,1750,2022-04-18 00:00:00 +0000,3, , ,0,          
C00024752,"",D000027454,Matson Inc,11000,5000,6000,2022-04-18 00:00:00 +0000,4, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00418897,"",D000029722,VoteVets.org,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00002089,"",D000000075,Communications Workers of America,7500,7500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,7000,7000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Vessel Owner,7000,0,7000,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000023342,US Army,6705,0,6705,2022-04-18 00:00:00 +0000,12, , ,0,          
C00281212,"",D000000583,BAE Systems,6500,6000,500,2022-04-18 00:00:00 +0000,13, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,6500,6500,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00215285,"",D000000317,General Atomics,6000,6000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Matson,5750,0,5750,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000047491,ATS Communications,5500,0,5500,2022-04-18 00:00:00 +0000,17, , ,0,          
C00488262,"",D000070195,Netjets Assn of Shared Aircraft Pilots,5500,5500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00286401,"",D000000145,Seafarers International Union,5500,5500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00009936,"",D000000304,American Federation of Government Employees,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00426775,"",D000000672,Charter Communications,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00027359,"",D000000140,Ironworkers Union,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00007922,"",D000000074,Laborers Union,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00008268,"",D000000178,Transport Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00096156,"",D000000334,Honeywell International,4500,4500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000062827,Pasha Group,4500,0,4500,2022-04-18 00:00:00 +0000,26, , ,0,          
C00411694,"",          ,Saltchuk Resources,4500,4500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000035159,Kobayashi Group,4000,0,4000,2022-04-18 00:00:00 +0000,29, , ,0,          
C00360669,"",D000029139,Southwest Airlines Pilots Assn,4000,4000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Ted Lieu for Congress,4000,3000,1000,2022-04-18 00:00:00 +0000,29, , ,0,          
C00661272,"",D000071404,With Honor PAC,4000,4000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00571174,"",          ,Serve America PAC,3500,3500,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",3500,3500,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00076810,"",D000000155,General Motors,3250,3250,0,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000030659,University of Hawaii,3225,0,3225,2022-04-18 00:00:00 +0000,36, , ,0,          
C00227546,"",D000000115,Microsoft Corp,3070,2500,570,2022-04-18 00:00:00 +0000,37, , ,0,          
C00093054,"",D000000367,Walmart Inc,3005,3000,5,2022-04-18 00:00:00 +0000,38, , ,0,          
C00280909,"",          ,AFL-CIO Transportation Trades Dept,3000,3000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,3000,3000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00557793,"",D000069501,Blue Origin,3000,2000,1000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00564377,"",          ,Chugach Alaska,3000,3000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Pacific Fishing & Supply,3000,0,3000,2022-04-18 00:00:00 +0000,39, , ,0,          
