pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00441949,"",          ,JStreetPAC,130166,8910,121256,2022-04-18 00:00:00 +0000,1, , ,0,          
C00462630,"",D000021942,Covington & Burling,95750,0,95750,2022-04-18 00:00:00 +0000,2, ,x,0,D000021942
C00171330,"",D000000330,Holland & Knight,94849,13500,81349,2022-04-18 00:00:00 +0000,3, ,x,0,D000000330
C00089136,"",D000000067,Altria Group,83525,32500,51025,2022-04-18 00:00:00 +0000,4,x, ,0,D000000067
C00088591,"",D000000170,Northrop Grumman,78728,34000,44728,2022-04-18 00:00:00 +0000,5,x, ,0,D000000170
         ,"",D000000464,Sullivan & Cromwell,77764,0,77764,2022-04-18 00:00:00 +0000,6, ,x,0,D000000464
C00211318,"",D000000131,Deloitte LLP,70065,35000,35065,2022-04-18 00:00:00 +0000,7,x,x,0,D000000131
C00468314,"",D000025328,Democracy Engine,68515,0,68515,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000034109,Golden Gate Capital,68200,0,68200,2022-04-18 00:00:00 +0000,9, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",64077,3750,60327,2022-04-18 00:00:00 +0000,10, ,x,1,D000000162
         ,"",D000075673,Cyberdata Technologies,63650,0,63650,2022-04-18 00:00:00 +0000,11, , ,0,          
C00325092,"",D000064813,Huntington Ingalls Industries,61570,29500,32070,2022-04-18 00:00:00 +0000,12,x, ,4,D000064813
         ,"",D000000801,Warburg Pincus,60550,0,60550,2022-04-18 00:00:00 +0000,13,x, ,0,D000000801
C00108209,"",D000000335,Dominion Energy,60533,17000,43533,2022-04-18 00:00:00 +0000,14,x, ,0,D000000335
C00128512,"",D000000103,JPMorgan Chase & Co,59400,31000,28400,2022-04-18 00:00:00 +0000,15,x, ,0,D000000103
C00351270,"",D000022249,Sidley Austin LLP,58775,6000,52775,2022-04-18 00:00:00 +0000,16, ,x,0,D000022249
C90005786,"",D000000288,League of Conservation Voters,57338,8033,49305,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000068983,Route One Investment,57000,0,57000,2022-04-18 00:00:00 +0000,18, , ,0,          
C00225342,"",D000022103,McGuireWoods LLP,56170,10500,45670,2022-04-18 00:00:00 +0000,19, ,x,0,D000022103
C00261339,"",D000059877,Hogan Lovells,56118,4000,52118,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000092531,Wize Solutions,53500,0,53500,2022-04-18 00:00:00 +0000,21, , ,0,          
C00227546,"",D000000115,Microsoft Corp                          ,53452,14000,39452,2022-04-18 00:00:00 +0000,22,x, ,0,D000000115
         ,"",D000087314,Chapman Development,52200,0,52200,2022-04-18 00:00:00 +0000,23, , ,0,          
C00009282,"",D000019639,Norfolk Southern,51753,30000,21753,2022-04-18 00:00:00 +0000,24,x, ,1,D000019639
C00266585,"",D000000344,Greenberg Traurig LLP,49625,2500,47125,2022-04-18 00:00:00 +0000,25, ,x,1,D000000344
C00142711,"",D000000100,Boeing Co                               ,48515,18500,30015,2022-04-18 00:00:00 +0000,26,x, ,1,D000000100
         ,"",D000000750,Stanford University,46335,0,46335,2022-04-18 00:00:00 +0000,27,x, ,0,D000000750
         ,"",D000031574,Apex Covantage,45715,0,45715,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000034929,Jones Day,44380,0,44380,2022-04-18 00:00:00 +0000,29, ,x,0,D000034929
C00216895,"",D000068537,Arnold & Porter Kaye Scholer,44000,5000,39000,2022-04-18 00:00:00 +0000,30, , ,0,          
C00204453,"",D000000550,King & Spalding,43675,2500,41175,2022-04-18 00:00:00 +0000,31,x,x,1,D000000550
         ,"",D000030697,University of Virginia,43674,0,43674,2022-04-18 00:00:00 +0000,32, , ,0,          
C00546234,"",D000000369,Leidos Inc                                        ,43506,22000,21506,2022-04-18 00:00:00 +0000,33,x, ,0,D000000369
         ,"",D000034157,Grant & Eisenhofer,43300,0,43300,2022-04-18 00:00:00 +0000,34, , ,0,          
C00186288,"",D000000079,Verizon Communications,43228,11000,32228,2022-04-18 00:00:00 +0000,35,x, ,1,D000000079
C00540518,"",D000021890,Capital Group Companies,41550,20000,21550,2022-04-18 00:00:00 +0000,36,x, ,0,D000021890
         ,"",D000033992,Generation Investment Management,41500,0,41500,2022-04-18 00:00:00 +0000,37, , ,0,          
C00303024,"",D000000104,Lockheed Martin,41312,34000,7312,2022-04-18 00:00:00 +0000,38,x, ,0,D000000104
         ,"",D000022320,Wiley Rein LLP,41300,0,41300,2022-04-18 00:00:00 +0000,39, , ,0,          
