pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00290973,"",D000024873,Cleveland-Cliffs,19300,12000,7300,2022-04-18 00:00:00 +0000,1, , ,0,          
C70001979,"",D000000066,Teamsters Union,15000,15000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00215285,"",D000000317,General Atomics,12500,12500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000091043,Walnut Ridge Strategic Management,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00118828,"",          ,Boilermakers Union Local 85,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00365502,"",D000022588,BWX Technologies,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00196725,"",D000067800,Hewlett Packard Enterprise,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00065870,"",          ,Operating Engineers Local 18,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00344234,"",D000000520,PAC to the Future,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00002840,"",D000000070,United Auto Workers,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00003590,"",D000000102,United Steelworkers,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00103697,"",D000000237,Bechtel Group,8550,7500,1050,2022-04-18 00:00:00 +0000,15, , ,0,          
C00013342,"",D000029577,United Mine Workers of America,8000,8000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00010322,"",D000000143,American Postal Workers Union,7500,7500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Cleveland Cliffs Inc,7500,0,7500,2022-04-18 00:00:00 +0000,17, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,7500,7500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00088591,"",D000000170,Northrop Grumman,7500,7500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",7500,7500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Daschle Group,7400,0,7400,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000058007,University of Toledo,7148,0,7148,2022-04-18 00:00:00 +0000,24, , ,0,          
C00096156,"",D000000334,Honeywell International,7010,7000,10,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000044481,Interlake Steamship,7000,0,7000,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Not Employed,6850,0,6850,2022-04-18 00:00:00 +0000,27, , ,0,          
C00046474,"",D000000182,Ford Motor Co,6070,6000,70,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,American Tank & Fabricating Co,6000,0,6000,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000031533,Analysis Group,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Forest City Management,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000091651,Law Offices of R Stephen McNally,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000084276,LifeYield,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000035437,Lone Pine Capital,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000053956,Morino Ventures,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000065774,Richmond Global,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000000412,US House of Representatives,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
C00379628,"",D000028057,Nucor Corp,5400,5400,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00489534,"",D000033692,First Solar,5300,0,5300,2022-04-18 00:00:00 +0000,39, , ,0,          
C00211318,"",D000000131,Deloitte LLP,5050,5000,50,2022-04-18 00:00:00 +0000,40, , ,0,          
C00007922,"",D000000074,Laborers Union,5025,5000,25,2022-04-18 00:00:00 +0000,41, , ,0,          
C00417584,"",D000028277,America 2.0 PAC,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00024521,"",D000000065,American Assn for Justice,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00027532,"",          ,American Maritime Officers,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000031574,Apex Covantage,5000,0,5000,2022-04-18 00:00:00 +0000,42, , ,0,          
C00405050,"",D000024333,Betty PAC,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00003632,"",D000000302,Bricklayers Union,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00002089,"",D000000075,Communications Workers of America,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000033029,Dan T Moore Co,5000,0,5000,2022-04-18 00:00:00 +0000,42, , ,0,          
C00685297,"",D000074088,Elect Democratic Women,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00574970,"",          ,Fair Shot PAC,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00158576,"",D000000189,International Longshoremens Assn,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00142299,"",D000000371,Jacobs Engineering Group,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000055733,Promedica Health System,4155,0,4155,2022-04-18 00:00:00 +0000,62, , ,0,          
C00024869,"",D000000125,General Electric,4000,4000,0,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000022126,Nancy Pelosi for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Pete Aguilar for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00367995,"",D000029049,Sierra Nevada Corp,4000,4000,0,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Ted Lieu for Congress,4000,0,4000,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000087306,Wickens Herzer Panza,4000,0,4000,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Catawba Island Club,3750,0,3750,2022-04-18 00:00:00 +0000,69, , ,0,          
C00142711,"",D000000100,Boeing Co,3500,3500,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00325092,"",D000064813,Huntington Ingalls Industries,3500,3500,0,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",          ,G2g,3400,0,3400,2022-04-18 00:00:00 +0000,72, , ,0,          
C00441949,"",          ,JStreetPAC,3050,2500,550,2022-04-18 00:00:00 +0000,73, , ,0,          
C00365536,"",D000065624,Committee for Hispanic Causes-BOLD PAC,3000,3000,0,2022-04-18 00:00:00 +0000,74, , ,0,          
C00078451,"",D000000165,General Dynamics,3000,3000,0,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",D000087806,Hoover Milstein,3000,0,3000,2022-04-18 00:00:00 +0000,74, , ,0,          
C00239848,"",D000000555,Nuclear Energy Institute,3000,3000,0,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",D000031277,Accel Partners,2900,0,2900,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",          ,Aemi,2900,0,2900,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",          ,Carnegie Mdc,2900,0,2900,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",D000049652,Conlon Public Strategies,2900,0,2900,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",          ,"Consultant, Educator",2900,0,2900,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",          ,Designetics Inc,2900,0,2900,2022-04-18 00:00:00 +0000,78, , ,0,          
C00708636,"",          ,HoulaPAC,2900,2900,0,2022-04-18 00:00:00 +0000,78, , ,0,          
