pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00699470,"",D000073971,Pro-Israel America PAC,73350,3500,69850,2022-04-18 00:00:00 +0000,1, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,24500,20000,4500,2022-04-18 00:00:00 +0000,2, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00433060,"",D000029531,Republican Governance Group,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00064766,"",D000000081,United Parcel Service,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,12500,12500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00426775,"",D000000672,Charter Communications,12500,12500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000071830,Standard Industries,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
C00428623,"",          ,Google Inc,11000,11000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000022119,Mlu Services,10800,0,10800,2022-04-18 00:00:00 +0000,14, , ,0,          
C00280222,"",D000019986,KPMG LLP,10251,10000,251,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000036888,Pyramid Companies,10250,0,10250,2022-04-18 00:00:00 +0000,16, , ,0,          
C00211318,"",D000000131,Deloitte LLP,10003,10000,3,2022-04-18 00:00:00 +0000,17, , ,0,          
C00267849,"",D000000839,Allied Pilots Assn,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00360354,"",D000023883,Amazon.com,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00140061,"",D000000293,American College of Emergency Physicians,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00109017,"",D000000076,AT&T Inc,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00480228,"",D000045959,Continuing America's Strength & Security,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00522425,"",          ,Future First Leadership PAC,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00096156,"",D000000334,Honeywell International,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00027359,"",D000000140,Ironworkers Union,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00496307,"",D000023121,Marathon Petroleum,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00760124,"",D000073672,National Victory Action Fund,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00777706,"",          ,Smiths Group Services Corp,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00693127,"",D000084281,Building Bridges PAC,9500,9500,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,33, , ,0,          
C00004275,"",D000000087,American Bankers Assn,9000,9000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,9000,9000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,9000,9000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00034488,"",          ,Anheuser-Busch,8678,7500,1178,2022-04-18 00:00:00 +0000,37, , ,0,          
C00227744,"",D000000098,Ernst & Young,8600,7500,1100,2022-04-18 00:00:00 +0000,38, , ,0,          
C00346353,"",          ,CRH Americas,8500,8500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00303024,"",D000000104,Lockheed Martin,8500,8500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,41, , ,0,          
C00380303,"",D000025674,Emergent Biosolutions,8300,2500,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000036389,Oneida Indian Nation,8100,0,8100,2022-04-18 00:00:00 +0000,43, , ,0,          
C00007922,"",D000000074,Laborers Union,8000,8000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,7500,7000,500,2022-04-18 00:00:00 +0000,45, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,7500,7500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00227546,"",D000000115,Microsoft Corp,7301,4500,2801,2022-04-18 00:00:00 +0000,48, , ,0,          
C00763623,"",D000073362,Anduril Industries,7300,0,7300,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,United Radio,7050,0,7050,2022-04-18 00:00:00 +0000,50, , ,0,          
C00098061,"",D000000619,Target Corp,7005,7000,5,2022-04-18 00:00:00 +0000,51, , ,0,          
C00078451,"",D000000165,General Dynamics,7000,7000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00091561,"",D000021771,National Active & Retired Federal Employees Assn,7000,7000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00158881,"",D000000249,New York Life Insurance,7000,7000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
