pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00281212,"",D000000583,BAE Systems,6000,6000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00078451,"",D000000165,General Dynamics,6000,6000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000544,Harvard University,5800,0,5800,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000076154,Plurus Strategies,5800,0,5800,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000030144,Strategic Marketing Innovations,5600,0,5600,2022-04-18 00:00:00 +0000,5, , ,0,          
C00278895,"",D000022145,"Nelson, Mullins et al",5500,4500,1000,2022-04-18 00:00:00 +0000,6, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,5100,5000,100,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000064579,Cape Cod Healthcare,5050,0,5050,2022-04-18 00:00:00 +0000,8, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00669929,"",          ,Common Good PAC,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00007922,"",D000000074,Laborers Union,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C70001979,"",D000000066,Teamsters Union,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Bedford High School,4500,0,4500,2022-04-18 00:00:00 +0000,17, , ,0,          
C00024521,"",D000000065,American Assn for Justice,4000,4000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00186288,"",D000000079,Verizon Communications,4000,4000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000063712,Thorn Run Partners,3380,0,3380,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000056939,Southcoast Health System,3300,0,3300,2022-04-18 00:00:00 +0000,21, , ,0,          
C00142711,"",D000000100,Boeing Co,3000,3000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Dellbrook Construction,3000,0,3000,2022-04-18 00:00:00 +0000,22, , ,0,          
C00096156,"",D000000334,Honeywell International,3000,3000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Planned Strategies,3000,0,3000,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Windjammer Construction,3000,0,3000,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Edward G Sawyer Co,2800,0,2800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000022282,Thornton Law Firm,2800,0,2800,2022-04-18 00:00:00 +0000,28, , ,0,          
C00004275,"",D000000087,American Bankers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,2500,2500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00420398,"",          ,Boehringer Ingelheim Corp,2500,2500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
