pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,NOT EMPLOYED,586802,0,586802,2022-04-18 00:00:00 +0000,1, , ,0,          
C00468314,"",D000025328,Democracy Engine,158375,0,158375,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000000406,University of California,70732,0,70732,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000030646,University of Arizona,62240,0,62240,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000031618,Arizona State University                ,54081,0,54081,2022-04-18 00:00:00 +0000,5, , ,0,          
C00227546,"",D000000115,Microsoft Corp,48331,0,48331,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000067823,Alphabet Inc,45216,0,45216,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000021754,Apple Inc,42351,0,42351,2022-04-18 00:00:00 +0000,8, , ,0,          
C00360354,"",D000023883,Amazon.com                              ,40965,0,40965,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000022300,US Government,38049,0,38049,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000022322,Wilmerhale Llp,36908,0,36908,2022-04-18 00:00:00 +0000,11, , ,0,          
C00441949,"",          ,JStreetPAC,30738,0,30738,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000020995,UBS AG,29565,0,29565,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",29000,0,29000,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000063612,SV Angel LLC,28200,0,28200,2022-04-18 00:00:00 +0000,15, , ,0,          
C00197749,"",D000000128,Walt Disney Co,27694,0,27694,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000022194,Power Rogers LLP,25175,0,25175,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000036528,Mass General Brigham,23674,0,23674,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000036033,MPS Group                               ,23560,0,23560,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Asuragen,23200,0,23200,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000086747,Cane Investments,23200,0,23200,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000022275,Technology Crossover Ventures,23200,0,23200,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000063703,Third Rock Ventures,23200,0,23200,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000031795,Banner Health,22857,0,22857,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000000544,Harvard University                      ,22699,0,22699,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,22497,0,22497,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Cadre Partners,22400,0,22400,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000000412,US House of Representatives,22165,0,22165,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000000720,IBM Corp,21738,0,21738,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000022098,Massachusetts Institute of Technology   ,21433,0,21433,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000030723,US Dept of Health & Human Services      ,20494,0,20494,2022-04-18 00:00:00 +0000,31, , ,0,          
C00695254,"",D000031782,Ballard Spahr LLP,20198,10000,10198,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000059925,Abelson Taylor,19933,0,19933,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000022230,Rudin Management,19700,0,19700,2022-04-18 00:00:00 +0000,34, , ,0,          
C00300178,"",D000019743,Wells Fargo,19660,0,19660,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000086892,Scaled Agile,19600,0,19600,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000063965,Wareham Development,19150,0,19150,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000000709,Susman Godfrey Llp,19000,0,19000,2022-04-18 00:00:00 +0000,38, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,18920,0,18920,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Growers House,18800,0,18800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000030730,US Dept of Veterans Affairs,18395,0,18395,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000034986,Kaiser Permanente,17716,0,17716,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000000517,DE Shaw & Co,17400,0,17400,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000033996,Genesis 10,17400,0,17400,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000081315,Locust Street Group,17400,0,17400,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000078728,Rms Investment Group,17400,0,17400,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000022025,Henry Crown & Co,17225,0,17225,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000000750,Stanford University,17073,0,17073,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000090630,Rogers Corp,16925,0,16925,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000037647,Snell & Wilmer,16910,0,16910,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000061881,Jane Street Capital,16850,0,16850,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Frederick C Berry Jr Pc,16720,0,16720,2022-04-18 00:00:00 +0000,52, , ,0,          
C00248716,"",D000000461,Comcast Corp,16666,0,16666,2022-04-18 00:00:00 +0000,53, , ,0,          
C00431072,"",D000024233,"Baker, Donelson et al                   ",16535,0,16535,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000000769,"Paul, Weiss et al",15940,0,15940,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000022219,Renaissance Technologies,15900,0,15900,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000088666,Cooper Moose Farm,15800,0,15800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000022296,University of Texas,15634,0,15634,2022-04-18 00:00:00 +0000,58, , ,0,          
C00125641,"",D000000804,Intel Corp                              ,15612,0,15612,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000036093,NASA,15602,0,15602,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",D000000811,Kirkland & Ellis,15080,0,15080,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Lindy Communities,15000,0,15000,2022-04-18 00:00:00 +0000,62, , ,0,          
C00418897,"",D000029722,VoteVets.org,15000,15000,0,2022-04-18 00:00:00 +0000,62,x, ,0,D000029722
C00128512,"",D000000103,JPMorgan Chase & Co,14873,0,14873,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000031926,Berkshire Group,14500,0,14500,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000021935,Cooney & Conway,14500,0,14500,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000000801,Warburg Pincus,14500,0,14500,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000022331,Yale University                         ,14227,0,14227,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000094122,Gerstein Tax Service,14100,0,14100,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",D000031958,Bill & Melinda Gates Foundation,13970,0,13970,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",          ,David H Gibson Photography,13275,0,13275,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000000812,State of California,13202,0,13202,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000034653,Indiana University                      ,13174,0,13174,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000021919,Clifford Law Offices,13050,0,13050,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",D000021873,Blackstone Group                        ,12917,0,12917,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",D000022299,US Dept of Defense,12702,0,12702,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",D000022179,Pederson Group,12600,0,12600,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",D000030655,University of Delaware,12426,0,12426,2022-04-18 00:00:00 +0000,78, , ,0,          
C00518233,"",D000036161,Netflix Inc,12332,0,12332,2022-04-18 00:00:00 +0000,79, , ,0,          
