pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00007922,"",D000000074,Laborers Union,17500,17500,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00109017,"",D000000076,AT&T Inc,15250,15000,250,2022-04-18 00:00:00 +0000,2, , ,0,          
C00274944,"",D000000540,College of American Pathologists,14500,14500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,University of Indiana,12825,0,12825,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000021849,Ariel Investments,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",11500,11500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00204453,"",D000000550,King & Spalding,11000,6000,5000,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,10300,10000,300,2022-04-18 00:00:00 +0000,8, , ,0,          
C00426775,"",D000000672,Charter Communications,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00204099,"",D000000408,Deere & Co,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00475665,"",D000045973,Growth Energy,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000068512,Emerson Collective,9930,0,9930,2022-04-18 00:00:00 +0000,12, , ,0,          
C00379628,"",D000028057,Nucor Corp,9000,9000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00248716,"",D000000461,Comcast Corp,8750,7500,1250,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000037797,State of Illinois                       ,8625,0,8625,2022-04-18 00:00:00 +0000,15, , ,0,          
C00106146,"",D000000116,American Hospital Assn,8500,8500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00142851,"",          ,Operating Engineers Local 150,7500,7500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00430256,"",D000027692,Molina Healthcare,7000,7000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000071500,Wicklow Capital,6600,0,6600,2022-04-18 00:00:00 +0000,20, , ,0,          
C00040279,"",D000000383,Abbott Laboratories,6000,6000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00046474,"",D000000182,Ford Motor Co,6000,6000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00431924,"",D000027032,Kidney Care Partners,6000,6000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000038066,University of Chicago Medical Center,6000,0,6000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000031228,@Properties LLC,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Complete Care Management Partners LLC,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000052426,Ischemix,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000000351,Newsweb Corp,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Retirement Plan Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
C70003124,"",D000000077,Service Employees International Union,5770,5000,770,2022-04-18 00:00:00 +0000,30, , ,0,          
C00312777,"",D000025169,Cozen O'Connor,5650,2500,3150,2022-04-18 00:00:00 +0000,31, , ,0,          
C00376590,"",D000026574,Illinois Corn Growers Assn,5250,5000,250,2022-04-18 00:00:00 +0000,32, , ,0,          
C00612010,"",D000071052,American Car Rental Assn,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00444885,"",          ,Astellas US,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000031958,Bill & Melinda Gates Foundation,5000,0,5000,2022-04-18 00:00:00 +0000,33, , ,0,          
C00332833,"",D000021892,Cardinal Health,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
