pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000033307,Dunlap & Kyle                                     ,23200,0,23200,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Usmi,16600,0,16600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000087371,Tower Loan,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
C00359588,"",D000021679,BGR Group,11000,0,11000,2022-04-18 00:00:00 +0000,4, , ,0,          
C00730903,"",D000023153,Mississippi Farm Bureau,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000082390,Hyperion Technology Group,8700,0,8700,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Prewett Holdings LLC,8700,0,8700,2022-04-18 00:00:00 +0000,6, , ,0,          
C00142711,"",D000000100,Boeing Co,8000,8000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00408500,"",D000029365,Telapex Inc,7900,7900,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00546234,"",D000000369,Leidos Inc,7000,7000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000047875,Boca Home Care,6564,0,6564,2022-04-18 00:00:00 +0000,11, , ,0,          
C00421230,"",D000025729,Airbus Group,6000,6000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00506733,"",D000071027,Cadence Bank,6000,5000,1000,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000060861,Crossroads Strategies,6000,0,6000,2022-04-18 00:00:00 +0000,12, , ,0,          
C00215285,"",D000000317,General Atomics,6000,6000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00416297,"",D000000431,National Cotton Council,6000,6000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00763623,"",D000073362,Anduril Industries,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000030937,Wax Co,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000031477,American Defense International,5625,0,5625,2022-04-18 00:00:00 +0000,19, , ,0,          
C00365965,"",D000021823,American Academy of Pediatric Dentistry,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al",5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,First Pharmacy Services,5000,0,5000,2022-04-18 00:00:00 +0000,20, , ,0,          
C00144147,"",          ,Mississippi Power,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00088591,"",D000000170,Northrop Grumman,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00002790,"",D000028131,Olin Corp,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00414896,"",D000028180,Osi Systems,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000087493,Taylor Machine Works,5000,0,5000,2022-04-18 00:00:00 +0000,20, , ,0,          
C00502807,"",D000074087,US Peanut PAC,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Wax Capital,5000,0,5000,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Wax Capitol,5000,0,5000,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000032312,Capitol Resources,4150,0,4150,2022-04-18 00:00:00 +0000,34, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,4009,4000,9,2022-04-18 00:00:00 +0000,35, , ,0,          
C00004275,"",D000000087,American Bankers Assn,3500,3500,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00034272,"",D000000568,National Chicken Council,3500,3500,0,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000075314,Waypoint Consulting,3500,0,3500,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Capital Resources,3250,0,3250,2022-04-18 00:00:00 +0000,39, , ,0,          
C00401083,"",D000067299,Squire Patton Boggs,3200,0,3200,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,First Group,3020,0,3020,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000033712,FL Crane & Sons,3000,0,3000,2022-04-18 00:00:00 +0000,42, , ,0,          
C00303024,"",D000000104,Lockheed Martin,3000,3000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00191759,"",          ,Renasant Bank,3000,3000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00542365,"",          ,Toyota Motor North America,3000,3000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Kllm,2900,0,2900,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000063780,Trinity Yachts,2900,0,2900,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Tupelo Furniture Mart,2900,0,2900,2022-04-18 00:00:00 +0000,47, , ,0,          
C00358440,"",D000021862,Balch & Bingham,2750,2500,250,2022-04-18 00:00:00 +0000,50, , ,0,          
C00211037,"",D000023806,Alabama Peanut Producers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00214148,"",D000023991,American Peanut Shellers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Cite Armored,2500,0,2500,2022-04-18 00:00:00 +0000,51, , ,0,          
C00295527,"",D000024850,Citizens United,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00228924,"",D000025061,Community Bancshares of Mississippi,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00440651,"",D000025467,Denbury Inc,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Dossett Big 4,2500,0,2500,2022-04-18 00:00:00 +0000,51, , ,0,          
C00272724,"",D000027470,"Maynard, Cooper & Gale",2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,McRight Services LLC,2500,0,2500,2022-04-18 00:00:00 +0000,51, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00374298,"",D000027872,National Peanut Buying Points Assn,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00480863,"",D000054336,National Shooting Sports Foundation,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Nolan Brothers Motor Sales,2500,0,2500,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000074557,Sbl Strategies,2500,0,2500,2022-04-18 00:00:00 +0000,51, , ,0,          
C00411116,"",D000029147,SpaceX,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00007948,"",D000000430,Weyerhaeuser Co,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00731414,"",D000072270,Amentum Services,2250,2000,250,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Coast Co,2100,0,2100,2022-04-18 00:00:00 +0000,69, , ,0,          
C00226472,"",D000023754,Adams & Reese,2000,0,2000,2022-04-18 00:00:00 +0000,70, , ,0,          
C00014019,"",D000023945,American Cotton Shippers Assn,2000,2000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
