pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00166553,"",D000000370,Stephens Inc,58200,0,58200,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Florida Crystals,46400,0,46400,2022-04-18 00:00:00 +0000,2, , ,0,          
C00436360,"",D000023885,Amedisys Inc,44310,30500,13810,2022-04-18 00:00:00 +0000,3,x, ,0,D000023885
         ,"",D000000536,Latham & Watkins,39900,0,39900,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000020995,UBS AG,39708,35000,4708,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000081721,Blue Owl Capital,37700,0,37700,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000068060,ClearPath Foundation,37400,0,37400,2022-04-18 00:00:00 +0000,7,x, ,0,D000068060
C00326595,"",D000021891,Capital One Financial,36445,36000,445,2022-04-18 00:00:00 +0000,8,x, ,3,D000021891
         ,"",D000067478,Ochsner Health System,35735,0,35735,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000069797,Veritiv Corp,35620,0,35620,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Ochsner Health,35580,0,35580,2022-04-18 00:00:00 +0000,11, , ,0,          
C00335570,"",          ,Acadian Ambulance Service,35310,12500,22810,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Hunt Consolidated,34800,0,34800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000068061,Oberndorf Enterprises,34800,0,34800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000037074,Reyes Holdings,34800,0,34800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000000772,Station Casinos,34800,0,34800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000000684,Duchossois Group,33200,0,33200,2022-04-18 00:00:00 +0000,17, , ,0,          
C00217877,"",D000022262,Southern Glazer's Wine & Spirits,32475,0,32475,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000034264,Haebler Capital,31900,0,31900,2022-04-18 00:00:00 +0000,19, , ,0,          
C00635516,"",D000068133,Tellurian Inc,31325,5000,26325,2022-04-18 00:00:00 +0000,20,x, ,0,D000068133
C00409789,"",D000024380,Blessey Marine Service,29630,14700,14930,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000035113,Kingdon Capital Management,29000,0,29000,2022-04-18 00:00:00 +0000,22, , ,0,          
