pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000067823,Alphabet Inc,110163,0,110163,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000750,Stanford University,36629,0,36629,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000031097,"Wilson, Sonsini et al",36600,0,36600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",29000,0,29000,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000069477,Y Combinator,25900,0,25900,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000030752,US Venture Partners,24900,0,24900,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000000406,University of California,24296,0,24296,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000031277,Accel Partners,23200,0,23200,2022-04-18 00:00:00 +0000,8, , ,0,          
C00441949,"",          ,JStreetPAC,22030,0,22030,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000060800,Cooley Llp,19000,0,19000,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000021754,Apple Inc,18814,0,18814,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000072051,Accel Inc,17200,0,17200,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Nexus Venture Partners,17200,0,17200,2022-04-18 00:00:00 +0000,12, , ,0,          
C00502906,"",D000033563,Meta,16950,0,16950,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,NOT EMPLOYED,16766,0,16766,2022-04-18 00:00:00 +0000,15, , ,0,          
C00511600,"",D000037335,Salesforce.com,15960,0,15960,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000022106,McKinsey & Co,15600,0,15600,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000035084,Khosla Ventures,14100,0,14100,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Xapo Bank,13500,0,13500,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000087600,Shifamed LLC,13100,0,13100,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000067113,Twitter,12600,0,12600,2022-04-18 00:00:00 +0000,21, , ,0,          
C00337626,"",D000000106,Morgan Stanley,12303,0,12303,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000021849,Ariel Investments,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Avia Health,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000000771,Berger & Montague,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000048321,Cargo Ventures,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Cavium,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000087614,Cervin Ventures,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000090519,Dragoneer Investment Group,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Eplanet Capital Advisors Us,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Family Medical Care Plus,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
