pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,21250,0,21250,2022-04-18 00:00:00 +0000,1, , ,0,          
C00078451,"",D000000165,General Dynamics,20000,20000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00091561,"",D000021771,National Active & Retired Federal Employees Assn,20000,20000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Amsc,16700,0,16700,2022-04-18 00:00:00 +0000,4, , ,0,          
C00012245,"",          ,UBS Americas,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00227546,"",D000000115,Microsoft Corp,11700,2500,9200,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Digital Control Inc,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
C00096156,"",D000000334,Honeywell International,11500,11500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000047237,Arch Venture Partners,10800,0,10800,2022-04-18 00:00:00 +0000,9, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,10500,10500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00211318,"",D000000131,Deloitte LLP,10165,10000,165,2022-04-18 00:00:00 +0000,11, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00248716,"",D000000461,Comcast Corp,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00068692,"",D000000089,FedEx Corp,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,NOT EMPLOYED,9410,0,9410,2022-04-18 00:00:00 +0000,19, , ,0,          
C00103697,"",D000000237,Bechtel Group,9000,7500,1500,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000022106,McKinsey & Co,8700,0,8700,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000037452,Second Avenue Partners,8700,0,8700,2022-04-18 00:00:00 +0000,21, , ,0,          
C00088591,"",D000000170,Northrop Grumman,8500,8500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000086865,New Care Concepts,8299,0,8299,2022-04-18 00:00:00 +0000,24, , ,0,          
C00360354,"",D000023883,Amazon.com,7900,5000,2900,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000023656,Shakopee Mdewakanton Sioux Community,7900,0,7900,2022-04-18 00:00:00 +0000,25, , ,0,          
C00731414,"",D000072270,Amentum Services,7500,7500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,7500,7500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00215285,"",D000000317,General Atomics,7500,7500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00007922,"",D000000074,Laborers Union,7500,7500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00158881,"",D000000249,New York Life Insurance,7500,7500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00001636,"",          ,SMART Transportation Division,7500,7500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00098061,"",D000000619,Target Corp,7500,7500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Citation Management Group,7300,0,7300,2022-04-18 00:00:00 +0000,34, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,6500,6500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00411694,"",          ,Saltchuk Resources,6500,6500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000034797,Jamestown S'Klallam Tribe,6424,0,6424,2022-04-18 00:00:00 +0000,37, , ,0,          
C00303024,"",D000000104,Lockheed Martin,6100,6000,100,2022-04-18 00:00:00 +0000,38, , ,0,          
C00024521,"",D000000065,American Assn for Justice,6000,6000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00762427,"",D000075334,Applied Research Assoc,6000,5000,1000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00142711,"",D000000100,Boeing Co,5936,4500,1436,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000071044,Resource Management Service LLC,5935,0,5935,2022-04-18 00:00:00 +0000,42, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Apercen Partners,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000031765,Bain & Co,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000031958,Bill & Melinda Gates Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Celerystix Productions Inc,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Compass Lexecon LLC,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Gensco Inc,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Goodman Real Estate,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000053227,Lower Elwha Klallam Tribe,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000062286,Manocherian Brothers,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000084142,Nanostring Technologies,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Overlake Internal Medical Assn,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Quileute Tribe,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000087729,Richmark Label,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000090878,Roeco Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Rosen Investment Co,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000030575,Tulalip Tribes of Washington,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000072028,Valve Corp,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000036885,Puyallup Tribe Of Indians,5700,0,5700,2022-04-18 00:00:00 +0000,61, , ,0,          
