pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00441949,"",          ,JStreetPAC,108055,0,108055,2022-04-18 00:00:00 +0000,1, , ,0,          
C00468314,"",D000025328,Democracy Engine,80333,0,80333,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,NOT EMPLOYED,63229,0,63229,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000036829,Princeton University,25141,0,25141,2022-04-18 00:00:00 +0000,4, , ,0,          
C00422774,"",          ,Frontline USA,24985,5000,19985,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000070423,Arista Networks,23325,0,23325,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000089976,Woods & Wayside International,21600,0,21600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000088391,Afex International,20300,0,20300,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000000750,Stanford University,19480,0,19480,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000031405,Allen & Overy,19337,0,19337,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000067823,Alphabet Inc,18786,0,18786,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000065774,Richmond Global,17400,0,17400,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000063612,SV Angel LLC,17400,0,17400,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000030327,Temple University,15770,0,15770,2022-04-18 00:00:00 +0000,14, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",15500,0,15500,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Osc,15500,0,15500,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000037301,Rutgers University,13954,0,13954,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000032249,Cambridge Assoc,12600,0,12600,2022-04-18 00:00:00 +0000,18, , ,0,          
C00003632,"",D000000302,Bricklayers Union,12500,12500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,12500,12500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C90005786,"",D000000288,League of Conservation Voters,12404,2004,10400,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000022295,University of Pennsylvania,12187,0,12187,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000073499,Pinterest Inc,11850,0,11850,2022-04-18 00:00:00 +0000,23, , ,0,          
C00195388,"",D000021746,"Buchanan, Ingersoll & Rooney",11798,0,11798,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000044673,Bayada Home Health Care,11722,0,11722,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000037678,Sotheby's,11625,0,11625,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Avenues,11600,0,11600,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000088712,Genki Advisory,11600,0,11600,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000093071,Humu Inc,11600,0,11600,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000035084,Khosla Ventures,11600,0,11600,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000088499,Locus Analytics,11600,0,11600,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000055239,Partnership With Children,11600,0,11600,2022-04-18 00:00:00 +0000,27, , ,0,          
