pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00484535,"",D000065181,Votesane PAC,107166,0,107166,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Zion Enterprises,21600,0,21600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Acap Holdings LLC,21594,0,21594,2022-04-18 00:00:00 +0000,3, , ,0,          
C90012063,"",D000028612,Republican Jewish Coalition,16481,2500,13981,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000033678,1st Financial Bank Usa,15900,0,15900,2022-04-18 00:00:00 +0000,5, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,13030,13000,30,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000090474,Pence Wealth Management,12850,0,12850,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000037717,Spencer Enterprises,12100,0,12100,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,AQR Capital Management,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000061881,Jane Street Capital,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000071830,Standard Industries,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
C00166553,"",D000000370,Stephens Inc,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,"Edward G Lewis, A Prof",11475,0,11475,2022-04-18 00:00:00 +0000,17, , ,0,          
C00040253,"",D000000632,Allstate Insurance,11014,11000,14,2022-04-18 00:00:00 +0000,18, , ,0,          
C00433060,"",D000029531,Republican Governance Group,11000,11000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,3 Plus Logistics Group,10800,0,10800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Primior,10800,0,10800,2022-04-18 00:00:00 +0000,20, , ,0,          
C00280222,"",D000019986,KPMG LLP,10520,10500,20,2022-04-18 00:00:00 +0000,22, , ,0,          
C00068528,"",          ,Pacific Life Insurance,10050,10000,50,2022-04-18 00:00:00 +0000,23, , ,0,          
C00647354,"",          ,Bringing America Together,10000,10000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00570945,"",          ,E-PAC,10000,10000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00390161,"",D000025728,Eureka PAC,10000,10000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Lollicup,10000,0,10000,2022-04-18 00:00:00 +0000,24, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,10000,10000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
