pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00040394,"",D000000480,Williams Companies,25600,10000,15600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000811,Kirkland & Ellis                        ,24895,0,24895,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,G DOUGLAS HARTZHEIM AGENCY,17400,0,17400,2022-04-18 00:00:00 +0000,3, , ,0,          
C00689091,"",D000000810,Carlyle Group,15118,10000,5118,2022-04-18 00:00:00 +0000,4, , ,0,          
C00343459,"",D000021829,American College of Radiology,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,14000,5000,9000,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Analytics,13900,0,13900,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000092652,LHP Capital LLC,13500,0,13500,2022-04-18 00:00:00 +0000,9, , ,0,          
C00186288,"",D000000079,Verizon Communications,13439,10000,3439,2022-04-18 00:00:00 +0000,10, , ,0,          
C00337626,"",D000000106,Morgan Stanley,13250,1000,12250,2022-04-18 00:00:00 +0000,11, , ,0,          
C00379628,"",D000028057,Nucor Corp,12800,0,12800,2022-04-18 00:00:00 +0000,12, , ,0,          
C00236489,"",D000000186,Koch Industries,12500,12500,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00142711,"",D000000100,Boeing Co,12150,5000,7150,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000000684,Duchossois Group,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Enpc,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Supplycore,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000067823,Alphabet Inc,11191,7500,3691,2022-04-18 00:00:00 +0000,18, , ,0,          
C00369751,"",D000000585,Dell Technologies,10938,10000,938,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Aperture Group,10800,0,10800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Duchossois Family Foundation,10800,0,10800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Fce,10800,0,10800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000022092,Madison Dearborn Partners,10800,0,10800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Tradelane Properties,10800,0,10800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Batten & Shaw Inc,10708,0,10708,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000084264,Longford Capital Management,10600,0,10600,2022-04-18 00:00:00 +0000,26, , ,0,          
C00141218,"",D000000368,Exelon Corp,10500,10000,500,2022-04-18 00:00:00 +0000,27, , ,0,          
C00248716,"",D000000461,Comcast Corp,10250,10000,250,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Partner Companiesnies,10250,0,10250,2022-04-18 00:00:00 +0000,28, , ,0,          
C00326595,"",D000021891,Capital One Financial,10225,10000,225,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Diversified Cpc,10050,0,10050,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000031263,Aberdeen Inc,10000,0,10000,2022-04-18 00:00:00 +0000,32, , ,0,          
C00267849,"",D000000839,Allied Pilots Assn,10000,0,10000,2022-04-18 00:00:00 +0000,32, , ,0,          
C00206136,"",D000023888,Ameren Corp,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00480228,"",D000045959,Continuing America's Strength & Security,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00638130,"",          ,Cowboy PAC,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00007922,"",D000000074,Laborers Union,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00469205,"",D000053595,Mednax Inc,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00145037,"",          ,Southern Co Gas,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00360669,"",D000029139,Southwest Airlines Pilots Assn,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Stonehall Farm,10000,0,10000,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000089574,Thomas A Barron LLC,10000,0,10000,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000091347,Chicago Venture Partners,9900,0,9900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,9759,9000,759,2022-04-18 00:00:00 +0000,46, , ,0,          
C00433060,"",D000029531,Republican Governance Group,9000,9000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000000662,WPP Group,9000,1000,8000,2022-04-18 00:00:00 +0000,47, , ,0,          
C00608943,"",          ,ClearPath Action,8700,0,8700,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000021757,Berkshire Hathaway,8150,7500,650,2022-04-18 00:00:00 +0000,50, , ,0,          
C00064766,"",D000000081,United Parcel Service,8110,5000,3110,2022-04-18 00:00:00 +0000,51, , ,0,          
C00362707,"",D000000374,Cisco Systems,7987,5000,2987,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000067737,Carus Corp,7900,0,7900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000032421,CC Industries,7900,0,7900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Ellicott Dredge Enterprises,7900,0,7900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000083827,Inspired Beauty Brands,7900,0,7900,2022-04-18 00:00:00 +0000,53, , ,0,          
C00419911,"",D000024683,Lumen Technologies,7025,7000,25,2022-04-18 00:00:00 +0000,57, , ,0,          
C00359588,"",D000021679,BGR Group,7000,0,7000,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000000659,State Farm Insurance,6854,2500,4354,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Wi-Tronix LLC,6567,0,6567,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",D000022111,"Mehlman, Castagnetti et al",6500,0,6500,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000052376,Iomax Usa,6100,0,6100,2022-04-18 00:00:00 +0000,62, , ,0,          
C00343137,"",          ,American Assn of Orthopaedic Surgeons,6000,6000,0,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Hsr Capital LLC,6000,0,6000,2022-04-18 00:00:00 +0000,63, , ,0,          
