pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000000811,Kirkland & Ellis,268050,0,268050,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000036277,Northwestern University                 ,39735,0,39735,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000021919,Clifford Law Offices,35300,0,35300,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000036911,"Quinn, Emanuel et al                    ",34900,0,34900,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Dallas Ent,28200,0,28200,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,NOT EMPLOYED,28038,0,28038,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000084601,MS International,27199,0,27199,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000034084,Global Petroleum,27101,0,27101,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000022194,Power Rogers Llp,23900,0,23900,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000021849,Ariel Investments,21600,0,21600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000030661,University of Illinois                  ,21140,0,21140,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000000406,University of California                ,20845,0,20845,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000021935,Cooney & Conway,20699,0,20699,2022-04-18 00:00:00 +0000,13, , ,0,          
C00351270,"",D000022249,Sidley Austin LLP,17850,0,17850,2022-04-18 00:00:00 +0000,14, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,17500,17500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000022092,Madison Dearborn Partners,17400,0,17400,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000044240,Moelis & Co,17100,0,17100,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000073994,Raj Assoc,16600,0,16600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,High Bluff Capital Partners,15599,0,15599,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000022106,McKinsey & Co,15100,0,15100,2022-04-18 00:00:00 +0000,20, , ,0,          
C00109017,"",D000000076,AT&T Inc,15095,7000,8095,2022-04-18 00:00:00 +0000,21, , ,0,          
C00142851,"",          ,Operating Engineers Local 150,15000,15000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000000569,Mayer Brown LLP,14650,0,14650,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Watergate & Burke Allergy & Asthma,14400,0,14400,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000000544,Harvard University                      ,14060,0,14060,2022-04-18 00:00:00 +0000,25, , ,0,          
C00300707,"",D000000786,Accenture,13035,0,13035,2022-04-18 00:00:00 +0000,26, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,12000,12000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00502906,"",D000033563,Meta,11615,0,11615,2022-04-18 00:00:00 +0000,28, , ,0,          
C00186064,"",D000028398,Pnc Financial Services,11610,0,11610,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Cim,11600,0,11600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Cive Inc,11600,0,11600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Clinton Companies,11600,0,11600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Gti,11600,0,11600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000084307,Indrani'S Light Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000052144,Infinite Computer Solutions,11600,0,11600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000043186,Killerspin,11600,0,11600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000092349,Lion Cave Capital,11600,0,11600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Nav Consulting,11600,0,11600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000084243,Oakwood Books,11600,0,11600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,People Tech,11600,0,11600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Sdi Presence,11600,0,11600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Shiv Shakti Industries,11600,0,11600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Stris & Maher Llp,11600,0,11600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000081960,Symphony Technology Group,11600,0,11600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000074198,Transglobal Technologies,11600,0,11600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Trilogy,11600,0,11600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Worth Workplace LLC,11600,0,11600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Zyter Inc,11600,0,11600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,American Metal Technologies,11599,0,11599,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000021873,Blackstone Group                        ,11500,0,11500,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",          ,Delgado Rompf Bruen LLC,11400,0,11400,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Inter-Continental Trading USA,11200,0,11200,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Uca Group,11200,0,11200,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000087919,Weglarz Co,11198,0,11198,2022-04-18 00:00:00 +0000,54, , ,0,          
C00625921,"",D000046283,AAR Corp,11175,5800,5375,2022-04-18 00:00:00 +0000,55, , ,0,          
C00227744,"",D000000098,Ernst & Young,11050,5000,6050,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",          ,Quinnox,10800,0,10800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000088734,Roblox Corp,10800,0,10800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Soovu,10800,0,10800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000084269,7wireventures,10600,0,10600,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",D000035911,Milliman Inc,10600,0,10600,2022-04-18 00:00:00 +0000,60, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,10000,10000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,10000,10000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00204099,"",D000000408,Deere & Co,10000,10000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,10000,10000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,10000,10000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",10000,10000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C70001979,"",D000000066,Teamsters Union,10000,10000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00003590,"",D000000102,United Steelworkers,10000,10000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000030649,University of Chicago,9947,0,9947,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000031833,"Bartlit, Beck et al",9750,0,9750,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000031770,Baker & McKenzie,9600,0,9600,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Kmg,9600,0,9600,2022-04-18 00:00:00 +0000,73, , ,0,          
C00626648,"",D000000716,HP Inc,9505,0,9505,2022-04-18 00:00:00 +0000,75, , ,0,          
C00280222,"",D000019986,KPMG LLP,9500,2500,7000,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",D000034986,Kaiser Permanente,9202,0,9202,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",D000092411,Our Next Energy,9200,0,9200,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",D000000536,Latham & Watkins,9050,0,9050,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000022332,Zurich Insurance Group,9000,9000,0,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000019838,Agilent Technologies,8800,0,8800,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,RT Specialty,8800,0,8800,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Unaiva Management LLC,8800,0,8800,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Wwlp,8800,0,8800,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",D000043318,AT Kearney Inc,8700,0,8700,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",D000021867,Baupost Group,8700,0,8700,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",D000091845,Bw Financial Services,8700,0,8700,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",D000073978,K Rowe Investments,8700,0,8700,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",D000090608,Newmark Group,8700,0,8700,2022-04-18 00:00:00 +0000,85, , ,0,          
