pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000087230,"Lewis, Thomason et al",21850,0,21850,2022-04-18 00:00:00 +0000,1, , ,0,          
C00702308,"",D000072032,Advance Financial,21600,0,21600,2022-04-18 00:00:00 +0000,2, , ,0,          
C00233056,"",D000024208,AutoZone Inc,17600,5000,12600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000021845,Apollo Global Management,15300,5000,10300,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000030485,Tower Ventures,14850,0,14850,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Haury & Smith,13900,0,13900,2022-04-18 00:00:00 +0000,6, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,12500,12500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Carlisle Corp                                     ,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Edwin M Jones Oil Co,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Farris Bobango PLLC,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
C00406066,"",D000025822,First Horizon Corp,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000093980,Hyde Family Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000080571,Mid-America Apartment Communities,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Tower Investments Inc,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
C00034405,"",D000000171,International Paper,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00005249,"",D000000096,National Assn of Insurance & Financial Advisors,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00300178,"",D000019743,Wells Fargo,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000090969,Orgill Inc,9700,0,9700,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000032076,Boyle Investment Co,7800,0,7800,2022-04-18 00:00:00 +0000,20, , ,0,          
C00004275,"",D000000087,American Bankers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00012914,"",D000000608,American Land Title Assn,7500,7500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Ellichman Vascular,6800,0,6800,2022-04-18 00:00:00 +0000,23, , ,0,          
C00068692,"",D000000089,FedEx Corp,6500,5000,1500,2022-04-18 00:00:00 +0000,24, , ,0,          
C00416297,"",D000000431,National Cotton Council,6500,6500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00414649,"",D000000471,Encompass Health,6000,5000,1000,2022-04-18 00:00:00 +0000,26, , ,0,          
C00486217,"",          ,LPL Financial,6000,6000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00388827,"",D000066716,Rock Holdings,6000,6000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
