pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
C00349746,"",D000021885,California Dairies Inc,10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00448373,"",D000026537,Huck PAC,10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Old Durham Wood,8600,0,8600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,8, , ,0,          
C00308478,"",D000029615,USA Rice Federation,7000,7000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000035862,Midland Energy,6470,0,6470,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Reason Farms,6000,0,6000,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000021912,Citadel LLC,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000060990,Dimensional Fund Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000061337,Founders Fund,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000080499,Franklin Mountain Management,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000034038,Gh Palmer Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000068961,Harold Simmons Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000000342,Jw Childs Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000036031,Mountaire Corp,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000036804,Prescott Investors,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,"Redding Rancharia, ",5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Ryan Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
