pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000035142,Kline & Specter,85800,0,85800,2022-04-18 00:00:00 +0000,1, , ,0,          
C00468314,"",D000025328,Democracy Engine,62500,0,62500,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000067823,Alphabet Inc,48382,0,48382,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000022295,University of Pennsylvania,40655,0,40655,2022-04-18 00:00:00 +0000,4, , ,0,          
C00186064,"",D000028398,PNC Financial Services,36985,0,36985,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000031097,"Wilson, Sonsini et al",35450,0,35450,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000021873,Blackstone Group,35400,0,35400,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,34615,0,34615,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000022261,Sony Corp,33725,0,33725,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000022298,UPMC Health System                      ,27577,0,27577,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,NOT EMPLOYED,26535,0,26535,2022-04-18 00:00:00 +0000,11, , ,0,          
C00213173,"",D000000766,K&L Gates,24510,0,24510,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",24500,0,24500,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000021767,National Amusements Inc,23925,0,23925,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000053972,Mosaic Media Group,23210,0,23210,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000070423,Arista Networks,23200,0,23200,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Law Offices of Richard Schiffi,23200,0,23200,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,UBS Financial Services,23200,0,23200,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000000412,US House of Representatives,22420,0,22420,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000032358,Carnegie Mellon University,22042,0,22042,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Massachusetts General Hospital,21600,0,21600,2022-04-18 00:00:00 +0000,21, , ,0,          
C00695254,"",D000031782,Ballard Spahr LLP,20720,0,20720,2022-04-18 00:00:00 +0000,22, , ,0,          
C00502906,"",D000033563,Meta,20625,0,20625,2022-04-18 00:00:00 +0000,23, , ,0,          
C00242057,"",D000022215,Reed Smith LLP,19790,0,19790,2022-04-18 00:00:00 +0000,24, , ,0,          
C00227546,"",D000000115,Microsoft Corp,18201,0,18201,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000021915,"City of New York, NY",16723,0,16723,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000033360,"Eckert, Seamans et al                   ",16700,0,16700,2022-04-18 00:00:00 +0000,27, , ,0,          
C00312777,"",D000025169,Cozen O'Connor,15810,0,15810,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000072051,Accel Inc,15800,0,15800,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000021928,Commonwealth of Pennsylvania            ,15390,0,15390,2022-04-18 00:00:00 +0000,30, , ,0,          
C00024869,"",D000000125,General Electric,15375,0,15375,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000032937,Creative Artists Agency,15140,0,15140,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000000771,Berger & Montague,14500,0,14500,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000072024,Charlesbank Capital Partners,14500,0,14500,2022-04-18 00:00:00 +0000,33, , ,0,          
