pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00699470,"",D000073971,Pro-Israel America Pac,228500,0,228500,2022-04-18 00:00:00 +0000,1, , ,0,          
C00484535,"",D000065181,Votesane PAC,125500,0,125500,2022-04-18 00:00:00 +0000,2, , ,0,          
C00027466,"",D000036122,National Republican Senatorial Cmte,46501,46500,1,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,45000,45000,0,2022-04-18 00:00:00 +0000,4,x, ,4,D000000109
C00477653,"",D000000768,Cox Enterprises                         ,44900,41500,3400,2022-04-18 00:00:00 +0000,5,x, ,1,D000000768
C00040394,"",D000000480,Williams Companies,43400,25000,18400,2022-04-18 00:00:00 +0000,6,x, ,0,D000000480
C00010470,"",D000000118,Union Pacific Corp,35000,35000,0,2022-04-18 00:00:00 +0000,7,x, ,0,D000000118
C00109017,"",D000000076,AT&T Inc,34010,33000,1010,2022-04-18 00:00:00 +0000,8,x, ,2,D000000076
C00236489,"",D000000186,Koch Industries,34000,33000,1000,2022-04-18 00:00:00 +0000,9,x, ,1,D000000186
         ,"",D000021873,Blackstone Group                        ,33656,0,33656,2022-04-18 00:00:00 +0000,10, , ,0,          
C00091561,"",D000021771,National Active & Retired Federal Employees Assn,33500,33500,0,2022-04-18 00:00:00 +0000,11,x, ,0,D000021771
C00100321,"",D000071910,L3Harris Technologies,33000,33000,0,2022-04-18 00:00:00 +0000,12,x, ,0,D000071910
C00109546,"",D000022303,Valero Energy,32500,32500,0,2022-04-18 00:00:00 +0000,13,x, ,0,D000022303
C00096156,"",D000000334,Honeywell International,31000,31000,0,2022-04-18 00:00:00 +0000,14,x, ,1,D000000334
C00004275,"",D000000087,American Bankers Assn,30500,27500,3000,2022-04-18 00:00:00 +0000,15,x, ,3,D000000087
C00426775,"",D000000672,Charter Communications,30000,30000,0,2022-04-18 00:00:00 +0000,16,x, ,1,D000000672
C00158881,"",D000000249,New York Life Insurance,30000,30000,0,2022-04-18 00:00:00 +0000,16,x, ,2,D000000249
C00325332,"",D000024003,American Seniors Housing Assn,28500,27500,1000,2022-04-18 00:00:00 +0000,18,x, ,0,D000024003
C00088591,"",D000000170,Northrop Grumman,27838,27500,338,2022-04-18 00:00:00 +0000,19,x, ,0,D000000170
C00551184,"",D000032848,Continental Resources,27800,8500,19300,2022-04-18 00:00:00 +0000,20, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,27500,27500,0,2022-04-18 00:00:00 +0000,21,x, ,2,D000000309
C00332296,"",D000029292,Susan B Anthony List,27168,3968,23200,2022-04-18 00:00:00 +0000,22,x, ,0,D000029292
C00078451,"",D000000165,General Dynamics,27125,27125,0,2022-04-18 00:00:00 +0000,23,x, ,3,D000000165
C00343137,"",          ,American Assn of Orthopaedic Surgeons,26000,26000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000060635,Cherokee Nation,25800,0,25800,2022-04-18 00:00:00 +0000,25, , ,0,          
C00251876,"",D000000391,Amgen Inc,25255,24500,755,2022-04-18 00:00:00 +0000,26,x, ,1,D000000391
C00012245,"",          ,UBS Americas,25250,25000,250,2022-04-18 00:00:00 +0000,27, , ,0,          
C00064766,"",D000000081,United Parcel Service,25005,25000,5,2022-04-18 00:00:00 +0000,28,x, ,1,D000000081
C00350744,"",D000000085,Goldman Sachs,24300,18500,5800,2022-04-18 00:00:00 +0000,29,x, ,2,D000000085
C00382796,"",D000035370,LHC Group,24200,0,24200,2022-04-18 00:00:00 +0000,30,x, ,0,D000035370
C00039206,"",D000000276,Williams & Jensen,23750,1000,22750,2022-04-18 00:00:00 +0000,31, ,x,2,D000000276
         ,"",D000021757,Berkshire Hathaway,23500,23500,0,2022-04-18 00:00:00 +0000,32,x, ,1,D000021757
C00408260,"",D000026283,Grant Thornton LLP,23500,22500,1000,2022-04-18 00:00:00 +0000,32,x,x,0,D000026283
         ,"",D000070476,Senior Star,23200,0,23200,2022-04-18 00:00:00 +0000,34, , ,0,          
C00248716,"",D000000461,Comcast Corp,22500,22500,0,2022-04-18 00:00:00 +0000,35,x, ,5,D000000461
C00034405,"",D000000171,International Paper,22500,22500,0,2022-04-18 00:00:00 +0000,35,x, ,1,D000000171
C00030809,"",D000022132,National Community Pharmacists Assn,22500,22500,0,2022-04-18 00:00:00 +0000,35,x, ,0,D000022132
         ,"",D000025929,Fresenius Medical Care,22250,15000,7250,2022-04-18 00:00:00 +0000,38, , ,0,          
C00211318,"",D000000131,Deloitte LLP,20500,19500,1000,2022-04-18 00:00:00 +0000,39,x,x,0,D000000131
C00227744,"",D000000098,Ernst & Young,20250,17500,2750,2022-04-18 00:00:00 +0000,40,x,x,1,D000000098
         ,"",D000000121,American Financial Group,20000,0,20000,2022-04-18 00:00:00 +0000,41, , ,0,          
C00024968,"",D000000194,American Optometric Assn,20000,19500,500,2022-04-18 00:00:00 +0000,41,x, ,1,D000000194
C00284885,"",D000000419,Home Depot,20000,20000,0,2022-04-18 00:00:00 +0000,41,x, ,1,D000000419
C00130773,"",D000000755,National Multifamily Housing Council,20000,20000,0,2022-04-18 00:00:00 +0000,41,x, ,0,D000000755
C00015933,"",D000000658,Pinnacle West Capital,20000,20000,0,2022-04-18 00:00:00 +0000,41,x, ,0,D000000658
         ,"",          ,Hanor Co,19500,0,19500,2022-04-18 00:00:00 +0000,46, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,19000,19000,0,2022-04-18 00:00:00 +0000,47,x, ,1,D000000062
C00064774,"",D000000321,NextEra Energy,19000,19000,0,2022-04-18 00:00:00 +0000,47,x, ,3,D000000321
         ,"",D000021845,Apollo Global Management,18600,5000,13600,2022-04-18 00:00:00 +0000,49, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,18500,18500,0,2022-04-18 00:00:00 +0000,50,x, ,3,D000000606
C00428110,"",D000029158,Spirit Aerosystems,18300,12500,5800,2022-04-18 00:00:00 +0000,51,x, ,0,D000029158
