pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00104802,"",D000000350,Delta Air Lines,18050,17500,550,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Seacast Inc,17700,0,17700,2022-04-18 00:00:00 +0000,2, , ,0,          
C00131185,"",D000000233,Aircraft Owners & Pilots Assn,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00286401,"",D000000145,Seafarers International Union           ,14750,14500,250,2022-04-18 00:00:00 +0000,5, , ,0,          
C00068692,"",D000000089,FedEx Corp,14550,14000,550,2022-04-18 00:00:00 +0000,6, , ,0,          
C00360354,"",D000023883,Amazon.com,14500,12500,2000,2022-04-18 00:00:00 +0000,7, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,13500,13500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,12500,12500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00008268,"",D000000178,Transport Workers Union,12500,12500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000000147,Marine Engineers Beneficial Assn,12000,12000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Amsc,11200,0,11200,2022-04-18 00:00:00 +0000,12, , ,0,          
C00099234,"",          ,Brotherhood of Locomotive Engineers & Trainmen,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00204099,"",D000000408,Deere & Co,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00073056,"",D000000506,"Masters, Mates & Pilots Union",10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00097865,"",D000027807,National Assn of Truck Stop Operators,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00064766,"",D000000081,United Parcel Service,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00488262,"",D000070195,Netjets Assn of Shared Aircraft Pilots,9000,9000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00142711,"",D000000100,Boeing Co,8125,7000,1125,2022-04-18 00:00:00 +0000,19, , ,0,          
C00421230,"",D000025729,Airbus Group,8000,8000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00096156,"",D000000334,Honeywell International,7500,7500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00088591,"",D000000170,Northrop Grumman,7500,7500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,7500,7500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00478099,"",D000045889,Atlas Air Worldwide,7000,7000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000089981,Propeller Airports,6800,0,6800,2022-04-18 00:00:00 +0000,25, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,6500,6500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00103549,"",D000022175,Parsons Corp,6500,6500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
