pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00388827,"",D000066716,Rock Holdings,18800,13000,5800,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Carbon Robotics,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
C00076810,"",D000000155,General Motors,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Chemicomays LLC,7564,0,7564,2022-04-18 00:00:00 +0000,4, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",7500,7500,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00010322,"",D000000143,American Postal Workers Union,6000,6000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00366070,"",D000025772,Federal Aviation Admin Managers Assn,6000,6000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00488262,"",D000070195,Netjets Assn of Shared Aircraft Pilots,6000,6000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Mup,5800,0,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
C00084061,"",          ,Blue Cross/Blue Shield of Michigan,5500,5500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00075473,"",D000000403,CMS Energy,5100,5000,100,2022-04-18 00:00:00 +0000,12, , ,0,          
C00579540,"",D000034090,Ally Financial,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00081547,"",D000000561,DTE Energy,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00384354,"",          ,Michigan Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00238204,"",D000028214,Pakistani American Public Affairs Cmte,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00286401,"",D000000145,Seafarers International Union           ,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C70003124,"",D000000077,Service Employees International Union,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00360669,"",D000029139,Southwest Airlines Pilots Assn,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00008268,"",D000000178,Transport Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00004861,"",D000022292,UNITE HERE,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Chemico,3900,0,3900,2022-04-18 00:00:00 +0000,27, , ,0,          
C00109017,"",D000000076,AT&T Inc,3750,3500,250,2022-04-18 00:00:00 +0000,28, , ,0,          
C00009936,"",D000000304,American Federation of Government Employees,3500,3500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00250753,"",D000024207,Auto Care Assn,3500,3500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00299321,"",D000000193,MGM Resorts International,3500,3500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,3500,3500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00248716,"",D000000461,Comcast Corp,3250,3000,250,2022-04-18 00:00:00 +0000,33, , ,0,          
C00342113,"",D000021968,Dykema Gossett,3000,3000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00303024,"",D000000104,Lockheed Martin,3000,3000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00430256,"",D000027692,Molina Healthcare,3000,3000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,3000,3000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00013342,"",D000029577,United Mine Workers of America,3000,3000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00093054,"",D000000367,Walmart Inc,3000,3000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
