pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Jay Odom Group,7900,0,7900,2022-04-18 00:00:00 +0000,1, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00005249,"",D000000096,National Assn of Insurance & Financial Advisors,7500,7500,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00386524,"",D000072145,Truist Financial,7500,7500,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,7000,7000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Keiser University,5800,0,5800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,5500,5000,500,2022-04-18 00:00:00 +0000,7, , ,0,          
C00197095,"",          ,Northwestern Mutual Life Insurance,5500,5500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00312785,"",          ,Swisher International,5500,5000,500,2022-04-18 00:00:00 +0000,7, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00147066,"",D000000152,American Council of Life Insurers,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00001198,"",D000023971,American Hotel & Lodging Assn,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00478149,"",D000053012,Black Knight Inc,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Figgers Communications,5000,0,5000,2022-04-18 00:00:00 +0000,10, , ,0,          
C00007922,"",D000000074,Laborers Union,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00432252,"",D000022216,Regions Financial,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00234120,"",D000029610,US Sugar,5000,2500,2500,2022-04-18 00:00:00 +0000,10, , ,0,          
C00109017,"",D000000076,AT&T Inc,4000,4000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Dean Mead,4000,0,4000,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000037635,Ballard Partners,3900,0,3900,2022-04-18 00:00:00 +0000,24, , ,0,          
C00089136,"",D000000067,Altria Group,3500,3500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,3500,3500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00337626,"",D000000106,Morgan Stanley,3000,3000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00000729,"",D000000105,American Dental Assn,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00430579,"",D000024452,Brave PAC,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00411173,"",D000025052,Commercial Real Estate Finance Council,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
