pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00303024,"",D000000104,Lockheed Martin,116732,25000,91732,2022-04-18 00:00:00 +0000,1,x, ,9,D000000104
C00142711,"",D000000100,Boeing Co,76018,30000,46018,2022-04-18 00:00:00 +0000,2,x, ,2,D000000100
C00078451,"",D000000165,General Dynamics,67538,32500,35038,2022-04-18 00:00:00 +0000,3,x, ,9,D000000165
         ,"",D000000245,MacAndrews & Forbes,46400,25000,21400,2022-04-18 00:00:00 +0000,4,x, ,1,D000000245
C00248716,"",D000000461,Comcast Corp,44835,30000,14835,2022-04-18 00:00:00 +0000,5,x, ,13,D000000461
         ,"",D000032895,"Cotchett, Pitre & McCarthy              ",42900,0,42900,2022-04-18 00:00:00 +0000,6, , ,0,          
C00227546,"",D000000115,Microsoft Corp,40713,20000,20713,2022-04-18 00:00:00 +0000,7,x, ,8,D000000115
C00009985,"",D000000202,National Assn of Broadcasters,39850,30000,9850,2022-04-18 00:00:00 +0000,8,x, ,5,D000000202
C00024521,"",D000000065,American Assn for Justice,35000,35000,0,2022-04-18 00:00:00 +0000,9,x,x,3,D000000065
         ,"",D000032196,Burton Snowboards,35000,0,35000,2022-04-18 00:00:00 +0000,9, , ,0,          
C00382556,"",D000027848,National Fraternal Order of Police,35000,35000,0,2022-04-18 00:00:00 +0000,9,x, ,0,D000027848
C00325092,"",D000064813,Huntington Ingalls Industries,34900,27000,7900,2022-04-18 00:00:00 +0000,12,x, ,2,D000064813
C00088591,"",D000000170,Northrop Grumman,31102,31000,102,2022-04-18 00:00:00 +0000,13,x, ,1,D000000170
C00024869,"",D000000125,General Electric,30525,29500,1025,2022-04-18 00:00:00 +0000,14,x, ,5,D000000125
C00211318,"",D000000131,Deloitte LLP,30000,30000,0,2022-04-18 00:00:00 +0000,15,x,x,1,D000000131
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",30000,30000,0,2022-04-18 00:00:00 +0000,15,x, ,0,D000071033
C00104901,"",D000000162,"Akin, Gump et al",29650,4875,24775,2022-04-18 00:00:00 +0000,17, ,x,2,D000000162
C00428623,"",          ,Google Inc,29029,29000,29,2022-04-18 00:00:00 +0000,18, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,28500,28500,0,2022-04-18 00:00:00 +0000,19,x, ,0,D000000101
C00097568,"",D000072615,Raytheon Technologies,28243,23500,4743,2022-04-18 00:00:00 +0000,20,x, ,8,D000072615
         ,"",D000000306,Soros Fund Management,27900,0,27900,2022-04-18 00:00:00 +0000,21, , ,0,          
C00580894,"",D000030766,Vail Resorts,26000,26000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00007922,"",D000000074,Laborers Union,25000,25000,0,2022-04-18 00:00:00 +0000,23,x, ,0,D000000074
         ,"",D000000698,Duberstein Group,24400,0,24400,2022-04-18 00:00:00 +0000,24, ,x,2,D000000698
         ,"",D000031958,Bill & Melinda Gates Foundation,23200,0,23200,2022-04-18 00:00:00 +0000,25, , ,0,          
C00109017,"",D000000076,AT&T Inc,23047,22500,547,2022-04-18 00:00:00 +0000,26,x, ,10,D000000076
C00096156,"",D000000334,Honeywell International,22500,22500,0,2022-04-18 00:00:00 +0000,27,x, ,2,D000000334
         ,"",D000063008,Putala Strategies,22500,0,22500,2022-04-18 00:00:00 +0000,27, ,x,1,D000063008
         ,"",D000071293,Institute of International Education,22400,0,22400,2022-04-18 00:00:00 +0000,29,x, ,1,D000071293
         ,"",D000065720,McArthurGlen Group,21600,0,21600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000033578,Falconwood Corp,20000,0,20000,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000022322,WilmerHale LLP,19662,0,19662,2022-04-18 00:00:00 +0000,32, ,x,1,D000022322
         ,"",D000021939,Cornerstone Government Affairs,18050,0,18050,2022-04-18 00:00:00 +0000,33, ,x,1,D000021939
C00004812,"",D000000309,Mortgage Bankers Assn,18000,17500,500,2022-04-18 00:00:00 +0000,34,x, ,2,D000000309
C70002563,"",D000000062,National Assn of Realtors,18000,18000,0,2022-04-18 00:00:00 +0000,34,x, ,1,D000000062
         ,"",          ,Newpage Corp,17900,0,17900,2022-04-18 00:00:00 +0000,36, , ,0,          
C00232629,"",D000000243,"Skadden, Arps et al",17565,0,17565,2022-04-18 00:00:00 +0000,37, ,x,0,D000000243
C00000729,"",D000000105,American Dental Assn,17500,17500,0,2022-04-18 00:00:00 +0000,38,x, ,1,D000000105
C00215285,"",D000000317,General Atomics,17500,17500,0,2022-04-18 00:00:00 +0000,38,x, ,0,D000000317
C00076810,"",D000000155,General Motors,17005,17000,5,2022-04-18 00:00:00 +0000,40,x, ,3,D000000155
C00029447,"",D000000135,International Assn of Fire Fighters,17000,17000,0,2022-04-18 00:00:00 +0000,41,x, ,0,D000000135
C00502906,"",D000033563,Meta,16502,16500,2,2022-04-18 00:00:00 +0000,42, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,16500,16500,0,2022-04-18 00:00:00 +0000,43,x, ,0,D000000061
C00016683,"",D000000138,Pfizer Inc,16000,16000,0,2022-04-18 00:00:00 +0000,44,x, ,4,D000000138
C00010082,"",D000022131,NCTA The Internet & Television Assn,15500,15500,0,2022-04-18 00:00:00 +0000,45,x, ,7,D000022131
C00110338,"",D000000219,American Crystal Sugar,15000,15000,0,2022-04-18 00:00:00 +0000,46,x, ,0,D000000219
C00762427,"",D000075334,Applied Research Assoc,15000,15000,0,2022-04-18 00:00:00 +0000,46,x, ,1,D000075334
C00027359,"",D000000140,Ironworkers Union,15000,15000,0,2022-04-18 00:00:00 +0000,46,x, ,0,D000000140
C00171330,"",D000000330,Holland & Knight,13900,12000,1900,2022-04-18 00:00:00 +0000,49, ,x,1,D000000330
