pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000035001,Kapor Enterprises,33200,0,33200,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000406,University of California                ,30546,0,30546,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000032239,California Waste Solutions,23200,0,23200,2022-04-18 00:00:00 +0000,3, , ,0,          
C00441949,"",          ,JStreetPAC,16783,1500,15283,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000022057,"Kazan, McClain et al                              ",14700,0,14700,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,NOT EMPLOYED,14556,0,14556,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000030492,Townsend Public Affairs,12900,0,12900,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000036722,Platinum Advisors,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000031277,Accel Partners,10800,0,10800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000034935,Jordan Real Estate Investments,10800,0,10800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000088554,Langelier Co,10800,0,10800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000035604,Marcus & Millichap,10800,0,10800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Shell Mercer,10800,0,10800,2022-04-18 00:00:00 +0000,9, , ,0,          
C70003124,"",D000000077,Service Employees International Union,10110,5000,5110,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,10042,10000,42,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Gateway Bank,10000,0,10000,2022-04-18 00:00:00 +0000,16, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
