pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C90014028,"",D000052457,J Street,68860,5000,63860,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,NOT EMPLOYED,25329,0,25329,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000030671,University of Michigan                  ,18838,0,18838,2022-04-18 00:00:00 +0000,3, , ,0,          
C70003124,"",D000000077,Service Employees International Union,16600,10000,6600,2022-04-18 00:00:00 +0000,4, , ,0,          
C00151340,"",D000021569,DLA Piper,16300,2500,13800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Gmhetc,14600,0,14600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,14500,0,14500,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Access,14350,0,14350,2022-04-18 00:00:00 +0000,8, , ,0,          
C00076810,"",D000000155,General Motors,12157,10000,2157,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000031533,Analysis Group,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000000618,Key Investments,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000036586,Penn State University,10600,0,10600,2022-04-18 00:00:00 +0000,12, , ,0,          
C00040741,"",D000029619,Utility Workers Union of America,10300,10000,300,2022-04-18 00:00:00 +0000,13, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00081547,"",D000000561,DTE Energy,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00388827,"",D000066716,Rock Holdings,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000030726,US Dept of Labor,9200,0,9200,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000070423,Arista Networks,8700,0,8700,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,NYS Metropolitan Transportation Author,8600,0,8600,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Orthopedic Center,8500,0,8500,2022-04-18 00:00:00 +0000,20, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,8500,8500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000078704,Basha Diagnostics,8300,0,8300,2022-04-18 00:00:00 +0000,22, , ,0,          
C70001979,"",D000000066,Teamsters Union,7960,7500,460,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000079355,Morrison & Morrison,7840,0,7840,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000086631,"Barris, Sott et al",7800,0,7800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000034123,Goodman Acker Pc,7700,0,7700,2022-04-18 00:00:00 +0000,26, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,7526,7500,26,2022-04-18 00:00:00 +0000,27, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00384354,"",          ,Michigan Sugar,7500,7500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",7500,7500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00004861,"",D000022292,UNITE HERE,7500,5000,2500,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,American Eagle Lifecare,7300,0,7300,2022-04-18 00:00:00 +0000,32, , ,0,          
C00046474,"",D000000182,Ford Motor Co,7125,5000,2125,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Lean & Green Michigan,6559,0,6559,2022-04-18 00:00:00 +0000,34, , ,0,          
