pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,78091,0,78091,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,NOT EMPLOYED,40140,0,40140,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000067823,Alphabet Inc,27345,0,27345,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000070423,Arista Networks,23200,0,23200,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000073425,Royal Business Bank,23200,0,23200,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000031097,"Wilson, Sonsini et al",14502,0,14502,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Rally Camps,14100,0,14100,2022-04-18 00:00:00 +0000,7, , ,0,          
C00422774,"",          ,Frontline USA,12785,2500,10285,2022-04-18 00:00:00 +0000,8, , ,0,          
C00502906,"",D000033563,Meta,12313,0,12313,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Endeavor Biomedicines,11650,0,11650,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Carlsmed,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000068512,Emerson Collective,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000000811,Kirkland & Ellis,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000063612,SV Angel LLC,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000090826,Tusk Holdings,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000071500,Wicklow Capital,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Lansing Group,11100,0,11100,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000044020,Sanderson J Ray Development,10800,0,10800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000000406,University of California                ,10757,0,10757,2022-04-18 00:00:00 +0000,20, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10050,10000,50,2022-04-18 00:00:00 +0000,21, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00685552,"",D000073603,Medicare for All PAC,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00461418,"",D000070323,National Union of Healthcare Workers,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00029504,"",D000000139,Operating Engineers Union               ,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00513176,"",D000045957,Congressional Progressive Caucus PAC,9999,9999,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00493940,"",D000053441,Masimo Corp,9700,0,9700,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000088599,Green Era Capital,9100,0,9100,2022-04-18 00:00:00 +0000,31, , ,0,          
C00197749,"",D000000128,Walt Disney Co,9054,0,9054,2022-04-18 00:00:00 +0000,32, , ,0,          
