pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00699470,"",D000073971,Pro-Israel America PAC,34700,0,34700,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000088093,Seville Classics,14500,0,14500,2022-04-18 00:00:00 +0000,2, , ,0,          
C00248716,"",D000000461,Comcast Corp,14115,1500,12615,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000073425,Royal Business Bank,12600,0,12600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000047679,Belkin International,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000087722,Casual Home Worldwide,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000088584,Union of Pan Asian Communities,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Biomobie,10000,0,10000,2022-04-18 00:00:00 +0000,8, , ,0,          
C00418897,"",D000029722,VoteVets.org,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000031189,Yin McDonald's,10000,0,10000,2022-04-18 00:00:00 +0000,8, , ,0,          
C00109017,"",D000000076,AT&T Inc,8785,8000,785,2022-04-18 00:00:00 +0000,11, , ,0,          
C00725184,"",D000083046,East West Bancorp,8700,2900,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Faraday Future,8700,0,8700,2022-04-18 00:00:00 +0000,12, , ,0,          
C00468314,"",D000025328,Democracy Engine,7700,0,7700,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000032430,Cedars-Sinai Medical Center,7550,0,7550,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,7510,5000,2510,2022-04-18 00:00:00 +0000,16, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00024521,"",D000000065,American Assn for Justice,6000,6000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Chax Inc,6000,0,6000,2022-04-18 00:00:00 +0000,18, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000093102,Dance Resource Center,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
