pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000067823,Alphabet Inc,115300,15000,100300,2022-04-18 00:00:00 +0000,1, , ,0,          
C00418095,"",D000025897,"Fragomen, Del Rey et al",65050,0,65050,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000021754,Apple Inc,56175,0,56175,2022-04-18 00:00:00 +0000,3, , ,0,          
C00362707,"",D000000374,Cisco Systems,46400,10000,36400,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",44800,0,44800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000063612,Sv Angel LLC,43200,0,43200,2022-04-18 00:00:00 +0000,6, , ,0,          
C00502906,"",D000033563,Meta,21675,2500,19175,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000054103,Nanosolar,21600,0,21600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000085495,Butler Amusements,18900,0,18900,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Not Employed,17823,0,17823,2022-04-18 00:00:00 +0000,10, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,15000,15000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00353284,"",D000024160,ACT The App Assn,14500,2900,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Armaino Llp,14500,0,14500,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000000750,Stanford University,13950,0,13950,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000034198,Greylock Partners,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
C00096156,"",D000000334,Honeywell International,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000036320,O'Reilly Media,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Service King,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000022275,Technology Crossover Ventures,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
C00193979,"",D000029824,Western Growers Assn,11500,10000,1500,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Wade Shows,10800,0,10800,2022-04-18 00:00:00 +0000,22, , ,0,          
C00441949,"",          ,JStreetPAC,10150,1000,9150,2022-04-18 00:00:00 +0000,23, , ,0,          
C00211318,"",D000000131,Deloitte LLP,10000,10000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00227744,"",D000000098,Ernst & Young,10000,10000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000090523,Intero Real Estate,9827,0,9827,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000092906,Alexander Law Group (California),9000,0,9000,2022-04-18 00:00:00 +0000,27, , ,0,          
C00125641,"",D000000804,Intel Corp,9000,9000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000094156,Progressive Policy Institute,8700,0,8700,2022-04-18 00:00:00 +0000,29, , ,0,          
C00080135,"",D000024387,Blue Diamond Growers,8500,8500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00361741,"",D000026667,Intuit Inc,8500,7500,1000,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000030752,US Venture Partners,8000,0,8000,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Working Partnerships Usa,7901,0,7901,2022-04-18 00:00:00 +0000,33, , ,0,          
C00109017,"",D000000076,AT&T Inc,6500,6500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000034396,Invariant LLC,6500,0,6500,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000058868,"Santa Clara County, CA",5872,0,5872,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000043476,Medley Partners,5800,0,5800,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000089129,Tectus Corp,5800,0,5800,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000030817,Versant Ventures,5800,0,5800,2022-04-18 00:00:00 +0000,37, , ,0,          
C00323048,"",D000000422,Oracle Corp,5692,2590,3102,2022-04-18 00:00:00 +0000,40, , ,0,          
C00279216,"",D000059056,iHeartMedia Inc,5500,5000,500,2022-04-18 00:00:00 +0000,41, , ,0,          
C00411116,"",D000029147,SpaceX,5500,5000,500,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000022322,Wilmerhale Llp,5400,0,5400,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Orchard Commercial,5350,0,5350,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000022205,Proskauer Rose,5250,0,5250,2022-04-18 00:00:00 +0000,45, , ,0,          
C00360354,"",D000023883,Amazon.com,5010,5000,10,2022-04-18 00:00:00 +0000,46, , ,0,          
