pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C70001979,"",D000000066,Teamsters Union                         ,7500,7500,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,7000,7000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00286401,"",D000000145,Seafarers International Union           ,6000,6000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Cool Effect,5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000090935,High Tide Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00563072,"",D000070693,Coeur Mining,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00147231,"",D000025191,Crowley Maritime,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00103903,"",D000022021,HDR Inc,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00176214,"",D000044926,International Longshore/Warehouse Union,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00219568,"",          ,Operating Engineers Local 12,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00388827,"",D000066716,Rock Holdings,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00004861,"",D000022292,UNITE HERE,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000000147,Marine Engineers Beneficial Assn,4000,4000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C90014895,"",          ,Environmental Defense Action Fund,3500,3500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00217471,"",          ,Maersk Inc,3500,3500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00507962,"",D000023775,AES Corp,3000,3000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00109017,"",D000000076,AT&T Inc,3000,3000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00005157,"",D000000218,Boilermakers Union,3000,3000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00076810,"",D000000155,General Motors,3000,3000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000089163,Nessel Development,2900,0,2900,2022-04-18 00:00:00 +0000,25, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00039461,"",D000024239,Ball Corp,2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00324483,"",          ,Berkshire Hathaway Energy,2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00441949,"",          ,JStreetPAC,2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00073056,"",D000000506,"Masters, Mates & Pilots Union",2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00008268,"",D000000178,Transport Workers Union,2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000045236,United Auburn Indian Community,2500,0,2500,2022-04-18 00:00:00 +0000,26, , ,0,          
C00024521,"",D000000065,American Assn for Justice,2000,2000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,2000,2000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00096156,"",D000000334,Honeywell International,2000,2000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,2000,2000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,2000,2000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00459800,"",D000046022,Professional Engineers in California Government,2000,2000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00397893,"",          ,SSA Marine,2000,2000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00542365,"",          ,Toyota Motor North America,2000,2000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Lbs Financial Credit Union,1600,0,1600,2022-04-18 00:00:00 +0000,43, , ,0,          
C00446237,"",D000062602,National Nurses United,1500,1500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000032237,California State University,1300,0,1300,2022-04-18 00:00:00 +0000,45, , ,0,          
C00374447,"",          ,AECOM US,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00280909,"",          ,AFL-CIO Transportation Trades Dept,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00360354,"",D000023883,Amazon.com,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00331462,"",D000023907,American Academy of Sleep Medicine,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00024968,"",D000000194,American Optometric Assn,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00012880,"",D000000298,American Physical Therapy Assn,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00010322,"",D000000143,American Postal Workers Union,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00114108,"",D000024017,American Society of Travel Advisors,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00249532,"",D000024020,American Sportfishing Assn,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00346619,"",D000024549,California Assn of Marriage/Fam Therapy,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00435024,"",D000024671,Center for Sportfishing Policy,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00248716,"",D000000461,Comcast Corp,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000032876,Cormac Group                            ,1000,0,1000,2022-04-18 00:00:00 +0000,46, , ,0,          
C00216127,"",          ,Dentons US,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00019653,"",D000000239,Edison International,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00411900,"",D000025642,Edwards Lifesciences,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000061150,Ens Resources,1000,0,1000,2022-04-18 00:00:00 +0000,46, , ,0,          
C00264937,"",D000026295,Great Lakes Dredge & Dock,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00027359,"",D000000140,Ironworkers Union,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00213173,"",D000000766,K&L Gates,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C90005786,"",D000000288,League of Conservation Voters,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00024752,"",D000027454,Matson Inc,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00379628,"",D000028057,Nucor Corp,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00455584,"",D000046013,Offshore Marine Service Assn,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000036737,Poarch Band of Creek Indians,1000,0,1000,2022-04-18 00:00:00 +0000,46, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00411694,"",          ,Saltchuk Resources,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00374355,"",D000029034,Shipbuilders Council of America,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00010470,"",D000000118,Union Pacific Corp,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00002840,"",D000000070,United Auto Workers,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00013342,"",D000029577,United Mine Workers of America,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00409342,"",D000029798,Wescom Credit Union,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",          ,Law Office of James F McConnell,500,0,500,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000080485,Lincoln Concepts,500,0,500,2022-04-18 00:00:00 +0000,80, , ,0,          
C00484535,"",D000065181,Votesane PAC,500,0,500,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000032785,Commonwealth of Massachusetts,250,0,250,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,University of Massachusetts/Boston                ,250,0,250,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",D000073723,University of Redlands,250,0,250,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Cypress College,225,0,225,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",D000000343,Northwestern Mutual,175,0,175,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",D000032610,"City of Los Angeles, CA",160,0,160,2022-04-18 00:00:00 +0000,88, , ,0,          
         ,"",D000030725,US Dept of Housing & Urban Development  ,140,0,140,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",          ,Abcusd,63,0,63,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",D000033567,"Fairfax County, Va",14,0,14,2022-04-18 00:00:00 +0000,91, , ,0,          
         ,"",          ,Musician Tutor,10,0,10,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,Moss Kelley,7,0,7,2022-04-18 00:00:00 +0000,93, , ,0,          
