pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00088591,"",D000000170,Northrop Grumman,20400,17500,2900,2022-04-18 00:00:00 +0000,1, , ,0,          
C00608943,"",          ,ClearPath Action,15800,0,15800,2022-04-18 00:00:00 +0000,2, , ,0,          
C00028787,"",D000000252,National Cattlemen's Beef Assn,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,13000,13000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00160077,"",D000031787,Bancfirst,10200,0,10200,2022-04-18 00:00:00 +0000,5, , ,0,          
C00326868,"",          ,Amalgamated Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00492058,"",          ,Lank PAC,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00416297,"",D000000431,National Cotton Council,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00172833,"",D000023921,American Assn of Crop Insurers,7500,7500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00193631,"",D000000359,Farm Credit Council,7500,7500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00411116,"",D000029147,SpaceX,7500,7500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000051549,Groendyke Transport,6800,0,6800,2022-04-18 00:00:00 +0000,12, , ,0,          
C00557793,"",D000069501,Blue Origin,6000,6000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00142711,"",D000000100,Boeing Co,6000,5500,500,2022-04-18 00:00:00 +0000,13, , ,0,          
C00076299,"",D000023666,CME Group,6000,6000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00410720,"",          ,Federal Home Loan Bank of Topeka,6000,6000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00303024,"",D000000104,Lockheed Martin,6000,6000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00215384,"",D000028149,ONEOK Inc,6000,5000,1000,2022-04-18 00:00:00 +0000,13, , ,0,          
C00300426,"",D000029138,Southern Cotton Growers Inc,6000,6000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000060635,Cherokee Nation,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000023649,Chickasaw Nation,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
C00354753,"",D000025483,Devon Energy,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Dobson Fiber,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Federal Indian Tribe,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000036426,Osage Nation,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000037176,Robson Companies,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Rs LLC,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
C00005249,"",D000000096,National Assn of Insurance & Financial Advisors,5500,5500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00211037,"",D000023806,Alabama Peanut Producers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00010421,"",D000000187,Associated Builders & Contractors,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00039461,"",D000024239,Ball Corp,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00351924,"",D000024420,BOK Financial,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00567545,"",          ,Boots PAC,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Cherokee Nation (Org),5000,0,5000,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000021939,Cornerstone Government Affairs,5000,0,5000,2022-04-18 00:00:00 +0000,29, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00204099,"",D000000408,Deere & Co,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00592089,"",          ,Electing Majority Making Effective Republicans,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00014555,"",D000000191,FMI The Food Industry Assn,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00284885,"",D000000419,Home Depot,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Ideal Homes,5000,0,5000,2022-04-18 00:00:00 +0000,29, , ,0,          
C00540187,"",D000027721,Innovation PAC,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00125641,"",D000000804,Intel Corp,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00113241,"",D000027790,National Apartment Assn,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00126763,"",D000000240,National Assn of Convenience Stores,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00076182,"",D000027897,National Turkey Federation,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000069789,Ngl Energy Partners,5000,0,5000,2022-04-18 00:00:00 +0000,29, , ,0,          
C00024281,"",D000068604,North American Meat Institute,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00599084,"",D000043213,Plains Cotton Growers,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
