pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00038604,"",D000000590,American Financial Services Assn,25000,25000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C90016437,"",D000000086,National Assn of Home Builders,25000,25000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00032698,"",D000000261,Independent Community Bankers of America,23000,23000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00035535,"",D000025120,Consumer Bankers Assn,21500,21000,500,2022-04-18 00:00:00 +0000,4, , ,0,          
C00326595,"",D000021891,Capital One Financial,20260,20000,260,2022-04-18 00:00:00 +0000,5, , ,0,          
C00300178,"",D000019743,Wells Fargo,20165,20000,165,2022-04-18 00:00:00 +0000,6, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,20000,20000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,20000,20000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00022343,"",D000000181,Independent Insurance Agents & Brokers of America,20000,20000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,20000,18000,2000,2022-04-18 00:00:00 +0000,7, , ,0,          
C00386524,"",D000072145,Truist Financial,20000,20000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00388827,"",D000066716,Rock Holdings,19600,12500,7100,2022-04-18 00:00:00 +0000,12, , ,0,          
C00692806,"",D000000310,American Property Casualty Insurance Assn,18500,18500,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,18500,17500,1000,2022-04-18 00:00:00 +0000,13, , ,0,          
C00012914,"",D000000608,American Land Title Assn,17500,17500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00170258,"",D000027814,National Assn of Mutual Insurance Companies,17500,17500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00164145,"",D000029616,USAA,17500,15000,2500,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000074548,Daly Consulting Group,17400,0,17400,2022-04-18 00:00:00 +0000,18, , ,0,          
C00211318,"",D000000131,Deloitte LLP,17001,15000,2001,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000033678,1st Financial Bank USA,16600,0,16600,2022-04-18 00:00:00 +0000,20, , ,0,          
C00227744,"",D000000098,Ernst & Young,15000,15000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00540187,"",D000027721,Innovation PAC,15000,15000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,15000,15000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00012245,"",          ,UBS Americas,15000,15000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000060861,Crossroads Strategies,14000,0,14000,2022-04-18 00:00:00 +0000,25, , ,0,          
C00488882,"",D000000487,US Bancorp,13750,13500,250,2022-04-18 00:00:00 +0000,26, , ,0,          
C00432252,"",D000022216,Regions Financial                       ,13500,12500,1000,2022-04-18 00:00:00 +0000,27, , ,0,          
C00186064,"",D000028398,PNC Financial Services,13300,7500,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,12500,12500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00461129,"",          ,RGA Reinsurance,12500,12500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00004275,"",D000000087,American Bankers Assn,12250,10000,2250,2022-04-18 00:00:00 +0000,31, , ,0,          
C00206136,"",D000023888,Ameren Corp,12000,12000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000033165,Diamond Pet Foods,11600,0,11600,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000000662,WPP Group,10550,0,10550,2022-04-18 00:00:00 +0000,34, , ,0,          
C00043463,"",D000000458,Manufactured Housing Institute,10500,10000,500,2022-04-18 00:00:00 +0000,35, , ,0,          
C00034785,"",D000021803,ACA International,10000,10000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00495002,"",D000036835,American Investment Council,10000,10000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00076299,"",D000023666,CME Group,10000,10000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,10000,10000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00344648,"",D000022218,Rely on Your Beliefs,10000,10000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00327072,"",          ,Santander Bank,10000,10000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00417634,"",D000027815,Wholesale & Specialty Insurance Assn,10000,10000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000033004,Mindset,9800,0,9800,2022-04-18 00:00:00 +0000,43, , ,0,          
C00313700,"",D000063760,Transunion Llc,9300,3500,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000083769,Robinhood Markets,9200,0,9200,2022-04-18 00:00:00 +0000,45, , ,0,          
C00690735,"",D000032643,CGCN Group,8800,2000,6800,2022-04-18 00:00:00 +0000,46, , ,0,          
C00579540,"",D000034090,Ally Financial,8750,7500,1250,2022-04-18 00:00:00 +0000,47, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",8700,0,8700,2022-04-18 00:00:00 +0000,48, , ,0,          
C00486217,"",          ,LPL Financial,8500,8500,0,2022-04-18 00:00:00 +0000,49, , ,0,          
C00161414,"",          ,Protective Life Corp,8500,8500,0,2022-04-18 00:00:00 +0000,49, , ,0,          
C00433805,"",          ,Checksmart Financial,8000,8000,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00039305,"",D000000071,Citigroup Inc,8000,7500,500,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000078617,Federal Hall Policy Advisors,8000,0,8000,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000067266,Orscheln Group,8000,0,8000,2022-04-18 00:00:00 +0000,51, , ,0,          
C00236414,"",          ,TransAmerica,7505,7500,5,2022-04-18 00:00:00 +0000,55, , ,0,          
C00379768,"",D000033552,Experian,7500,7500,0,2022-04-18 00:00:00 +0000,56, , ,0,          
C00005249,"",D000000096,National Assn of Insurance & Financial Advisors,7500,7500,0,2022-04-18 00:00:00 +0000,56, , ,0,          
C00109991,"",D000027911,Small Business Investor Alliance,7500,7500,0,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000044649,Amscot Financial,7000,0,7000,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Capital Corp,7000,0,7000,2022-04-18 00:00:00 +0000,59, , ,0,          
C00105981,"",D000000262,Investment Co Institute,7000,6000,1000,2022-04-18 00:00:00 +0000,59, , ,0,          
C00365122,"",D000029689,Visa Inc,7000,5000,2000,2022-04-18 00:00:00 +0000,59, , ,0,          
C00144261,"",D000024101,Appraisal Institute,6500,6500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00411173,"",D000025052,Commercial Real Estate Finance Council,6500,6500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000037091,Rich Feuer Anderson,6150,0,6150,2022-04-18 00:00:00 +0000,65, , ,0,          
C00193177,"",D000071124,Bank Policy Institute,6000,5000,1000,2022-04-18 00:00:00 +0000,66, , ,0,          
C00232843,"",D000082023,INFiN a Financial Services Alliance,6000,6000,0,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000048477,Central Bank,5900,0,5900,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000084418,A10 Capital,5800,0,5800,2022-04-18 00:00:00 +0000,69, , ,0,          
C00702308,"",D000072032,Advance Financial,5800,0,5800,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",D000032623,Civic Service Inc,5800,0,5800,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,Jes Properties,5800,0,5800,2022-04-18 00:00:00 +0000,69, , ,0,          
C00166553,"",D000000370,Stephens Inc,5800,0,5800,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",D000057859,Turtle Mountain Band of Chippewa Indians,5800,0,5800,2022-04-18 00:00:00 +0000,69, , ,0,          
C00147066,"",D000000152,American Council of Life Insurers,5500,5500,0,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",D000070479,Harbinger Strategies,5500,0,5500,2022-04-18 00:00:00 +0000,75, , ,0,          
C00686055,"",          ,Jackson National Life Insurance,5500,5000,500,2022-04-18 00:00:00 +0000,75, , ,0,          
C00284885,"",D000000419,Home Depot,5401,5000,401,2022-04-18 00:00:00 +0000,78, , ,0,          
C00391979,"",          ,Herzog Contracting,5400,2500,2900,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000072043,Polaris Consulting,5292,0,5292,2022-04-18 00:00:00 +0000,80, , ,0,          
C00076810,"",D000000155,General Motors,5041,5000,41,2022-04-18 00:00:00 +0000,81, , ,0,          
C00501429,"",          ,TD Bank USA,5025,5000,25,2022-04-18 00:00:00 +0000,82, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00010421,"",D000000187,Associated Builders & Contractors,5000,5000,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00559146,"",          ,Believe in Life Liberty Yourself,5000,5000,0,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",D000032306,Capitol Counsel,5000,0,5000,2022-04-18 00:00:00 +0000,83, , ,0,          
C00307249,"",D000021913,Citizens Financial Group,5000,5000,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00469429,"",D000065616,CMR PAC,5000,5000,0,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Fort Belknap Indian Community,5000,0,5000,2022-04-18 00:00:00 +0000,83, , ,0,          
C00511444,"",D000000677,Hartford Financial Services,5000,5000,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00165589,"",D000026556,Huntington Bancshares,5000,5000,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00253369,"",D000026669,Invesco Ltd,5000,5000,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00008169,"",D000013530,Missouri ACRE,5000,5000,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00040659,"",D000022128,National Assn of Federally Insured Credit Unions,5000,5000,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,5000,5000,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00465211,"",D000046007,National Installment Lenders Assn,5000,5000,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00427781,"",D000028151,Online Lenders Alliance,5000,5000,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00392290,"",          ,Populus Financial Group,5000,5000,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00411769,"",D000028496,QC Holdings,5000,5000,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00387753,"",          ,Security Finance Corp of Spartanburg,5000,5000,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00589119,"",D000067988,Synchrony Financial,5000,5000,0,2022-04-18 00:00:00 +0000,83, , ,0,          
