pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,93868,0,93868,2022-04-18 00:00:00 +0000,1, , ,0,          
C00484535,"",D000065181,Votesane PAC,65500,0,65500,2022-04-18 00:00:00 +0000,2, , ,0,          
C00042366,"",D000021958,Democratic Senatorial Campaign Cmte,49600,49600,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,39600,15000,24600,2022-04-18 00:00:00 +0000,4,x, ,0,D000000202
         ,"",D000030678,University of New Mexico                ,36550,0,36550,2022-04-18 00:00:00 +0000,5, , ,0,          
C00248716,"",D000000461,Comcast Corp,36109,5000,31109,2022-04-18 00:00:00 +0000,6,x, ,0,D000000461
         ,"",D000000406,University of California,27692,0,27692,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000073417,Medquest Pharmacy,26814,0,26814,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000030693,University of Southern California,26100,0,26100,2022-04-18 00:00:00 +0000,9, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",25567,7500,18067,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000067823,Alphabet Inc,24778,4000,20778,2022-04-18 00:00:00 +0000,11, , ,0,          
C00679191,"",D000073989,Digidems PAC,24343,1943,22400,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000021903,Centerbridge Partners,23400,0,23400,2022-04-18 00:00:00 +0000,13, , ,0,          
C00573261,"",          ,End Citizens United,21250,10000,11250,2022-04-18 00:00:00 +0000,14, , ,0,          
C00064774,"",D000000321,NextEra Energy,20895,0,20895,2022-04-18 00:00:00 +0000,15, , ,0,          
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,20000,20000,0,2022-04-18 00:00:00 +0000,16,x, ,0,D000000356
         ,"",D000000333,"Kleiner, Perkins et al",19700,0,19700,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000030722,US Dept of Energy                       ,18612,0,18612,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000025929,Fresenius Medical Care,18530,0,18530,2022-04-18 00:00:00 +0000,19, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,18177,14999,3178,2022-04-18 00:00:00 +0000,20,x, ,0,D000000062
         ,"",D000066687,Forbes Tate Partners,17700,0,17700,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000037811,State of New Mexico                     ,17423,0,17423,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000000662,WPP Group,17175,0,17175,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000073752,Amblin Partners,16800,0,16800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000021859,Bain Capital,16800,0,16800,2022-04-18 00:00:00 +0000,24, , ,0,          
C00006080,"",D000000192,American Health Care Assn,16000,15000,1000,2022-04-18 00:00:00 +0000,26,x, ,0,D000000192
         ,"",D000035205,L&F Distributors,15600,0,15600,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000021939,Cornerstone Government Affairs,15400,0,15400,2022-04-18 00:00:00 +0000,28, ,x,0,D000021939
C00197749,"",D000000128,Walt Disney Co                          ,15266,0,15266,2022-04-18 00:00:00 +0000,29, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,15198,15000,198,2022-04-18 00:00:00 +0000,30,x, ,0,D000000069
C00008268,"",D000000178,Transport Workers Union,15050,15000,50,2022-04-18 00:00:00 +0000,31,x, ,0,D000000178
C00035451,"",D000000117,Air Line Pilots Assn,15010,15000,10,2022-04-18 00:00:00 +0000,32,x, ,0,D000000117
C00007880,"",D000000136,Credit Union National Assn,15000,15000,0,2022-04-18 00:00:00 +0000,33,x, ,0,D000000136
C00023580,"",D000000084,National Assn of Letter Carriers,15000,15000,0,2022-04-18 00:00:00 +0000,33,x, ,0,D000000084
C00130773,"",D000000755,National Multifamily Housing Council,15000,15000,0,2022-04-18 00:00:00 +0000,33,x, ,0,D000000755
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",15000,15000,0,2022-04-18 00:00:00 +0000,33,x, ,0,D000071033
C00330647,"",D000000535,DISH Network,14700,0,14700,2022-04-18 00:00:00 +0000,37,x, ,0,D000000535
C00387555,"",D000019809,Council for a Livable World,14386,0,14386,2022-04-18 00:00:00 +0000,38, , ,0,          
C00227546,"",D000000115,Microsoft Corp                          ,14030,5000,9030,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Bueno Foods,14025,0,14025,2022-04-18 00:00:00 +0000,40, , ,0,          
C00367177,"",D000027857,National Indian Gaming Assn,13667,4500,9167,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000061965,Kaitar Resources,13600,0,13600,2022-04-18 00:00:00 +0000,42, , ,0,          
C00125641,"",D000000804,Intel Corp                              ,13557,0,13557,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000093076,McT Industries,13475,0,13475,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000023649,Chickasaw Nation,13110,0,13110,2022-04-18 00:00:00 +0000,45, , ,0,          
C00424218,"",D000028543,Realogy Corp                            ,12914,0,12914,2022-04-18 00:00:00 +0000,46, , ,0,          
C00502906,"",D000033563,Meta,12627,0,12627,2022-04-18 00:00:00 +0000,47, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,12620,12500,120,2022-04-18 00:00:00 +0000,48,x, ,0,D000000072
         ,"",D000034396,Invariant LLC,12600,0,12600,2022-04-18 00:00:00 +0000,49, ,x,0,D000034396
C00283135,"",D000022129,National Assn of Health Underwriters,12500,12500,0,2022-04-18 00:00:00 +0000,50, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,12500,12500,0,2022-04-18 00:00:00 +0000,50,x, ,0,D000000101
C00096156,"",D000000334,Honeywell International,12481,5000,7481,2022-04-18 00:00:00 +0000,52, , ,0,          
C90005786,"",D000000288,League of Conservation Voters,12168,8668,3500,2022-04-18 00:00:00 +0000,53,x, ,0,D000000288
C00028860,"",D000000083,American Federation of Teachers,12098,12000,98,2022-04-18 00:00:00 +0000,54, , ,0,          
