pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00448696,"",D000028985,Senate Conservatives Fund,146748,0,146748,2022-04-18 00:00:00 +0000,1, , ,0,          
C90009945,"",D000000763,Club for Growth,139288,0,139288,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000089155,Sinclair Companies,25500,0,25500,2022-04-18 00:00:00 +0000,3,x, ,0,D000089155
C00126763,"",D000000240,National Assn of Convenience Stores,25000,25000,0,2022-04-18 00:00:00 +0000,4,x, ,0,D000000240
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",22500,22500,0,2022-04-18 00:00:00 +0000,5,x, ,0,D000022140
C00009985,"",D000000202,National Assn of Broadcasters,20000,20000,0,2022-04-18 00:00:00 +0000,6,x, ,0,D000000202
C00015933,"",D000000658,Pinnacle West Capital,20000,20000,0,2022-04-18 00:00:00 +0000,6,x, ,0,D000000658
C00388827,"",D000066716,Rock Holdings,20000,20000,0,2022-04-18 00:00:00 +0000,6,x, ,0,D000066716
         ,"",D000052477,Jackson Hole Mountain Resort,16900,0,16900,2022-04-18 00:00:00 +0000,9, , ,0,          
C00235655,"",D000021874,Bluegrass Cmte,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00442368,"",D000064653,Common Values PAC,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00236489,"",D000000186,Koch Industries,15000,15000,0,2022-04-18 00:00:00 +0000,10,x, ,0,D000000186
C00494302,"",          ,Lead Encourage Elect PAC,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,15000,15000,0,2022-04-18 00:00:00 +0000,10,x, ,0,D000000062
C00327189,"",D000029628,Value in Electing Women PAC,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",14500,0,14500,2022-04-18 00:00:00 +0000,16, ,x,0,D000000162
C00107235,"",D000000124,PricewaterhouseCoopers,14500,14500,0,2022-04-18 00:00:00 +0000,16,x,x,0,D000000124
         ,"",D000034396,Invariant LLC,13850,0,13850,2022-04-18 00:00:00 +0000,18, ,x,1,D000034396
         ,"",          ,Paxos,12900,0,12900,2022-04-18 00:00:00 +0000,19, , ,0,          
C00035006,"",D000000015,Chevron Corp,12500,12500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000086726,SP Capital Management,12000,0,12000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000094526,Multicoin Capital,11600,0,11600,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000037349,San Francisco Giants,11200,0,11200,2022-04-18 00:00:00 +0000,23, , ,0,          
C00251876,"",D000000391,Amgen Inc,11005,11000,5,2022-04-18 00:00:00 +0000,24, , ,0,          
C00110478,"",D000020856,Peabody Energy,11000,11000,0,2022-04-18 00:00:00 +0000,25,x, ,0,D000020856
C00064766,"",D000000081,United Parcel Service,11000,11000,0,2022-04-18 00:00:00 +0000,25,x, ,0,D000000081
         ,"",D000030285,"Tarplin, Downs & Young",10600,0,10600,2022-04-18 00:00:00 +0000,27, ,x,1,D000030285
