pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,91580,0,91580,2022-04-18 00:00:00 +0000,1, , ,0,          
C00699470,"",D000073971,Pro-Israel America PAC,84789,5000,79789,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,NOT EMPLOYED,53317,0,53317,2022-04-18 00:00:00 +0000,3, , ,0,          
C00247403,"",D000022158,NorPAC,43060,0,43060,2022-04-18 00:00:00 +0000,4, , ,0,          
C00193433,"",D000000113,EMILY's List,40089,5000,35089,2022-04-18 00:00:00 +0000,5, , ,0,          
C00422774,"",          ,Frontline USA,24985,5000,19985,2022-04-18 00:00:00 +0000,6, , ,0,          
C00617803,"",          ,Jobs Education & Families First,17500,17500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Cla,15800,0,15800,2022-04-18 00:00:00 +0000,8, , ,0,          
C00195388,"",D000021746,"Buchanan, Ingersoll & Rooney",15756,0,15756,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000000412,US House of Representatives             ,15500,0,15500,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000071830,Standard Industries,15400,0,15400,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000021924,College of William & Mary,15288,0,15288,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000067823,Alphabet Inc,14886,1000,13886,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000032971,Crowne Partners,14500,0,14500,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000052426,Ischemix,14500,0,14500,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000043235,Weinstein Properties,14500,0,14500,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000031927,Berkshire Partners,12600,0,12600,2022-04-18 00:00:00 +0000,17, , ,0,          
C00418897,"",D000029722,VoteVets.org,12500,12500,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000022120,Morgan Lewis Llp,12400,0,12400,2022-04-18 00:00:00 +0000,19, , ,0,          
C90005786,"",D000000288,League of Conservation Voters,11800,6000,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Andor Capital,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000021867,Baupost Group,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000033821,Fried Companies,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
C00325092,"",D000064813,Huntington Ingalls Industries,11600,10000,1600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000035242,"Landon, Butler & Co",11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000087276,Loewy Law Firm,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000093906,Palms Assoc,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Plxis,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000055822,Q Prime Inc,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000065774,Richmond Global,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Star Property Management,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Tsr Holdings LLC,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Willco Construction,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
C00078451,"",D000000165,General Dynamics,11325,5500,5825,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000030327,Temple University,11260,0,11260,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000063703,Third Rock Ventures,11200,0,11200,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Financial Services Volunteer Corps,11000,0,11000,2022-04-18 00:00:00 +0000,38, , ,0,          
C00286401,"",D000000145,Seafarers International Union,11000,11000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000031574,Apex Covantage,10800,0,10800,2022-04-18 00:00:00 +0000,40, , ,0,          
C00404194,"",D000021766,Genworth Financial,10800,0,10800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Ifg,10800,0,10800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Women'S Executive Healthcare,10800,0,10800,2022-04-18 00:00:00 +0000,40, , ,0,          
C00227546,"",D000000115,Microsoft Corp                          ,10700,0,10700,2022-04-18 00:00:00 +0000,44, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,10500,10000,500,2022-04-18 00:00:00 +0000,45, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,10500,10000,500,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000032153,Brown & Brown Insurance,10400,0,10400,2022-04-18 00:00:00 +0000,47, , ,0,          
C00009936,"",D000000304,American Federation of Government Employees,10250,10000,250,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000035011,Kaufman & Canoles,10250,0,10250,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000030736,US Navy,10193,0,10193,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000022300,US Government,10045,0,10045,2022-04-18 00:00:00 +0000,51, , ,0,          
C70001979,"",D000000066,Teamsters Union,10025,10000,25,2022-04-18 00:00:00 +0000,52, , ,0,          
C00633248,"",          ,314 Action Fund,10000,10000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,10000,10000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00538835,"",D000070689,Common Ground PAC,10000,10000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00412791,"",D000021990,Forward Together PAC,10000,10000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00661272,"",D000071404,With Honor PAC,10000,10000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00089136,"",D000000067,Altria Group,9000,9000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000054969,Old Dominion University,8923,0,8923,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Memory Center,8800,0,8800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000032786,Commonwealth of Virginia                ,8750,0,8750,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000031369,Akonadi Foundation,8700,0,8700,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,RT Specialty,8700,0,8700,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000082067,Venture Global Lng,8700,0,8700,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,8685,2000,6685,2022-04-18 00:00:00 +0000,69, , ,0,          
C00281212,"",D000000583,BAE Systems,8608,8000,608,2022-04-18 00:00:00 +0000,70, , ,0,          
C00564377,"",          ,Chugach Alaska,8500,8000,500,2022-04-18 00:00:00 +0000,71, , ,0,          
C00009282,"",D000019639,Norfolk Southern,8300,2500,5800,2022-04-18 00:00:00 +0000,72, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,8300,8000,300,2022-04-18 00:00:00 +0000,72, , ,0,          
C00549014,"",          ,Hudson Valley PAC (Maloney),8000,8000,0,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",D000000147,Marine Engineers Beneficial Assn,8000,8000,0,2022-04-18 00:00:00 +0000,74, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",8000,8000,0,2022-04-18 00:00:00 +0000,74, , ,0,          
C00360354,"",D000023883,Amazon.com,7870,2000,5870,2022-04-18 00:00:00 +0000,77, , ,0,          
C00103697,"",D000000237,Bechtel Group,7870,7500,370,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",D000036093,Nasa,7716,0,7716,2022-04-18 00:00:00 +0000,79, , ,0,          
C00213173,"",D000000766,K&L Gates,7550,1000,6550,2022-04-18 00:00:00 +0000,80, , ,0,          
C00073056,"",D000000506,"Masters, Mates & Pilots Union",7500,7500,0,2022-04-18 00:00:00 +0000,81, , ,0,          
C00488387,"",D000065813,Tri-State Maxed Out Women,7500,7500,0,2022-04-18 00:00:00 +0000,81, , ,0,          
C00421487,"",D000028428,Pragmatics Inc,7300,1500,5800,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",D000087681,Real Chemistry,7300,0,7300,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Osler Institute,7200,0,7200,2022-04-18 00:00:00 +0000,85, , ,0,          
C00365502,"",D000022588,BWX Technologies,7000,7000,0,2022-04-18 00:00:00 +0000,86, , ,0,          
C00096156,"",D000000334,Honeywell International,7000,7000,0,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",          ,Virtual Development Corp,7000,0,7000,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",D000032102,"Breit, Drescher & Imprevento",6950,0,6950,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",D000070992,Military Produce Group,6800,0,6800,2022-04-18 00:00:00 +0000,90, , ,0,          
C00574970,"",          ,Fair Shot PAC,6500,6500,0,2022-04-18 00:00:00 +0000,91, , ,0,          
C00571174,"",          ,Serve America PAC,6500,6500,0,2022-04-18 00:00:00 +0000,91, , ,0,          
C00704593,"",          ,Hold the House PAC,6000,6000,0,2022-04-18 00:00:00 +0000,93, , ,0,          
C00013342,"",D000029577,United Mine Workers of America,6000,6000,0,2022-04-18 00:00:00 +0000,93, , ,0,          
C00248716,"",D000000461,Comcast Corp,5803,4000,1803,2022-04-18 00:00:00 +0000,95, , ,0,          
         ,"",D000031435,Alsop Louie Partners,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000031533,Analysis Group,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",          ,AOL LLC,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
C00450916,"",D000031673,Asurion LLC,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",          ,Bayer Properties,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000032033,Bohemian Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",          ,Brilliant Keypoint Investments LLC,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",          ,Capital Research Global Investors,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
C00689091,"",D000000810,Carlyle Group,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000083450,Champagne Hospitality,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",          ,Covenant House New Jersey,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000089920,Crow'S Nest Research Center,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000033366,ECPI College of Technology,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000088400,Edlow International,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000033385,Edward C Levy Co,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",          ,Fivew,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000090109,Fore Property,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000051349,Global Crop Diversity Trust,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000034079,Global Infrastructure Partners,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000093443,HSK Consulting,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000052899,Landmark Media Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000062139,Leith Ventures,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000084276,Lifeyield,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000035401,Linda Dresner Inc,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000035437,Lone Pine Capital,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000073984,Lupa Systems,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000035550,Magnolia Marketing,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",          ,Maritime Products International,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000084243,Oakwood Books,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",          ,Pender & Coward,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000072042,Pritzker Organization,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",          ,Registrar Corp,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000081824,Schmidt Family Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000065090,Sol Goldman Investments,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000030180,Summit Partners,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",          ,Swaps Monitor Publications,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000030602,Ulysses Management,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000030817,Versant Ventures,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000058495,Weiss Asset Management,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000083452,Window World,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000031154,World-Wide Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,96, , ,0,          
