pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,88850,0,88850,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,NOT EMPLOYED,80876,0,80876,2022-04-18 00:00:00 +0000,2, , ,0,          
C00441949,"",          ,JStreetPAC,77490,0,77490,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000036829,Princeton University,37880,0,37880,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000037301,Rutgers University,35256,0,35256,2022-04-18 00:00:00 +0000,5, , ,0,          
C00699470,"",D000073971,Pro-Israel America PAC,23200,0,23200,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000022275,Technology Crossover Ventures,23200,0,23200,2022-04-18 00:00:00 +0000,6, , ,0,          
C00422774,"",          ,Frontline USA,22485,2500,19985,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Ssc,17400,0,17400,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,16700,0,16700,2022-04-18 00:00:00 +0000,10, , ,0,          
C00186288,"",D000000079,Verizon Communications,14125,0,14125,2022-04-18 00:00:00 +0000,11, , ,0,          
C00674093,"",          ,Brady PAC,13600,2000,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,12900,10000,2900,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000087489,Raritan Valley Community College,12505,0,12505,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000036051,"Munger, Tolles & Olson",12046,0,12046,2022-04-18 00:00:00 +0000,15, , ,0,          
C00128512,"",D000000103,JPMorgan Chase & Co,12045,0,12045,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Gbc Inc,11700,0,11700,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Act for Nih,11600,0,11600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000088391,Afex International,11600,0,11600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000031405,Allen & Overy,11600,0,11600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000031533,Analysis Group,11600,0,11600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000043616,Bluestem Asset Management,11600,0,11600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000032285,Capital Group,11600,0,11600,2022-04-18 00:00:00 +0000,18, , ,0,          
