pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Atlantic Solutions Group,34800,0,34800,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Marathon Energy,23200,0,23200,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Townhouse Management Co,17778,0,17778,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000036995,Red Apple Group,17650,0,17650,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000034490,HJ Kalikow & Co                         ,17400,0,17400,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000080811,R&V Management,17400,0,17400,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000036192,New Mountain Capital,15800,0,15800,2022-04-18 00:00:00 +0000,7, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,15000,15000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,15000,15000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000021873,Blackstone Group,14500,0,14500,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000075482,A10 Assoc,12300,0,12300,2022-04-18 00:00:00 +0000,11, , ,0,          
C00765982,"",          ,Stand for America PAC,12160,10000,2160,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000049892,Crystal Window & Door Systems,12100,0,12100,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,AQR Capital Management,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Bay Ridge Honda,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Empire Workforce,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000078046,Integrated Medical Professionals,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Majellan Concrete,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,New Line Structures,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000036344,Oc Global Partners,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
C00166553,"",D000000370,Stephens Inc,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000030883,Walker & Dunlop,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
C00387720,"",D000022302,US-Cuba Democracy PAC,11300,5800,5500,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Met-Tel,10900,0,10900,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Corpac Group,10800,0,10800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000035866,Midtown Equities,10600,0,10600,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000044528,John L Loeb Jr Assoc,10500,0,10500,2022-04-18 00:00:00 +0000,30, , ,0,          
C00267849,"",D000000839,Allied Pilots Assn,10000,10000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00346353,"",          ,CRH Americas,10000,10000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00570945,"",          ,E-PAC,10000,10000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00448373,"",D000026537,Huck PAC,10000,10000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000090946,One Step Up Ltd,10000,0,10000,2022-04-18 00:00:00 +0000,31, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00544932,"",D000071092,Port Authority Police Benevolent Assn,10000,10000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00327189,"",D000029628,Value in Electing Women PAC,10000,10000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Masis Staffing Solutions-Worcester,9700,0,9700,2022-04-18 00:00:00 +0000,41, , ,0,          
C00769695,"",          ,Freedom Force PAC,9300,9300,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Meridian Properties LLC,8875,0,8875,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000021967,Duty Free Americas,8700,0,8700,2022-04-18 00:00:00 +0000,45, , ,0,          
C00279380,"",          ,Marine Engineers Beneficial Assn/Dist 1,8667,8667,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00027359,"",D000000140,Ironworkers Union                       ,8500,8500,0,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Arcadia Inc,8250,0,8250,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Carol for Congress,8000,8000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",          ,Esco Drug Co,8000,0,8000,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000088195,Northfield Bank,8000,0,8000,2022-04-18 00:00:00 +0000,50, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,7950,6000,1950,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000021915,"City of New York, NY",7917,0,7917,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Mannix Family Markets,7800,0,7800,2022-04-18 00:00:00 +0000,55, , ,0,          
