pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000033996,Genesis 10,32400,0,32400,2022-04-18 00:00:00 +0000,1, , ,0,          
C00366013,"",D000020994,NASDAQ Inc,28635,10000,18635,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000021845,Apollo Global Management,21600,0,21600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Manhattan Electronics,16600,0,16600,2022-04-18 00:00:00 +0000,4, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000031890,Belfer Management,14500,0,14500,2022-04-18 00:00:00 +0000,7, , ,0,          
C00416495,"",D000000207,Loews Corp,14500,0,14500,2022-04-18 00:00:00 +0000,7, , ,0,          
C00312777,"",D000025169,Cozen O'Connor,13500,3500,10000,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000000412,US House of Representatives,13315,0,13315,2022-04-18 00:00:00 +0000,10, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,13000,13000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000021927,Columbia University,12740,0,12740,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000000468,Estee Lauder Companies,12100,0,12100,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000036995,Red Apple Group                         ,11850,0,11850,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Blair Investment Banking,11700,0,11700,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Continental Finance,11600,0,11600,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000071415,GFP Real Estate,11600,0,11600,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000070576,KPS Capital Partners,11600,0,11600,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Promontory Financial Group,11600,0,11600,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000058299,Virtu Financial,11600,0,11600,2022-04-18 00:00:00 +0000,16, , ,0,          
C00105981,"",D000000262,Investment Co Institute,11000,11000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000067555,Workiva,10900,0,10900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Jill Haber Design,10800,0,10800,2022-04-18 00:00:00 +0000,23, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,10500,10500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00326595,"",D000021891,Capital One Financial,10010,10000,10,2022-04-18 00:00:00 +0000,25, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00685297,"",D000074088,Elect Democratic Women,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00007922,"",D000000074,Laborers Union,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00344234,"",D000000520,PAC to the Future,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00388827,"",D000066716,Rock Holdings,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C70003124,"",D000000077,Service Employees International Union,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00013961,"",D000000636,Sheet Metal & Air Conditioning Contractors Assn,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C70001979,"",D000000066,Teamsters Union,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00714329,"",D000070563,Transdigm Group,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Sullivan Papain Block McGrath Coffinas,9800,0,9800,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Zitomer,9205,0,9205,2022-04-18 00:00:00 +0000,38, , ,0,          
