pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00496752,"",D000033463,Enterprise Products Partners,158720,20000,138720,2022-04-18 00:00:00 +0000,1,x, ,0,D000033463
C00484535,"",D000065181,Votesane PAC,150650,0,150650,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000042500,Lightstone Group,132400,0,132400,2022-04-18 00:00:00 +0000,3,x, ,0,D000042500
C00574921,"",D000037311,Ryan LLC,105000,15000,90000,2022-04-18 00:00:00 +0000,4, , ,0,          
C00064774,"",D000000321,NextEra Energy,102950,8000,94950,2022-04-18 00:00:00 +0000,5, , ,0,          
C00162578,"",          ,West Virginia State Democratic Exec Cmte,100000,100000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00332395,"",D000027765,Viatris Inc,89525,0,89525,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000025688,Energy Transfer LP,87700,5000,82700,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000032285,Capital Group,86400,0,86400,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000021845,Apollo Global Management,84853,10000,74853,2022-04-18 00:00:00 +0000,10, , ,0,          
C00350744,"",D000000085,Goldman Sachs,78500,20000,58500,2022-04-18 00:00:00 +0000,11,x, ,0,D000000085
C00540518,"",D000021890,Capital Group Companies                 ,77500,35000,42500,2022-04-18 00:00:00 +0000,12,x, ,0,D000021890
C00236083,"",D000028850,S&B Engineers & Constructors,64800,5000,59800,2022-04-18 00:00:00 +0000,13,x, ,0,D000028850
         ,"",D000087339,Hanover Co,62200,0,62200,2022-04-18 00:00:00 +0000,14, , ,0,          
C00248716,"",D000000461,Comcast Corp,61078,25000,36078,2022-04-18 00:00:00 +0000,15,x, ,0,D000000461
C00635516,"",D000068133,Tellurian Inc,55750,15500,40250,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000000402,"Welsh, Carson et al",55300,0,55300,2022-04-18 00:00:00 +0000,17, , ,0,          
C00431858,"",D000022267,Steptoe & Johnson,47425,5500,41925,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000031026,Wexford Capital,45900,0,45900,2022-04-18 00:00:00 +0000,19, , ,0,          
C00247403,"",D000022158,NorPAC,41800,0,41800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000036906,Quantum Energy Partners,41600,0,41600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000051623,Hamilton Insurance Agency,41500,0,41500,2022-04-18 00:00:00 +0000,22, , ,0,          
C00089136,"",D000000067,Altria Group,40500,35000,5500,2022-04-18 00:00:00 +0000,23,x, ,0,D000000067
C00096156,"",D000000334,Honeywell International,39025,39000,25,2022-04-18 00:00:00 +0000,24,x, ,0,D000000334
C00112896,"",D000000303,ConocoPhillips,38800,4500,34300,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000021757,Berkshire Hathaway,37625,35500,2125,2022-04-18 00:00:00 +0000,26,x, ,0,D000021757
C00109546,"",D000022303,Valero Energy,37300,10000,27300,2022-04-18 00:00:00 +0000,27,x, ,0,D000022303
C00010082,"",D000022131,NCTA The Internet & Television Assn,36500,35000,1500,2022-04-18 00:00:00 +0000,28,x, ,0,D000022131
C00477653,"",D000000768,Cox Enterprises                         ,36250,18500,17750,2022-04-18 00:00:00 +0000,29,x, ,0,D000000768
C00140855,"",D000000531,FirstEnergy Corp,36000,31000,5000,2022-04-18 00:00:00 +0000,30,x, ,0,D000000531
         ,"",D000000109,Blue Cross/Blue Shield,35754,33000,2754,2022-04-18 00:00:00 +0000,31, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,35000,35000,0,2022-04-18 00:00:00 +0000,32,x, ,0,D000000062
         ,"",D000030529,Trian Partners                          ,34700,0,34700,2022-04-18 00:00:00 +0000,33, , ,0,          
C00109017,"",D000000076,AT&T Inc,34413,29500,4913,2022-04-18 00:00:00 +0000,34,x, ,0,D000000076
C00108209,"",D000000335,Dominion Energy,33200,27500,5700,2022-04-18 00:00:00 +0000,35,x, ,0,D000000335
         ,"",D000000769,"Paul, Weiss et al",32900,0,32900,2022-04-18 00:00:00 +0000,36, , ,0,          
C00163832,"",D000000148,CSX Corp,32500,32500,0,2022-04-18 00:00:00 +0000,37,x, ,0,D000000148
C00007922,"",D000000074,Laborers Union,32500,32500,0,2022-04-18 00:00:00 +0000,37,x, ,0,D000000074
         ,"",D000031097,"Wilson, Sonsini et al",32400,0,32400,2022-04-18 00:00:00 +0000,39, , ,0,          
C00088591,"",D000000170,Northrop Grumman,32019,32000,19,2022-04-18 00:00:00 +0000,40,x, ,1,D000000170
C00686287,"",D000059511,Plains All American Pipeline,31600,5000,26600,2022-04-18 00:00:00 +0000,41,x, ,0,D000059511
C00009282,"",D000019639,Norfolk Southern,31550,31500,50,2022-04-18 00:00:00 +0000,42,x, ,0,D000019639
         ,"",D000032306,Capitol Counsel,31200,0,31200,2022-04-18 00:00:00 +0000,43, ,x,0,D000032306
C00151175,"",D000025713,EQT Corp,31000,30000,1000,2022-04-18 00:00:00 +0000,44,x, ,0,D000025713
C00416495,"",D000000207,Loews Corp                              ,31000,7500,23500,2022-04-18 00:00:00 +0000,44, , ,0,          
C00144774,"",D000000168,Southern Co                             ,31000,30000,1000,2022-04-18 00:00:00 +0000,44,x, ,0,D000000168
C00274431,"",D000000348,UnitedHealth Group,30001,30000,1,2022-04-18 00:00:00 +0000,47,x, ,0,D000000348
         ,"",D000090590,Addicus LLC,30000,0,30000,2022-04-18 00:00:00 +0000,48, , ,0,          
C00004275,"",D000000087,American Bankers Assn,30000,30000,0,2022-04-18 00:00:00 +0000,48,x, ,0,D000000087
C00002972,"",D000000153,National Rural Electric Cooperative Assn,30000,30000,0,2022-04-18 00:00:00 +0000,48,x, ,0,D000000153
C00676544,"",D000037784,Starkey Hearing Technologies,29900,2500,27400,2022-04-18 00:00:00 +0000,51,x, ,0,D000037784
C00040394,"",D000000480,Williams Companies,29300,18500,10800,2022-04-18 00:00:00 +0000,52,x, ,0,D000000480
C00390583,"",D000000724,"Brownstein, Hyatt et al                 ",28990,7000,21990,2022-04-18 00:00:00 +0000,53, , ,0,          
C00215285,"",D000000317,General Atomics,28000,17500,10500,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000059510,Pioneer Natural Resources,28000,7500,20500,2022-04-18 00:00:00 +0000,54, , ,0,          
C00064766,"",D000000081,United Parcel Service,27509,27500,9,2022-04-18 00:00:00 +0000,56,x, ,0,D000000081
C00015933,"",D000000658,Pinnacle West Capital,27500,27500,0,2022-04-18 00:00:00 +0000,57,x, ,0,D000000658
         ,"",D000021873,Blackstone Group                        ,27450,0,27450,2022-04-18 00:00:00 +0000,58,x, ,0,D000021873
C00076810,"",D000000155,General Motors,27002,25000,2002,2022-04-18 00:00:00 +0000,59,x, ,0,D000000155
         ,"",D000063612,SV Angel LLC,27000,0,27000,2022-04-18 00:00:00 +0000,60, , ,0,          
C00186288,"",D000000079,Verizon Communications,26856,26000,856,2022-04-18 00:00:00 +0000,61,x, ,0,D000000079
C00097568,"",D000072615,Raytheon Technologies,26085,25000,1085,2022-04-18 00:00:00 +0000,62, , ,0,          
C00160630,"",D000025591,Drummond Co,25900,6000,19900,2022-04-18 00:00:00 +0000,63, , ,0,          
C00300178,"",D000019743,Wells Fargo,25863,11500,14363,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000032451,Centerview Partners,25700,0,25700,2022-04-18 00:00:00 +0000,65, , ,0,          
C00303024,"",D000000104,Lockheed Martin,25610,25000,610,2022-04-18 00:00:00 +0000,66,x, ,0,D000000104
C00027342,"",D000000069,International Brotherhood of Electrical Workers,25000,25000,0,2022-04-18 00:00:00 +0000,67,x, ,0,D000000069
C00034405,"",D000000171,International Paper,25000,25000,0,2022-04-18 00:00:00 +0000,67,x, ,0,D000000171
C00033779,"",D000022214,Real Estate Roundtable,25000,25000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
         ,"",          ,Coury Financial,24900,0,24900,2022-04-18 00:00:00 +0000,70, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,24710,22000,2710,2022-04-18 00:00:00 +0000,71,x,x,0,D000000124
C00261339,"",D000059877,Hogan Lovells,24387,6000,18387,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000091251,Green Rock LLC,24200,0,24200,2022-04-18 00:00:00 +0000,73, , ,0,          
C00128512,"",D000000103,JPMorgan Chase & Co,23759,21500,2259,2022-04-18 00:00:00 +0000,74,x, ,0,D000000103
         ,"",D000022194,Power Rogers LLP,23450,0,23450,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",          ,Blue Delta Capital Partners,23200,0,23200,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Boulevard Healthcare,23200,0,23200,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Douglas Management & Realty In,23200,0,23200,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Wcas,23200,0,23200,2022-04-18 00:00:00 +0000,76, , ,0,          
C00158881,"",D000000249,New York Life Insurance,22951,22500,451,2022-04-18 00:00:00 +0000,80,x, ,0,D000000249
         ,"",D000021899,CBRE Group,22820,0,22820,2022-04-18 00:00:00 +0000,81, , ,0,          
C00093054,"",D000000367,Walmart Inc,22720,21500,1220,2022-04-18 00:00:00 +0000,82,x, ,0,D000000367
         ,"",D000032620,City University of New York,22635,0,22635,2022-04-18 00:00:00 +0000,83, , ,0,          
C00426775,"",D000000672,Charter Communications,22500,22500,0,2022-04-18 00:00:00 +0000,84,x, ,0,D000000672
C00113159,"",D000000744,Eastman Chemical,22500,22500,0,2022-04-18 00:00:00 +0000,84,x, ,0,D000000744
C00010470,"",D000000118,Union Pacific Corp,22500,22500,0,2022-04-18 00:00:00 +0000,84,x, ,0,D000000118
         ,"",          ,N3,22200,0,22200,2022-04-18 00:00:00 +0000,87, , ,0,          
C00197749,"",D000000128,Walt Disney Co                          ,22117,2500,19617,2022-04-18 00:00:00 +0000,88, , ,0,          
         ,"",D000030495,Toyota Motor Corp                       ,22045,22000,45,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",D000021943,Crow Holdings,22000,0,22000,2022-04-18 00:00:00 +0000,90, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,22000,22000,0,2022-04-18 00:00:00 +0000,90,x, ,0,D000000309
C00177469,"",D000000290,PG&E Corp,21802,14500,7302,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",D000031606,Ares Management,21600,0,21600,2022-04-18 00:00:00 +0000,93, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,21600,0,21600,2022-04-18 00:00:00 +0000,93, , ,0,          
         ,"",          ,Florida Crystals,21600,0,21600,2022-04-18 00:00:00 +0000,93, , ,0,          
         ,"",D000036669,Phillips & Jordan,21600,0,21600,2022-04-18 00:00:00 +0000,93, , ,0,          
         ,"",D000090826,Tusk Holdings,21600,0,21600,2022-04-18 00:00:00 +0000,93,x, ,0,D000090826
         ,"",D000063904,Vecellio Group,21600,0,21600,2022-04-18 00:00:00 +0000,93, , ,0,          
C00266585,"",D000000344,Greenberg Traurig LLP,21537,11500,10037,2022-04-18 00:00:00 +0000,99, , ,0,          
