pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,NOT EMPLOYED,24860,0,24860,2022-04-18 00:00:00 +0000,1, , ,0,          
C00540518,"",D000021890,Capital Group Companies,23200,0,23200,2022-04-18 00:00:00 +0000,2, , ,0,          
C00699470,"",D000073971,Pro-Israel America PAC,19200,0,19200,2022-04-18 00:00:00 +0000,3, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,14900,10000,4900,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Associated Agencies Inc,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000035437,Lone Pine Capital,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000072018,Samson Energy,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Schusterman Family Foundations,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000071285,Share Our Strength,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000032534,Chieftain Capital Management,10800,0,10800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000090954,AJM Packaging,10000,0,10000,2022-04-18 00:00:00 +0000,11, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Propane Power,8900,0,8900,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000035637,Maron & Sandler,8700,0,8700,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Samet Corp,8550,0,8550,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000032870,Cordish Co,8100,0,8100,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Shapira Foundation,7800,0,7800,2022-04-18 00:00:00 +0000,17, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,TTI Global Resources,6500,0,6500,2022-04-18 00:00:00 +0000,19, , ,0,          
C00024521,"",D000000065,American Assn for Justice,6000,6000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000054886,NYU Langone Medical Center,6000,0,6000,2022-04-18 00:00:00 +0000,20, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",6000,6000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00427849,"",D000028591,Replacements Ltd,5950,0,5950,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,1901 Partners,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
