pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,139133,0,139133,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000544,Harvard University                      ,116428,0,116428,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000034155,Granite Telecommunications,109253,0,109253,2022-04-18 00:00:00 +0000,3,x, ,1,D000034155
         ,"",D000022322,WilmerHale LLP,96361,0,96361,2022-04-18 00:00:00 +0000,4, ,x,0,D000022322
         ,"",D000067823,Alphabet Inc,75751,0,75751,2022-04-18 00:00:00 +0000,5,x, ,3,D000067823
         ,"",D000021845,Apollo Global Management,67970,0,67970,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000036528,Mass General Brigham,62033,0,62033,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000087891,Northwest Biotherapeutics,54800,0,54800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000032785,Commonwealth of Massachusetts           ,53530,0,53530,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Markey Victory Fund                               ,48655,48655,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000032062,Boston University,48269,0,48269,2022-04-18 00:00:00 +0000,11,x, ,0,D000032062
         ,"",D000021873,Blackstone Group                        ,44285,0,44285,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",40300,0,40300,2022-04-18 00:00:00 +0000,13,x, ,0,D000000333
         ,"",D000037177,Rock Creek Group,38150,0,38150,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000022098,Massachusetts Institute of Technology,36829,0,36829,2022-04-18 00:00:00 +0000,15, , ,0,          
C00227546,"",D000000115,Microsoft Corp                          ,36425,4500,31925,2022-04-18 00:00:00 +0000,16,x, ,0,D000000115
C00035451,"",D000000117,Air Line Pilots Assn,35010,35000,10,2022-04-18 00:00:00 +0000,17,x, ,1,D000000117
         ,"",D000000797,"Mintz, Levin et al                      ",34344,0,34344,2022-04-18 00:00:00 +0000,18, ,x,1,D000000797
         ,"",D000030573,Tufts University,33748,0,33748,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000021859,Bain Capital,32809,0,32809,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000031993,BLS Investments,32000,0,32000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000030668,University of Massachusetts,30672,0,30672,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000032895,"Cotchett, Pitre & McCarthy",30250,0,30250,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000025929,Fresenius Medical Care,28128,15000,13128,2022-04-18 00:00:00 +0000,24, , ,0,          
C00024521,"",D000000065,American Assn for Justice,27135,25000,2135,2022-04-18 00:00:00 +0000,25,x,x,0,D000000065
C00462630,"",D000021942,Covington & Burling,26332,1000,25332,2022-04-18 00:00:00 +0000,26, ,x,1,D000021942
         ,"",D000037205,Wonderful Co,26200,0,26200,2022-04-18 00:00:00 +0000,27,x, ,0,D000037205
         ,"",D000087345,Marshfield Assoc,26000,0,26000,2022-04-18 00:00:00 +0000,28, , ,0,          
