pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000063099,Research Affiliates LLC,10000,0,10000,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000044060,Saulsbury Industries,8700,0,8700,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,JW Witten Investments,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Keco,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000087766,Maple Engine LLC,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Runestad Financial Services,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000030211,Susquehanna International Group,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
C00339085,"",D000000794,Qualcomm Inc,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00493924,"",          ,Reinventing a New Direction,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000063246,Saminco Inc,5000,0,5000,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Ni,4900,0,4900,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000074433,Heavy Construction Systems Specialists,3263,0,3263,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000034860,Jim Jordan for Congress,3000,3000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Lamar Resources LLC,3000,0,3000,2022-04-18 00:00:00 +0000,14, , ,0,          
C00542365,"",          ,Toyota Motor North America,3000,3000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00269241,"",D000028614,Republican Liberty Caucus,2901,2901,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,American Carpet Wholesalers,2900,0,2900,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000088318,Datadog,2900,0,2900,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Duotech Services,2900,0,2900,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Fork Sand,2900,0,2900,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000034369,HBK Capital Management,2900,0,2900,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Jjgames,2900,0,2900,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000000811,Kirkland & Ellis,2900,0,2900,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,L&N Federal Credit Union,2900,0,2900,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Meriwether Farms,2900,0,2900,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000094023,Payward Inc,2900,0,2900,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Rubicon,2900,0,2900,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Sst Consultants,2900,0,2900,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000030736,US Navy,2900,0,2900,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000062646,New Spark Holdings,2800,0,2800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Obrien Automotive Team,2800,0,2800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,422 LLC,2500,0,2500,2022-04-18 00:00:00 +0000,33, , ,0,          
C00076810,"",D000000155,General Motors,2500,2500,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00502906,"",D000033563,Meta,2500,0,2500,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Wm Holdings,2181,0,2181,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Va,2100,0,2100,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Bessler Auto Parts,2000,0,2000,2022-04-18 00:00:00 +0000,38, , ,0,          
C00235739,"",          ,BNSF Railway,2000,2000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00084871,"",D000022361,Celanese Corp,2000,2000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Chick-Fil-A M Road,2000,0,2000,2022-04-18 00:00:00 +0000,38, , ,0,          
C00462630,"",D000021942,Covington & Burling,2000,2000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00163832,"",D000000148,CSX Corp,2000,2000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00465914,"",          ,Freedom & Prosperity PAC,2000,2000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00698894,"",          ,Friends of John Dennis for Congress 2020,2000,2000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000061400,G&J Pepsi-Cola Bottlers,2000,0,2000,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Mister P Express Trucking,2000,0,2000,2022-04-18 00:00:00 +0000,38, , ,0,          
C00009282,"",D000019639,Norfolk Southern,2000,2000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00010470,"",D000000118,Union Pacific Corp,2000,2000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
