pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,212524,0,212524,2022-04-18 00:00:00 +0000,1, , ,0,          
C00193433,"",D000000113,EMILY's List,210841,5000,205841,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,NOT EMPLOYED,179957,0,179957,2022-04-18 00:00:00 +0000,3, , ,0,          
C00484535,"",D000065181,Votesane PAC,143000,0,143000,2022-04-18 00:00:00 +0000,4, , ,0,          
C00441949,"",          ,JStreetPAC,89642,0,89642,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000076589,Meruelo Group,79100,0,79100,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000021873,Blackstone Group,78629,0,78629,2022-04-18 00:00:00 +0000,7,x, ,1,D000021873
C00042366,"",D000021958,Democratic Senatorial Campaign Cmte,61800,51200,10600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,60866,44500,16366,2022-04-18 00:00:00 +0000,9,x, ,4,D000000109
C00096156,"",D000000334,Honeywell International,56187,27000,29187,2022-04-18 00:00:00 +0000,10,x, ,1,D000000334
C00477653,"",D000000768,Cox Enterprises                         ,56055,27500,28555,2022-04-18 00:00:00 +0000,11,x, ,0,D000000768
         ,"",D000000406,University of California                ,55248,0,55248,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000022082,"Lieff, Cabraser et al",51614,0,51614,2022-04-18 00:00:00 +0000,13, , ,0,          
C00397851,"",D000024670,Centene Corp                            ,51062,15000,36062,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000067823,Alphabet Inc,50913,25000,25913,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000022251,Silver Lake Partners                    ,50422,15000,35422,2022-04-18 00:00:00 +0000,16, , ,0,          
C00227546,"",D000000115,Microsoft Corp                          ,49882,36000,13882,2022-04-18 00:00:00 +0000,17,x, ,2,D000000115
C00248716,"",D000000461,Comcast Corp,48235,27500,20735,2022-04-18 00:00:00 +0000,18,x, ,4,D000000461
C00104901,"",D000000162,"Akin, Gump et al",46975,6000,40975,2022-04-18 00:00:00 +0000,19, ,x,3,D000000162
C00064774,"",D000000321,NextEra Energy,46373,16000,30373,2022-04-18 00:00:00 +0000,20,x, ,2,D000000321
         ,"",D000021845,Apollo Global Management,44622,9400,35222,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000030676,University of Nevada                    ,43270,0,43270,2022-04-18 00:00:00 +0000,22, , ,0,          
C00006080,"",D000000192,American Health Care Assn,43100,28500,14600,2022-04-18 00:00:00 +0000,23,x, ,3,D000000192
         ,"",          ,Meruelo Media,42900,0,42900,2022-04-18 00:00:00 +0000,24, , ,0,          
C00211318,"",D000000131,Deloitte LLP,42496,35000,7496,2022-04-18 00:00:00 +0000,25,x,x,2,D000000131
         ,"",D000021757,Berkshire Hathaway,40602,37500,3102,2022-04-18 00:00:00 +0000,26,x, ,3,D000021757
C00360354,"",D000023883,Amazon.com,39514,10000,29514,2022-04-18 00:00:00 +0000,27,x, ,2,D000023883
