pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,71926,0,71926,2022-04-18 00:00:00 +0000,1, , ,0,          
C00193433,"",D000000113,EMILY's List,48238,5000,43238,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,NOT EMPLOYED,39317,0,39317,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000033433,Emory University,29804,0,29804,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000031992,Bloomberg Lp,26313,0,26313,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000070423,Arista Networks,23200,0,23200,2022-04-18 00:00:00 +0000,6, , ,0,          
C00104802,"",D000000350,Delta Air Lines,20435,0,20435,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000021849,Ariel Investments,17650,0,17650,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",17400,0,17400,2022-04-18 00:00:00 +0000,9, , ,0,          
C00248716,"",D000000461,Comcast Corp,17200,0,17200,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000034847,Jewish Theological Seminary,16600,0,16600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Benchmark Management,14800,0,14800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Olan Mills Inc,14500,0,14500,2022-04-18 00:00:00 +0000,13, , ,0,          
C00000935,"",D000021957,Democratic Congressional Campaign Cmte,14314,664,13650,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000061868,Jackmont Hospitality,14100,0,14100,2022-04-18 00:00:00 +0000,15, , ,0,          
C00242057,"",D000022215,Reed Smith LLP,13950,0,13950,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000068512,Emerson Collective,13850,0,13850,2022-04-18 00:00:00 +0000,17, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,12400,7500,4900,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000037678,Sotheby's,11625,0,11625,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000088259,Able Partners,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000031533,Analysis Group,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Continental Finance,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000000468,Estee Lauder Companies,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000052426,Ischemix,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000084276,LifeYield,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Mills & Assoc,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000055822,Q Prime Inc,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000065774,Richmond Global,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000063612,SV Angel LLC,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000071415,GFP Real Estate,11200,0,11200,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000000412,US House of Representatives,10610,0,10610,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Americhoice Health Services Inc,10600,0,10600,2022-04-18 00:00:00 +0000,33, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,10000,10000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00147512,"",D000021932,Congressional Black Caucus PAC,10000,10000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00227546,"",D000000115,Microsoft Corp,9945,0,9945,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,G2 Secure Staff,9499,0,9499,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000032971,Crowne Partners,9200,0,9200,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000036474,Paideia School,9110,0,9110,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000067823,Alphabet Inc,9038,0,9038,2022-04-18 00:00:00 +0000,41, , ,0,          
C00617381,"",D000071024,The Collective PAC,9000,9000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00573261,"",          ,End Citizens United,8850,5000,3850,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000029534,Tunica-Biloxi Tribe of Louisiana,8700,0,8700,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000087568,Tuckson Health Connections,8600,0,8600,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Lurin,8332,0,8332,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000058509,Wellstar Health System,8330,0,8330,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000088118,Bluewater Partners,8000,0,8000,2022-04-18 00:00:00 +0000,48, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000031435,Alsop Louie Partners,7800,0,7800,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",          ,Sonnenberg & Cunningham,7775,0,7775,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000036528,Mass General Brigham,7580,0,7580,2022-04-18 00:00:00 +0000,52, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,7500,7500,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00488387,"",D000065813,Tri-State Maxed Out Women,7500,7500,0,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000059893,Dentons,7050,0,7050,2022-04-18 00:00:00 +0000,55, , ,0,          
C00422774,"",          ,Frontline USA,6885,-2500,9385,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000069834,Canal Partners Media,6879,0,6879,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,J5gbl,6800,0,6800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000072049,Lambent Foundation,6800,0,6800,2022-04-18 00:00:00 +0000,58, , ,0,          
