pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00428052,"",D000027353,Majority Cmte PAC,20000,20000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000033385,Edward C Levy Co,12600,0,12600,2022-04-18 00:00:00 +0000,2, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,12500,12500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Laser Marking Technologies,12200,0,12200,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000072212,Hantz Group,11775,0,11775,2022-04-18 00:00:00 +0000,5, , ,0,          
C00763623,"",D000073362,Anduril Industries,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Clean View Auto Wash,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,North Star Partners,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00384354,"",          ,Michigan Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000047923,Bottle Crew,8700,0,8700,2022-04-18 00:00:00 +0000,12, , ,0,          
C00078451,"",D000000165,General Dynamics,8025,8000,25,2022-04-18 00:00:00 +0000,13, , ,0,          
C00686055,"",          ,Jackson National Life Insurance,7050,7000,50,2022-04-18 00:00:00 +0000,14, , ,0,          
C00142711,"",D000000100,Boeing Co,6500,6500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00346353,"",          ,CRH Americas,6000,6000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,6000,6000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Avantius Group,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Cultivating Calm,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000061684,Highland Engineering,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000062036,Kirlin Co,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Mark Aubrey Holdings LLC                          ,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,McKinley Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000091443,Midwest Steel,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000036976,Rdv Corp,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000037652,Soave Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
C00300418,"",D000067120,SAIC,5500,5500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5050,5000,50,2022-04-18 00:00:00 +0000,28, , ,0,          
C00284885,"",D000000419,Home Depot,5005,5000,5,2022-04-18 00:00:00 +0000,29, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00469429,"",D000065616,CMR PAC,5000,5000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,5000,5000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00570945,"",          ,E-PAC,5000,5000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Hard Milling Solutions,5000,0,5000,2022-04-18 00:00:00 +0000,30, , ,0,          
C00773234,"",          ,Kansas Victory PAC,5000,5000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00165159,"",D000028615,Republican Main Street Partnership,5000,5000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00388827,"",D000066716,Rock Holdings,5000,5000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00779538,"",D000085164,United Wholesale Mortgage,5000,5000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00327189,"",D000029628,Value in Electing Women PAC,5000,5000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Baykar Heritage Group,4700,0,4700,2022-04-18 00:00:00 +0000,40, , ,0,          
C00738260,"",          ,Point Action PAC,4500,4500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00446674,"",D000029828,Western Sugar Cooperative,4500,4500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00718445,"",D000073152,Wisconsin Physicians Service Insurance,4500,4500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00064766,"",D000000081,United Parcel Service,4050,4000,50,2022-04-18 00:00:00 +0000,44, , ,0,          
C00691626,"",          ,Cut the Bull PAC,4000,4000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00081547,"",D000000561,DTE Energy,4000,4000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000033509,Ervin Graves Strategy Group,4000,0,4000,2022-04-18 00:00:00 +0000,45, , ,0,          
