pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000060863,Crown Assoc Realty,18700,0,18700,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000044659,Armour Properties,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000071830,Standard Industries,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Mansour Co,7800,0,7800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000044899,Hillwood Development,7403,0,7403,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Pyrames Inc,7000,0,7000,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000057449,Technical Maintenance Support Inc,6800,0,6800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000035862,Midland Energy,6470,0,6470,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Barnum Timber Co                                  ,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000021889,Cantor Fitzgerald,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Cen-Cal Fire Systems,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000021912,Citadel LLC,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000060990,Dimensional Fund Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000061337,Founders Fund,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000033784,"Fox, Paine & Co",5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000080499,Franklin Mountain Management,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000034038,Gh Palmer Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000034204,Grimmway Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000068961,Harold Simmons Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
C00125641,"",D000000804,Intel Corp,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000000342,Jw Childs Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000036031,Mountaire Corp,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Quest,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Ryan Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000037563,Sierra Pacific Industries,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000037717,Spencer Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000030599,Uline Inc,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Valmore Gp,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000064021,Western Mutual Insurance,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
C00426775,"",D000000672,Charter Communications,5000,5000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00504530,"",D000069888,Congressional Leadership Fund,5000,0,5000,2022-04-18 00:00:00 +0000,38, , ,0,          
C00390161,"",D000025728,Eureka PAC,5000,5000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00563726,"",          ,Mr Southern Missourian in the House,5000,5000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000081979,Sebastiani Vineyards,5000,0,5000,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Tms,5000,0,5000,2022-04-18 00:00:00 +0000,38, , ,0,          
C00712695,"",          ,Vitoria PAC,5000,5000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,4500,0,4500,2022-04-18 00:00:00 +0000,46, , ,0,          
C00109017,"",D000000076,AT&T Inc,3750,3500,250,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Prism Management,3500,0,3500,2022-04-18 00:00:00 +0000,48, , ,0,          
C00542365,"",          ,Toyota Motor North America,3500,3500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Ayres Group,3000,0,3000,2022-04-18 00:00:00 +0000,50, , ,0,          
C00244863,"",D000022139,National Roofing Contractors Assn,3000,3000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
C00186288,"",D000000079,Verizon Communications,3000,3000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000044976,Los Alamitos Race Course,2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000068941,Raine Group,2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Shingle Sp Bank Miwok Indians,2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Tcw Group,2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000031097,"Wilson, Sonsini et al                   ",2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,La Mesa Rv,2800,0,2800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000023639,Morongo Band of Mission Indians,2800,0,2800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000065816,Vaquero Energy,2600,0,2600,2022-04-18 00:00:00 +0000,60, , ,0,          
C00493502,"",D000071022,VSP Global,2525,2500,25,2022-04-18 00:00:00 +0000,61, , ,0,          
C00004275,"",D000000087,American Bankers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,2500,2500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",          ,Borba Farms Partners,2500,0,2500,2022-04-18 00:00:00 +0000,62, , ,0,          
C00653188,"",D000024478,Broadcast Music Inc,2500,2500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00318766,"",          ,California Independent Petroleum Assn,2500,2500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00592089,"",          ,Electing Majority Making Effective Republicans,2500,2500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00540146,"",          ,First In Freedom PAC,2500,2500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00428623,"",          ,Google Inc,2500,2500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00236489,"",D000000186,Koch Industries,2500,2500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C90016437,"",D000000086,National Assn of Home Builders,2500,2500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000055663,Preservation Stations Preserve,2500,0,2500,2022-04-18 00:00:00 +0000,62, , ,0,          
C00009357,"",D000000581,Recording Industry Assn of America,2500,500,2000,2022-04-18 00:00:00 +0000,62, , ,0,          
C00744532,"",          ,Support Taxfighters & Elect Effective Leaders PAC,2500,2500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000023654,Sycuan Band of the Kumeyaay Nation,2500,0,2500,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",          ,Sole Prop,2200,0,2200,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",D000000812,State of California                     ,2200,0,2200,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Capitol Bowl,2000,0,2000,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",          ,David Rouzer for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,78, , ,0,          
C00019653,"",D000000239,Edison International,2000,2000,0,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",          ,Friends of Glenn Thompson,2000,2000,0,2022-04-18 00:00:00 +0000,78, , ,0,          
C00623512,"",          ,In the Arena PAC,2000,2000,0,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",D000000286,Mashantucket Pequot Tribal Nation,2000,0,2000,2022-04-18 00:00:00 +0000,78, , ,0,          
C00177469,"",D000000290,PG&E Corp,2000,2000,0,2022-04-18 00:00:00 +0000,78, , ,0,          
C00122101,"",D000000757,Safari Club International,2000,2000,0,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",          ,Saginaw Chippewa Indan Tribe,2000,0,2000,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",D000037401,Scalise for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",          ,Surlamer,2000,0,2000,2022-04-18 00:00:00 +0000,78, , ,0,          
C00010470,"",D000000118,Union Pacific Corp,2000,2000,0,2022-04-18 00:00:00 +0000,78, , ,0,          
C00392464,"",          ,Universal Music Group,2000,2000,0,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",D000083449,The Animal Foundation,1921,0,1921,2022-04-18 00:00:00 +0000,91, , ,0,          
