pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000034393,Heartland Realty Investors,64800,0,64800,2022-04-18 00:00:00 +0000,1, , ,0,          
C00676544,"",D000037784,Starkey Hearing Technologies,21200,0,21200,2022-04-18 00:00:00 +0000,2, , ,0,          
C00303024,"",D000000104,Lockheed Martin,20000,20000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00142711,"",D000000100,Boeing Co,15500,15000,500,2022-04-18 00:00:00 +0000,4, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,15235,15000,235,2022-04-18 00:00:00 +0000,5, , ,0,          
C00096156,"",D000000334,Honeywell International,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00171330,"",D000000330,Holland & Knight,14100,2500,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
C00088591,"",D000000170,Northrop Grumman,12600,12500,100,2022-04-18 00:00:00 +0000,9, , ,0,          
C00275123,"",          ,Leonardo DRS,12500,12500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00078451,"",D000000165,General Dynamics,12000,12000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00546234,"",D000000369,Leidos Inc,12000,12000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000047907,Borton Volvo,11625,0,11625,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000071075,Ansys Inc,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Strategy Consulting,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,11500,11500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000023656,Shakopee Mdewakanton Sioux Community,11300,0,11300,2022-04-18 00:00:00 +0000,17, , ,0,          
C00325092,"",D000064813,Huntington Ingalls Industries,11000,11000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000047971,Breck School,10875,0,10875,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Community Medical Center,10800,0,10800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000027627,Mille Lacs Band Of Ojibwe,10800,0,10800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000036737,Poarch Band of Creek Indians,10800,0,10800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Osseo School District,10600,0,10600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000031190,The Y,10600,0,10600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000022294,University of Minnesota,10451,0,10451,2022-04-18 00:00:00 +0000,25, , ,0,          
C00009936,"",D000000304,American Federation of Government Employees,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00215285,"",D000000317,General Atomics,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00196725,"",D000067800,Hewlett Packard Enterprise,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
