pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00247403,"",D000022158,NorPAC,163575,0,163575,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000021873,Blackstone Group                        ,144438,1000,143438,2022-04-18 00:00:00 +0000,2, , ,0,          
C00064766,"",D000000081,United Parcel Service                   ,142356,37500,104856,2022-04-18 00:00:00 +0000,3,x, ,1,D000000081
C00484535,"",D000065181,Votesane PAC,127450,100,127350,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,117392,82500,34892,2022-04-18 00:00:00 +0000,5,x, ,4,D000000109
C00382796,"",D000035370,LHC Group                               ,116377,20000,96377,2022-04-18 00:00:00 +0000,6,x, ,0,D000035370
         ,"",D000021845,Apollo Global Management,110673,20000,90673,2022-04-18 00:00:00 +0000,7, , ,0,          
C00089136,"",D000000067,Altria Group,110147,35000,75147,2022-04-18 00:00:00 +0000,8,x, ,3,D000000067
C00082792,"",D000000166,Eli Lilly & Co,108139,27500,80639,2022-04-18 00:00:00 +0000,9,x, ,6,D000000166
C00540518,"",D000021890,Capital Group Companies                 ,99350,18500,80850,2022-04-18 00:00:00 +0000,10,x, ,0,D000021890
         ,"",D000000358,KKR & Co                                ,94320,12500,81820,2022-04-18 00:00:00 +0000,11, , ,0,          
C00064774,"",D000000321,NextEra Energy,92091,25000,67091,2022-04-18 00:00:00 +0000,12,x, ,2,D000000321
C00271007,"",D000000652,Humana Inc,87341,35000,52341,2022-04-18 00:00:00 +0000,13,x, ,0,D000000652
C00109017,"",D000000076,AT&T Inc,86375,27000,59375,2022-04-18 00:00:00 +0000,14,x, ,3,D000000076
C00274431,"",D000000348,UnitedHealth Group,84520,40000,44520,2022-04-18 00:00:00 +0000,15,x, ,3,D000000348
C00248716,"",D000000461,Comcast Corp,77465,35000,42465,2022-04-18 00:00:00 +0000,16,x, ,4,D000000461
         ,"",D000067697,American Airlines Group,76388,25000,51388,2022-04-18 00:00:00 +0000,17, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,75112,48500,26612,2022-04-18 00:00:00 +0000,18,x, ,1,D000072615
C00493551,"",D000000172,MetLife Inc,74873,32500,42373,2022-04-18 00:00:00 +0000,19,x, ,5,D000000172
C00426775,"",D000000672,Charter Communications,73980,25000,48980,2022-04-18 00:00:00 +0000,20,x, ,3,D000000672
C00016683,"",D000000138,Pfizer Inc,68621,19999,48622,2022-04-18 00:00:00 +0000,21,x, ,5,D000000138
C00390583,"",D000000724,"Brownstein, Hyatt et al",68150,8000,60150,2022-04-18 00:00:00 +0000,22, , ,0,          
C00536573,"",D000066804,AbbVie Inc,67847,52500,15347,2022-04-18 00:00:00 +0000,23,x, ,1,D000066804
C00340943,"",D000021951,DaVita Inc,64394,27500,36894,2022-04-18 00:00:00 +0000,24,x, ,1,D000021951
C00128512,"",D000000103,JPMorgan Chase & Co,64232,20000,44232,2022-04-18 00:00:00 +0000,25,x, ,3,D000000103
C00382150,"",D000022003,GEO Group                               ,62204,15000,47204,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000021757,Berkshire Hathaway,61649,33500,28149,2022-04-18 00:00:00 +0000,27,x, ,4,D000021757
C00085316,"",D000000222,Cigna Corp                              ,61029,32500,28529,2022-04-18 00:00:00 +0000,28,x, ,3,D000000222
C00093054,"",D000000367,Walmart Inc,60419,35000,25419,2022-04-18 00:00:00 +0000,29,x, ,5,D000000367
C00059733,"",D000000305,Brown-Forman Corp,59170,25000,34170,2022-04-18 00:00:00 +0000,30, , ,0,          
C00068692,"",D000000089,FedEx Corp,59035,28500,30535,2022-04-18 00:00:00 +0000,31,x, ,4,D000000089
