pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00484535,"",D000065181,Votesane PAC,81500,0,81500,2022-04-18 00:00:00 +0000,1, , ,0,          
C00108209,"",D000000335,Dominion Energy,29800,15000,14800,2022-04-18 00:00:00 +0000,2, , ,0,          
C00326595,"",D000021891,Capital One Financial,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00089136,"",D000000067,Altria Group,13750,10000,3750,2022-04-18 00:00:00 +0000,4, , ,0,          
C00426775,"",D000000672,Charter Communications,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00412791,"",D000021990,Forward Together PAC,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00109017,"",D000000076,AT&T Inc,8000,8000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000031411,"Allen, Allen et al                      ",7500,0,7500,2022-04-18 00:00:00 +0000,9, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00477653,"",D000000768,Cox Enterprises,6000,6000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",6000,6000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000093967,Columbus Rose Ltd,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000032840,Consumer Litigation Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
C00248716,"",D000000461,Comcast Corp,5003,5000,3,2022-04-18 00:00:00 +0000,15, , ,0,          
C00536573,"",D000066804,AbbVie Inc,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Candidate Pac,5000,0,5000,2022-04-18 00:00:00 +0000,16, , ,0,          
C00538835,"",D000070689,Common Ground PAC,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00034405,"",D000000171,International Paper,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00674242,"",D000070920,JUUL Labs,5000,1000,4000,2022-04-18 00:00:00 +0000,16, , ,0,          
C00007922,"",D000000074,Laborers Union,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000043235,Weinstein Properties,5000,0,5000,2022-04-18 00:00:00 +0000,16, , ,0,          
C00040394,"",D000000480,Williams Companies,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00127621,"",D000024236,"Bakery, Confectionery, Tobacco & Grain Union",4500,4500,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00325092,"",D000064813,Huntington Ingalls Industries,4500,4500,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00042002,"",          ,Reynolds American,4500,4500,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00468314,"",D000025328,Democracy Engine,4400,0,4400,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Urban Development Assoc,4000,0,4000,2022-04-18 00:00:00 +0000,36, , ,0,          
C00364109,"",D000023930,America's Communications Assn,3500,3500,0,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,3500,3500,0,2022-04-18 00:00:00 +0000,37, , ,0,          
C00096156,"",D000000334,Honeywell International,3500,2000,1500,2022-04-18 00:00:00 +0000,37, , ,0,          
C90005786,"",D000000288,League of Conservation Voters,3500,3500,0,2022-04-18 00:00:00 +0000,37, , ,0,          
C00106146,"",D000000116,American Hospital Assn,3000,3000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00225342,"",D000022103,McGuireWoods LLP,3000,2000,1000,2022-04-18 00:00:00 +0000,41, , ,0,          
C00430256,"",D000027692,Molina Healthcare,3000,3000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000063431,SL Nusbaum Realty,3000,0,3000,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,Lion'S Paw Development,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
C00520973,"",D000065323,Ice Miller LLP,2800,2800,0,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000036546,"Patten, Wornom et al                              ",2750,0,2750,2022-04-18 00:00:00 +0000,47, , ,0,          
C00360354,"",D000023883,Amazon.com,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00027532,"",          ,American Maritime Officers,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00216895,"",D000068537,Arnold & Porter Kaye Scholer,2500,1500,1000,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000032102,"Breit, Drescher & Imprevento",2500,0,2500,2022-04-18 00:00:00 +0000,48, , ,0,          
C00085316,"",D000000222,Cigna Corp,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00369751,"",D000000585,Dell Technologies,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00095869,"",D000000297,Edison Electric Institute,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C90014895,"",          ,Environmental Defense Action Fund,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000075077,Enviva LP,2500,0,2500,2022-04-18 00:00:00 +0000,48, , ,0,          
C00271007,"",D000000652,Humana Inc,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00091561,"",D000021771,National Active & Retired Federal Employees Assn,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C90016437,"",D000000086,National Assn of Home Builders,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00416297,"",D000000431,National Cotton Council,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00360008,"",D000022142,National Thoroughbred Racing Assn,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00010082,"",D000022131,NCTA The Internet & Television Assn,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00567388,"",D000068622,Nexstar Media Group,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00015933,"",D000000658,Pinnacle West Capital,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00663609,"",          ,Progressive Majority PAC                          ,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C70003124,"",D000000077,Service Employees International Union,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00300426,"",D000029138,Southern Cotton Growers Inc,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C70001979,"",D000000066,Teamsters Union,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00571141,"",          ,UCB Inc,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00002840,"",D000000070,United Auto Workers,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00093054,"",D000000367,Walmart Inc,2500,2500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,2003,2000,3,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",          ,Alfred Weissman Real Estate,2000,0,2000,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",D000021816,Alpine Group,2000,0,2000,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",D000086815,Bmwl & Partners,2000,0,2000,2022-04-18 00:00:00 +0000,76, , ,0,          
C00011262,"",D000024486,Brotherhood of Railroad Signalmen,2000,2000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",D000032205,Butterfield for Congress Cmte,2000,2000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Colette4Rva,2000,0,2000,2022-04-18 00:00:00 +0000,76, , ,0,          
C00142158,"",          ,Covanta Energy Corp,2000,2000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",D000082243,Cultural Heritage Partners                        ,2000,0,2000,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Decorum Furniture,2000,0,2000,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Elman Freiberg Pllc,2000,0,2000,2022-04-18 00:00:00 +0000,76, , ,0,          
C00266585,"",D000000344,Greenberg Traurig LLP,2000,2000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",D000022035,Hunton Andrews Kurth Llp,2000,0,2000,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Joyner Fine Properties,2000,0,2000,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Leste Capital,2000,0,2000,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Marcia Fudge for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
C00064774,"",D000000321,NextEra Energy,2000,2000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
C00051979,"",D000000410,NiSource Inc,2000,2000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
C00009282,"",D000019639,Norfolk Southern,2000,2000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Steward Partners,2000,0,2000,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Vectre Corp,2000,0,2000,2022-04-18 00:00:00 +0000,76, , ,0,          
C00196246,"",D000000154,American Academy of Ophthalmology,1500,1500,0,2022-04-18 00:00:00 +0000,96, , ,0,          
C00010322,"",D000000143,American Postal Workers Union,1500,1500,0,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",          ,Bhgre Metro Brokers,1500,0,1500,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",          ,Carmarc Realty Group,1500,0,1500,2022-04-18 00:00:00 +0000,96, , ,0,          
C00076810,"",D000000155,General Motors,1500,1500,0,2022-04-18 00:00:00 +0000,96, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,1500,1500,0,2022-04-18 00:00:00 +0000,96, , ,0,          
C00339655,"",          ,US Oncology,1500,1500,0,2022-04-18 00:00:00 +0000,96, , ,0,          
C00119008,"",D000000161,Waste Management Inc,1500,1500,0,2022-04-18 00:00:00 +0000,96, , ,0,          
