pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00007922,"",D000000074,Laborers Union,25000,25000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,15000,15000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,13000,13000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,12000,12000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00327593,"",D000000208,Cassidy & Assoc,12000,0,12000,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000031533,Analysis Group,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Brainwave Science,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Hunter College,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000084276,LifeYield,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000083485,Rxadvance,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000090826,Tusk Holdings,11200,0,11200,2022-04-18 00:00:00 +0000,11, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C70001979,"",D000000066,Teamsters Union,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00204453,"",D000000550,King & Spalding,8500,5000,3500,2022-04-18 00:00:00 +0000,15, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00362210,"",D000028066,O'Neill & Assoc,7200,0,7200,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000044553,Robert White Assoc,6800,0,6800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,University of California/San Francisco,6400,0,6400,2022-04-18 00:00:00 +0000,19, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,6000,6000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Steelresources,6000,0,6000,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000043151,Clivus Multrum,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000088603,Persivia Inc,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000031118,Winn Companies,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
C00462630,"",D000021942,Covington & Burling,5500,5000,500,2022-04-18 00:00:00 +0000,25, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00081414,"",D000000366,American Sugar Cane League,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00150045,"",          ,Carpenters Union/New England,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00027359,"",D000000140,Ironworkers Union,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C70003124,"",D000000077,Service Employees International Union,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00411116,"",D000029147,SpaceX,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Triangle Roofing Co,5000,0,5000,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,NOT EMPLOYED,4137,0,4137,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000033155,Dewey Square Group,4050,0,4050,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000031728,Avenue Solutions,4000,0,4000,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Pinsly Railroad Co,3900,0,3900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000058705,Worcester Polytechnic Institute,3730,0,3730,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,House Cmte on Appropriations,3500,0,3500,2022-04-18 00:00:00 +0000,46, , ,0,          
C00441949,"",          ,JStreetPAC,3500,3500,0,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000036528,Mass General Brigham,3255,0,3255,2022-04-18 00:00:00 +0000,48, , ,0,          
C00298190,"",D000024007,American Short Line & Regional RR Assn,3250,3250,0,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000030668,University of Massachusetts             ,3173,0,3173,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000051655,Harry Miller Co,3000,0,3000,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000071041,Tremont Strategies Group,3000,0,3000,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Architectural Team,2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000083637,Dragonfly Therapeutics,2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000072102,Medical-Technical Gases Inc,2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000089163,Nessel Development,2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Rural Strategist,2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000023656,Shakopee Mdewakanton Sioux Community,2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000041410,Winn Development,2900,0,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000035701,McAllister & Quinn,2876,0,2876,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",D000069194,Mount Holyoke College,2858,0,2858,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000030144,Strategic Marketing Innovations,2800,0,2800,2022-04-18 00:00:00 +0000,62, , ,0,          
C00143560,"",D000023948,Academy of Nutrition & Dietetics,2500,2500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",2500,0,2500,2022-04-18 00:00:00 +0000,63, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,2500,2500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00147066,"",D000000152,American Council of Life Insurers,2500,2500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00009936,"",D000000304,American Federation of Government Employees,2500,2500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00423228,"",D000023967,American Gastroenterological Assn,2500,2500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00692806,"",D000000310,American Property Casualty Insurance Assn,2500,2500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00338020,"",D000024157,Argentum,2500,2500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,2500,2500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00193631,"",D000000359,Farm Credit Council,2500,2500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00289058,"",          ,Genesee & Wyoming,2500,0,2500,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000085903,Incostrat LLC,2500,0,2500,2022-04-18 00:00:00 +0000,63, , ,0,          
C00022343,"",D000000181,Independent Insurance Agents & Brokers of America,2500,2500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Kbms,2500,0,2500,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000062172,Linden Trust for Conservation,2500,0,2500,2022-04-18 00:00:00 +0000,63, , ,0,          
C00384354,"",          ,Michigan Sugar,2500,2500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00091561,"",D000021771,National Active & Retired Federal Employees Assn,2500,2500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00126763,"",D000000240,National Assn of Convenience Stores,2500,2500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00005249,"",D000000096,National Assn of Insurance & Financial Advisors,2500,2500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000036113,National Group Llp,2500,0,2500,2022-04-18 00:00:00 +0000,63, , ,0,          
C00065219,"",D000000711,Wine Institute,2500,2500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Braley & Wellington Insurance,2200,0,2200,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",          ,Hadwen Park Church,2200,0,2200,2022-04-18 00:00:00 +0000,85, , ,0,          
C00024521,"",D000000065,American Assn for Justice,2000,2000,0,2022-04-18 00:00:00 +0000,87, , ,0,          
C00006080,"",D000000192,American Health Care Assn,2000,2000,0,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Avco Consulting,2000,0,2000,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Capital Group Properties,2000,0,2000,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Coneg,2000,0,2000,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,CONEG Policy Research,2000,0,2000,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",D000032894,Costello for Congress Cmte,2000,2000,0,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Franklin Realty Advisors LLC,2000,0,2000,2022-04-18 00:00:00 +0000,87, , ,0,          
C00024869,"",D000000125,General Electric,2000,0,2000,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Irc,2000,0,2000,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",D000035026,"Kearney, Donovan & McGee",2000,0,2000,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Law Offices of William Rothberg,2000,0,2000,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Markens Group,2000,0,2000,2022-04-18 00:00:00 +0000,87, , ,0,          
C00278895,"",D000022145,"Nelson, Mullins et al                             ",2000,1000,1000,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",D000080393,Pavluchuk & Assoc,2000,0,2000,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",D000036967,Rasky Partners,2000,0,2000,2022-04-18 00:00:00 +0000,87, , ,0,          
C00166348,"",D000000462,Southern Minn Beet Sugar Co-Op,2000,2000,0,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,TikTok,2000,0,2000,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Triangle Gen Cont,2000,0,2000,2022-04-18 00:00:00 +0000,87, , ,0,          
C00169821,"",D000000460,Tyson Foods,2000,0,2000,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",D000000381,US Dept of State,2000,0,2000,2022-04-18 00:00:00 +0000,87, , ,0,          
