pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00215285,"",D000000317,General Atomics,18490,7000,11490,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000406,University of California                ,12580,0,12580,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000063024,R&L Brosamer,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Tactyx,7800,0,7800,2022-04-18 00:00:00 +0000,6, , ,0,          
C70001979,"",D000000066,Teamsters Union,7500,7500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00441949,"",          ,JStreetPAC,6085,3000,3085,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000031563,Another Planet Entertainment,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000089016,Jackson Hole Group,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Pazz Group,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Perkins Investment Management,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000036757,Ponderosa Homes,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
C00428623,"",          ,Google Inc,5400,2000,3400,2022-04-18 00:00:00 +0000,14, , ,0,          
C00024521,"",D000000065,American Assn for Justice,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00024968,"",D000000194,American Optometric Assn,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000031906,"Bendich, Stobaugh & Strong",5000,0,5000,2022-04-18 00:00:00 +0000,15, , ,0,          
C00324483,"",          ,Berkshire Hathaway Energy,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00340364,"",          ,Blue Cross/Blue Shield of California,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00426775,"",D000000672,Charter Communications,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
