pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000021873,Blackstone Group,31900,0,31900,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000022217,Related Companies,27400,0,27400,2022-04-18 00:00:00 +0000,2, , ,0,          
C00468314,"",D000025328,Democracy Engine,25400,0,25400,2022-04-18 00:00:00 +0000,3, , ,0,          
C00247403,"",D000022158,NorPAC,23250,0,23250,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000033996,Genesis 10,21600,0,21600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000031267,"Abrams, Fensterman et al",18400,0,18400,2022-04-18 00:00:00 +0000,6, , ,0,          
C00699470,"",D000073971,Pro-Israel America PAC,16000,0,16000,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Jp West Inc,15800,0,15800,2022-04-18 00:00:00 +0000,8, , ,0,          
C00068692,"",D000000089,FedEx Corp,15000,15000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000083691,Xavier University Medical School,14200,0,14200,2022-04-18 00:00:00 +0000,10, , ,0,          
C00388827,"",D000066716,Rock Holdings,14100,7000,7100,2022-04-18 00:00:00 +0000,11, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",12500,12500,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00012245,"",          ,UBS Americas,12500,12500,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000073428,RXR Realty,12300,0,12300,2022-04-18 00:00:00 +0000,14, , ,0,          
C00142711,"",D000000100,Boeing Co,12000,12000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000080692,Schusterman Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,16, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",11550,2500,9050,2022-04-18 00:00:00 +0000,17, , ,0,          
C90020272,"",D000071227,Black Economic Alliance,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Dublin Senior Star,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000035447,Loop Capital Markets,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Wood Capital Partners,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
C00004275,"",D000000087,American Bankers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00326595,"",D000021891,Capital One Financial,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00426775,"",D000000672,Charter Communications,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Kizart Media Partners,10000,0,10000,2022-04-18 00:00:00 +0000,22, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00186064,"",D000028398,PNC Financial Services,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Salcedo Attorneys At Law Pa,10000,0,10000,2022-04-18 00:00:00 +0000,22, , ,0,          
C00109017,"",D000000076,AT&T Inc,9400,9000,400,2022-04-18 00:00:00 +0000,31, , ,0,          
C00359588,"",D000021679,BGR Group,9000,0,9000,2022-04-18 00:00:00 +0000,32, , ,0,          
C00303024,"",D000000104,Lockheed Martin,9000,9000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000045881,Bravo Group,8800,0,8800,2022-04-18 00:00:00 +0000,34, , ,0,          
C00280222,"",D000019986,KPMG LLP,8500,8500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00366013,"",D000020994,NASDAQ Inc,8000,3000,5000,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000022154,New York University,7915,0,7915,2022-04-18 00:00:00 +0000,37, , ,0,          
C00441949,"",          ,JStreetPAC,7544,1000,6544,2022-04-18 00:00:00 +0000,38, , ,0,          
C00253369,"",D000026669,Invesco Ltd,7500,7500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00007922,"",D000000074,Laborers Union,7500,7500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,7500,7500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00432252,"",D000022216,Regions Financial,7500,7500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00542365,"",          ,Toyota Motor North America,7500,7500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00386524,"",D000072145,Truist Financial,7500,7500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00064766,"",D000000081,United Parcel Service,7500,7500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00300178,"",D000019743,Wells Fargo,7500,7500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00350744,"",D000000085,Goldman Sachs,6900,4000,2900,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000087722,Casual Home Worldwide,6800,0,6800,2022-04-18 00:00:00 +0000,48, , ,0,          
C00248716,"",D000000461,Comcast Corp,6000,6000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
C00337626,"",D000000106,Morgan Stanley,6000,4000,2000,2022-04-18 00:00:00 +0000,49, , ,0,          
C00005249,"",D000000096,National Assn of Insurance & Financial Advisors,6000,6000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,6000,6000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000031335,Advent Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Atlantic Dialysis,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Bluechip Financial Llctutle Mountain Band of Chipp,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Bravia Capital Partners,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Canon Solutions America,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000060916,"Davidoff, Hutcher & Citron",5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000000517,DE Shaw & Co,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000033386,Edward J Minskoff Equities,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Endeavor Energy Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Genting-Resorts World,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000071790,Habematolel Pomo of Upper Lake,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Jhla,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Law Firrm of Ravi Batra,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Royal Realty,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Rs LLC,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Spica Consulting LLC,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Supermarket 23 LLC,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000071415,GFP Real Estate,5600,0,5600,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",D000053530,McKissack & Mckissack,5500,0,5500,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000034653,Indiana University,5400,0,5400,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Kazimir Partners Ltd,5400,0,5400,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000030377,Third Point LLC,5389,0,5389,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",D000021845,Apollo Global Management,5250,0,5250,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",          ,Abrams Fensterman Fensterman & Flowers,5200,0,5200,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Africell,5000,0,5000,2022-04-18 00:00:00 +0000,77, , ,0,          
C00278689,"",D000023830,Albanian American PAC,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00040253,"",D000000632,Allstate Insurance,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00579540,"",D000034090,Ally Financial,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00147066,"",D000000152,American Council of Life Insurers,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00038604,"",D000000590,American Financial Services Assn,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",          ,Bais Yaakov Machon Ora,5000,0,5000,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",D000075268,Balsera Communications,5000,0,5000,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",D000084113,BBR Partners,5000,0,5000,2022-04-18 00:00:00 +0000,77, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",          ,Castle Knight,5000,0,5000,2022-04-18 00:00:00 +0000,77, , ,0,          
C00348938,"",          ,Chubb Group of Insurance Companies,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",D000089674,Contrarian Capital Management,5000,0,5000,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",          ,Crystal McCrary Media,5000,0,5000,2022-04-18 00:00:00 +0000,77, , ,0,          
C00104802,"",D000000350,Delta Air Lines,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",          ,Element Capital,5000,0,5000,2022-04-18 00:00:00 +0000,77, , ,0,          
C00227744,"",D000000098,Ernst & Young,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00215285,"",D000000317,General Atomics,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00284885,"",D000000419,Home Depot,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00027359,"",D000000140,Ironworkers Union,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
