pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000035776,Meijer Inc,42937,0,42937,2022-04-18 00:00:00 +0000,1, , ,0,          
C00034884,"",D000000111,Amway/Alticor Inc,33200,10000,23200,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,29775,21000,8775,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000033385,Edward C Levy Co,29000,0,29000,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000036887,PVS Chemicals,29000,0,29000,2022-04-18 00:00:00 +0000,4, , ,0,          
C00081547,"",D000000561,DTE Energy,22900,20000,2900,2022-04-18 00:00:00 +0000,6, , ,0,          
C00046474,"",D000000182,Ford Motor Co,20966,13500,7466,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000088257,Cove Hill Partners,17400,0,17400,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000047809,Bissell Inc,15500,0,15500,2022-04-18 00:00:00 +0000,9, , ,0,          
C00360354,"",D000023883,Amazon.com,15010,15000,10,2022-04-18 00:00:00 +0000,10, , ,0,          
C00661272,"",D000071404,With Honor PAC,15000,15000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000036976,Rdv Corp,14500,0,14500,2022-04-18 00:00:00 +0000,12, , ,0,          
C00388827,"",D000066716,Rock Holdings,14200,10000,4200,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000030776,Van Andel Institute,12600,0,12600,2022-04-18 00:00:00 +0000,14, , ,0,          
C00158881,"",D000000249,New York Life Insurance,12525,12500,25,2022-04-18 00:00:00 +0000,15, , ,0,          
C00284885,"",D000000419,Home Depot,12512,12500,12,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000081275,Gordon Food Service,12350,0,12350,2022-04-18 00:00:00 +0000,17, , ,0,          
C00388462,"",          ,ITC Holdings,12000,12000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00337626,"",D000000106,Morgan Stanley,11750,0,11750,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000031717,Autocam Corp,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000031927,Berkshire Partners,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
C00608943,"",          ,ClearPath Action,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Dempsy Ventures,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000026917,Jsj Corp,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000073742,Quadrivium Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,S Abraham & Sons,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
