pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00247403,"",D000022158,NorPAC,319389,15500,303889,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000021873,Blackstone Group                        ,97200,0,97200,2022-04-18 00:00:00 +0000,2,x, ,3,D000021873
         ,"",D000032339,"Carella, Byrne et al",89318,0,89318,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000035471,Lowenstein Sandler Llp,87715,0,87715,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000034683,Inserra Supermarkets,79100,0,79100,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000000667,Mack-Cali Realty,53000,0,53000,2022-04-18 00:00:00 +0000,6, , ,0,          
C00350744,"",D000000085,Goldman Sachs,50985,12500,38485,2022-04-18 00:00:00 +0000,7,x, ,0,D000000085
         ,"",D000000769,"Paul, Weiss et al",50750,0,50750,2022-04-18 00:00:00 +0000,8, , ,0,          
C00215285,"",D000000317,General Atomics,48800,23500,25300,2022-04-18 00:00:00 +0000,9,x, ,0,D000000317
C00266585,"",D000000344,Greenberg Traurig LLP,48405,7000,41405,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000090087,Daybreak Express,48365,0,48365,2022-04-18 00:00:00 +0000,11, , ,0,          
C00248716,"",D000000461,Comcast Corp,47230,20000,27230,2022-04-18 00:00:00 +0000,12,x, ,5,D000000461
         ,"",D000032306,Capitol Counsel,45000,0,45000,2022-04-18 00:00:00 +0000,13, ,x,3,D000032306
         ,"",D000022121,Motley Rice LLC,44250,0,44250,2022-04-18 00:00:00 +0000,14, , ,0,          
C00412635,"",D000026216,Gibbons PC,43350,6000,37350,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000022163,Novartis AG,43138,21000,22138,2022-04-18 00:00:00 +0000,16, , ,0,          
C00493304,"",D000000141,Prudential Financial,43125,30000,13125,2022-04-18 00:00:00 +0000,17,x, ,0,D000000141
         ,"",D000037697,Southern Star Shipping,43000,0,43000,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000000662,WPP Group,42505,6500,36005,2022-04-18 00:00:00 +0000,19,x, ,2,D000000662
C00162735,"",D000000452,Federated Investors Inc,42500,5000,37500,2022-04-18 00:00:00 +0000,20, , ,0,          
C00097485,"",D000000275,Merck & Co,42055,35000,7055,2022-04-18 00:00:00 +0000,21,x, ,2,D000000275
C70002563,"",D000000062,National Assn of Realtors               ,42000,39000,3000,2022-04-18 00:00:00 +0000,22,x, ,1,D000000062
C00150367,"",D000000283,National Venture Capital Assn,41000,39000,2000,2022-04-18 00:00:00 +0000,23,x, ,0,D000000283
         ,"",D000000109,Blue Cross/Blue Shield,40010,32500,7510,2022-04-18 00:00:00 +0000,24, , ,0,          
C00109017,"",D000000076,AT&T Inc,39921,35500,4421,2022-04-18 00:00:00 +0000,25,x, ,3,D000000076
         ,"",D000036496,Panepinto Properties,38100,0,38100,2022-04-18 00:00:00 +0000,26, , ,0,          
C00151340,"",D000021569,DLA Piper,38000,10500,27500,2022-04-18 00:00:00 +0000,27, ,x,1,D000021569
C00082792,"",D000000166,Eli Lilly & Co,37610,21000,16610,2022-04-18 00:00:00 +0000,28,x, ,0,D000000166
C00251876,"",D000000391,Amgen Inc,37500,36500,1000,2022-04-18 00:00:00 +0000,29,x, ,4,D000000391
         ,"",D000021845,Apollo Global Management,36840,0,36840,2022-04-18 00:00:00 +0000,30, , ,0,          
C00383489,"",D000000612,Public Service Enterprise Group,36248,13643,22605,2022-04-18 00:00:00 +0000,31, , ,0,          
C00016683,"",D000000138,Pfizer Inc,36060,30000,6060,2022-04-18 00:00:00 +0000,32,x, ,1,D000000138
         ,"",D000036457,"Pachulski, Stang et al                  ",35100,0,35100,2022-04-18 00:00:00 +0000,33, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,35000,35000,0,2022-04-18 00:00:00 +0000,34,x, ,0,D000000309
C00367383,"",D000022037,IDT Corp,34900,10000,24900,2022-04-18 00:00:00 +0000,35, , ,0,          
C00227546,"",D000000115,Microsoft Corp                          ,34836,18500,16336,2022-04-18 00:00:00 +0000,36,x, ,3,D000000115
         ,"",D000074508,VantageKnight Inc,34400,0,34400,2022-04-18 00:00:00 +0000,37, ,x,1,D000074508
C90016437,"",D000000086,National Assn of Home Builders,34300,34000,300,2022-04-18 00:00:00 +0000,38,x, ,0,D000000086
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,33500,33500,0,2022-04-18 00:00:00 +0000,39,x, ,4,D000000606
C00142158,"",          ,Covanta Energy Corp,33000,24500,8500,2022-04-18 00:00:00 +0000,40, , ,0,          
C00035675,"",D000000149,Bristol-Myers Squibb,32705,22500,10205,2022-04-18 00:00:00 +0000,41, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",31800,7000,24800,2022-04-18 00:00:00 +0000,42, ,x,2,D000000162
C00130773,"",D000000755,National Multifamily Housing Council,31000,30000,1000,2022-04-18 00:00:00 +0000,43,x, ,0,D000000755
C00096156,"",D000000334,Honeywell International,30285,30000,285,2022-04-18 00:00:00 +0000,44,x, ,1,D000000334
C00415752,"",D000024424,Border Health,30000,30000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000071787,Freedom Capital Partners,30000,0,30000,2022-04-18 00:00:00 +0000,45,x, ,0,D000071787
         ,"",          ,Ragnar Partners,30000,0,30000,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000051860,Holy Name Medical Center,28890,0,28890,2022-04-18 00:00:00 +0000,48,x, ,0,D000051860
         ,"",D000035189,Krivit & Krivit,28885,0,28885,2022-04-18 00:00:00 +0000,49, , ,0,          
C00303024,"",D000000104,Lockheed Martin,28815,28500,315,2022-04-18 00:00:00 +0000,50,x, ,0,D000000104
         ,"",          ,Miami International Holdings,28700,0,28700,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000021939,Cornerstone Government Affairs,28400,0,28400,2022-04-18 00:00:00 +0000,52, ,x,1,D000021939
C00390583,"",D000000724,"Brownstein, Hyatt et al",28250,9500,18750,2022-04-18 00:00:00 +0000,53, , ,0,          
C00171330,"",D000000330,Holland & Knight,27850,15000,12850,2022-04-18 00:00:00 +0000,54, ,x,0,D000000330
         ,"",D000068680,RWJBarnabas Health,27553,0,27553,2022-04-18 00:00:00 +0000,55, , ,0,          
C00076810,"",D000000155,General Motors,27500,25500,2000,2022-04-18 00:00:00 +0000,56,x, ,4,D000000155
         ,"",D000030465,Tonio Burgos & Assoc,27500,0,27500,2022-04-18 00:00:00 +0000,56, ,x,1,D000030465
         ,"",D000089028,Monmouth Real Estate Investment,26950,0,26950,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000032503,Chartwell Hotels,26400,0,26400,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000035320,Lefrak Organization,26200,0,26200,2022-04-18 00:00:00 +0000,60, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,25500,25500,0,2022-04-18 00:00:00 +0000,61,x, ,0,D000000285
         ,"",D000035672,Mastec Inc,25400,0,25400,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000000215,Sanofi,25155,25000,155,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000037458,Seeger Weiss Llp,25100,0,25100,2022-04-18 00:00:00 +0000,64, , ,0,          
C00359588,"",D000021679,BGR Group,25000,5000,20000,2022-04-18 00:00:00 +0000,65, , ,0,          
C00401299,"",          ,Fresenius Medical Care North America,25000,25000,0,2022-04-18 00:00:00 +0000,65, , ,0,          
