pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000021972,Elliott Management,19980,0,19980,2022-04-18 00:00:00 +0000,1, , ,0,          
C00699470,"",D000073971,Pro-Israel America PAC,17150,0,17150,2022-04-18 00:00:00 +0000,2, , ,0,          
C00158881,"",D000000249,New York Life Insurance,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Bao Kang Adult Daycare Center,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00758078,"",          ,Asian American Forward,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00211318,"",D000000131,Deloitte LLP,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00102368,"",D000000534,Desert Caucus,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00012245,"",          ,UBS Americas,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,"Bergman, Marion Md",8700,0,8700,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Pec Inc,8700,0,8700,2022-04-18 00:00:00 +0000,11, , ,0,          
C00416495,"",D000000207,Loews Corp,8600,0,8600,2022-04-18 00:00:00 +0000,13, , ,0,          
C00008268,"",D000000178,Transport Workers Union,8500,8500,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Union Plaza,8000,0,8000,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Ny Firetech,7800,0,7800,2022-04-18 00:00:00 +0000,16, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00248716,"",D000000461,Comcast Corp,7000,6000,1000,2022-04-18 00:00:00 +0000,18, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,6000,6000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00109017,"",D000000076,AT&T Inc,6000,6000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Allure Home Creations,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000021845,Apollo Global Management,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000021873,Blackstone Group,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Elliott,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Global Cities Inc,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Hunter Creek Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
C00502906,"",D000033563,Meta,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000053800,Millennium Management,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000089744,Oak Hill Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000036412,Oregon Health & Science University,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Osc,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000037316,Saban Capital Group,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000080692,Schusterman Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Simag Ltd,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
